filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
AAAS-261D-001_Royal__Charmaine_Fall_2024.html,Fall 2024,"AAAS-261D-001 : RACE, GENOMICS, AND SOCIETY.AAAS-261D-001.BIOLOGY-261D-001.CULANTH-261D-001.GLHLTH-258D-001.SCISOC-258D-001.VMS-274D-001.",Charmaine Royal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
AAAS-261D-001_Royal__Charmaine_Fall_2024.html,Fall 2024,"AAAS-261D-001 : RACE, GENOMICS, AND SOCIETY.AAAS-261D-001.BIOLOGY-261D-001.CULANTH-261D-001.GLHLTH-258D-001.SCISOC-258D-001.VMS-274D-001.",Charmaine Royal,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
AAAS-261D-001_Royal__Charmaine_Fall_2024.html,Fall 2024,"AAAS-261D-001 : RACE, GENOMICS, AND SOCIETY.AAAS-261D-001.BIOLOGY-261D-001.CULANTH-261D-001.GLHLTH-258D-001.SCISOC-258D-001.VMS-274D-001.",Charmaine Royal,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",19/75 (25.33%),4.47,0.70,5.00,19,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 2 (10.53%); Very Good: 6 (31.58%); Excellent: 11 (57.89%)
AAAS-261D-001_Royal__Charmaine_Fall_2024.html,Fall 2024,"AAAS-261D-001 : RACE, GENOMICS, AND SOCIETY.AAAS-261D-001.BIOLOGY-261D-001.CULANTH-261D-001.GLHLTH-258D-001.SCISOC-258D-001.VMS-274D-001.",Charmaine Royal,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
AAAS-261D-001_Royal__Charmaine_Fall_2024.html,Fall 2024,"AAAS-261D-001 : RACE, GENOMICS, AND SOCIETY.AAAS-261D-001.BIOLOGY-261D-001.CULANTH-261D-001.GLHLTH-258D-001.SCISOC-258D-001.VMS-274D-001.",Charmaine Royal,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",19/75 (25.33%),4.05,0.97,4.00,19,Poor: 0 (0.00%); Marginal: 1 (5.26%); Average: 5 (26.32%); Very Good: 5 (26.32%); Excellent: 8 (42.11%)
AAAS-261D-001_Royal__Charmaine_Fall_2024.html,Fall 2024,"AAAS-261D-001 : RACE, GENOMICS, AND SOCIETY.AAAS-261D-001.BIOLOGY-261D-001.CULANTH-261D-001.GLHLTH-258D-001.SCISOC-258D-001.VMS-274D-001.",Charmaine Royal,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",19/75 (25.33%),4.53,0.70,5.00,19,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 2 (10.53%); Very Good: 5 (26.32%); Excellent: 12 (63.16%)
AAAS-261D-001_Royal__Charmaine_Fall_2024.html,Fall 2024,"AAAS-261D-001 : RACE, GENOMICS, AND SOCIETY.AAAS-261D-001.BIOLOGY-261D-001.CULANTH-261D-001.GLHLTH-258D-001.SCISOC-258D-001.VMS-274D-001.",Charmaine Royal,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
AAAS-261D-001_Royal__Charmaine_Fall_2024.html,Fall 2024,"AAAS-261D-001 : RACE, GENOMICS, AND SOCIETY.AAAS-261D-001.BIOLOGY-261D-001.CULANTH-261D-001.GLHLTH-258D-001.SCISOC-258D-001.VMS-274D-001.",Charmaine Royal,8,The course was difficult.,19/75 (25.33%),2.42,1.02,2.00,19,Strongly disagree: 4 (21.05%); Disagree: 6 (31.58%); Neither agree nor disagree: 6 (31.58%); Agree: 3 (15.79%); Strongly agree: 0 (0.00%)
AAAS-261D-001_Royal__Charmaine_Fall_2024.html,Fall 2024,"AAAS-261D-001 : RACE, GENOMICS, AND SOCIETY.AAAS-261D-001.BIOLOGY-261D-001.CULANTH-261D-001.GLHLTH-258D-001.SCISOC-258D-001.VMS-274D-001.",Charmaine Royal,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,19/75 (25.33%),2.84,1.68,3.00,19,1: 5 (26.32%); 2: 4 (21.05%); 3: 5 (26.32%); 4: 1 (5.26%); 5: 2 (10.53%); 6: 2 (10.53%); 7: 0 (0.00%); 8: 0 (0.00%); 9: 0 (0.00%); 10+: 0 (0.00%)
AAAS-312-01_Smith__Stephen_Fall_2023.html,Fall 2023,AAAS-312-01 : WAR & PUBLIC HEALTH IN AFRICA.AAAS-312-01.CULANTH-312-01.GLHLTH-312-01.PUBPOL-333-01.RIGHTS-312-01.,Stephen Smith,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
AAAS-312-01_Smith__Stephen_Fall_2023.html,Fall 2023,AAAS-312-01 : WAR & PUBLIC HEALTH IN AFRICA.AAAS-312-01.CULANTH-312-01.GLHLTH-312-01.PUBPOL-333-01.RIGHTS-312-01.,Stephen Smith,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
AAAS-312-01_Smith__Stephen_Fall_2023.html,Fall 2023,AAAS-312-01 : WAR & PUBLIC HEALTH IN AFRICA.AAAS-312-01.CULANTH-312-01.GLHLTH-312-01.PUBPOL-333-01.RIGHTS-312-01.,Stephen Smith,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",23/28 (82.14%),4.43,0.59,4.00,23,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (4.35%); Very Good: 11 (47.83%); Excellent: 11 (47.83%)
AAAS-312-01_Smith__Stephen_Fall_2023.html,Fall 2023,AAAS-312-01 : WAR & PUBLIC HEALTH IN AFRICA.AAAS-312-01.CULANTH-312-01.GLHLTH-312-01.PUBPOL-333-01.RIGHTS-312-01.,Stephen Smith,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
AAAS-312-01_Smith__Stephen_Fall_2023.html,Fall 2023,AAAS-312-01 : WAR & PUBLIC HEALTH IN AFRICA.AAAS-312-01.CULANTH-312-01.GLHLTH-312-01.PUBPOL-333-01.RIGHTS-312-01.,Stephen Smith,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",23/28 (82.14%),4.26,0.75,4.00,23,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 4 (17.39%); Very Good: 9 (39.13%); Excellent: 10 (43.48%)
AAAS-312-01_Smith__Stephen_Fall_2023.html,Fall 2023,AAAS-312-01 : WAR & PUBLIC HEALTH IN AFRICA.AAAS-312-01.CULANTH-312-01.GLHLTH-312-01.PUBPOL-333-01.RIGHTS-312-01.,Stephen Smith,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",23/28 (82.14%),4.39,0.94,5.00,23,Poor: 1 (4.35%); Marginal: 0 (0.00%); Average: 1 (4.35%); Very Good: 8 (34.78%); Excellent: 13 (56.52%)
AAAS-312-01_Smith__Stephen_Fall_2023.html,Fall 2023,AAAS-312-01 : WAR & PUBLIC HEALTH IN AFRICA.AAAS-312-01.CULANTH-312-01.GLHLTH-312-01.PUBPOL-333-01.RIGHTS-312-01.,Stephen Smith,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
AAAS-312-01_Smith__Stephen_Fall_2023.html,Fall 2023,AAAS-312-01 : WAR & PUBLIC HEALTH IN AFRICA.AAAS-312-01.CULANTH-312-01.GLHLTH-312-01.PUBPOL-333-01.RIGHTS-312-01.,Stephen Smith,8,The course was difficult.,23/28 (82.14%),3.09,0.95,3.00,23,Strongly disagree: 1 (4.35%); Disagree: 5 (21.74%); Neither agree nor disagree: 9 (39.13%); Agree: 7 (30.43%); Strongly agree: 1 (4.35%)
