filename,semester,course,instructor,question_number,question_text,response_text
GREEK-344S-01_Weiberg__Erika_Fall_2023.html,Fall 2023,GREEK-344S-01 : GREEK NOVEL.GREEK-344S-01.,Erika Weiberg,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Strengthened ability and endurance to read Greek prose. Ability to recognise patterns and words in context. More familiarity with grammatical forms. Good survey of imperial greek prose fiction.
GREEK-344S-01_Weiberg__Erika_Fall_2023.html,Fall 2023,GREEK-344S-01 : GREEK NOVEL.GREEK-344S-01.,Erika Weiberg,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","This was a remarkably engaging and thought-provoking class. I had a chance to improve my Greek comprehension skills and was considerably more comfortably with sight reading in Greek by the end of semester. I also got to practice my Greek composition and grammar and managed to improve my language competence overall.
But what made this class so stimulating was its content: Greek novel and Lucian are very engaging subjects and as we covered the course materials numerous relevant and interesting themes came up. We discussed the implications of the genre of the novel, the social and gender issues, the symbolism, rhetorical program, and even considerable deal of philosophy! And the course structure facilitated a healthy, supportive, and enjoyable learning atmosphere."
GREEK-344S-01_Weiberg__Erika_Fall_2023.html,Fall 2023,GREEK-344S-01 : GREEK NOVEL.GREEK-344S-01.,Erika Weiberg,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1.  Grammar contructions used by Lucian
2. Metaphors and figurative language
3. Greek imperial works"
GREEK-344S-01_Weiberg__Erika_Fall_2023.html,Fall 2023,GREEK-344S-01 : GREEK NOVEL.GREEK-344S-01.,Erika Weiberg,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Improved Greek composition, increased knowledge of the genre of Greek novel, improved understanding of grammar"
GREEK-344S-01_Weiberg__Erika_Fall_2023.html,Fall 2023,GREEK-344S-01 : GREEK NOVEL.GREEK-344S-01.,Erika Weiberg,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","More difficult/detailed looks into Greek grammar after learning the fundamentals in previous courses, connecting the readings to Greek cultural/mythological references, Greek composition and vocabulary specific to Lucian's True History."
GREEK-344S-01_Weiberg__Erika_Fall_2023.html,Fall 2023,GREEK-344S-01 : GREEK NOVEL.GREEK-344S-01.,Erika Weiberg,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I continued to learn about reading Greek, this time reading in large chunks of prose (chapters). I learned about “deep cuts” in the Greek world: the travel/romance novel is an under studied field in classics! I also learned about different approaches to scholarly writing in classics."
GREEK-344S-01_Weiberg__Erika_Fall_2023.html,Fall 2023,GREEK-344S-01 : GREEK NOVEL.GREEK-344S-01.,Erika Weiberg,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Good learning environment with not that many students. Ability to ask many questions. Manageable work load and well-spaced exams.
GREEK-344S-01_Weiberg__Erika_Fall_2023.html,Fall 2023,GREEK-344S-01 : GREEK NOVEL.GREEK-344S-01.,Erika Weiberg,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","Professor Weiberg is one of the most outstanding teachers I have ever had. She genuinely enjoys teaching and values the learning for the sake of learning. I can safely say and each and every one of her students has felt accommodated and welcomed. She has never hesitated to explain course material multiple times and assist me in ways that were beyond her responsibilities. 
The course had a structure that is very conducive to both learning and critical thinking. It had numerous components and helped us improve our Greek from different angles, as well as develop fresh and critical perspectives on the subject."
GREEK-344S-01_Weiberg__Erika_Fall_2023.html,Fall 2023,GREEK-344S-01 : GREEK NOVEL.GREEK-344S-01.,Erika Weiberg,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I love Weiberg's teaching style, and the course overall offers many learning opportunities. I loved the composition exercises as well!"
GREEK-344S-01_Weiberg__Erika_Fall_2023.html,Fall 2023,GREEK-344S-01 : GREEK NOVEL.GREEK-344S-01.,Erika Weiberg,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","Specifications grading was excellent, my stress in the class was greatly reduced by this grading style and I was able to focus exclusively on learning the material. The class reading was well developed and easy to follow along with. The teaching style was low stress and easy to keep up with. Assignments were well thought out and very manageable."
