filename,semester,course,instructor,question_number,question_text,response_text
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to read and write in the Devanagari script, as well as rudimentary Hindi grammar and speech."
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",iu learned how to read hindi. i learned how to write hindi. i learned how to speak hindi
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Learned basic script, reading, writing, speaking of Hindi. Learned about Indian culture."
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learnt the hindi alphabet, feel confident in reading and have learnt more about the culture!"
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned a lot about taking and reading in Hindi.
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I expanded my hindi writing skills. 
I expanded my hindi speaking skills. 
I expanded my hindi reading skills"
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned a lot about reading, writing, and speaking in Hindi. We also extensively engaged in Indian culture, and we did events like bringing in speakers and cooking Indian foods."
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","The reason I took hindi was to be able to learn a different way of thinking. I think I have begun to achieve that. Learning a different language fires different parts of your brain, and that is why it is TRec. I also have learned so much about the Indian Culture and I think I have benefited greatly."
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Reading, writing, and speaking Hindi"
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1. I learned how to read and write in hindi. 2. I gained insight into Indian and Southasian culture (movie, song, service learning). 3. I learned how to engage in a conversation with native hindi speakers from India."
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned how to be aware to utilize feminine and masculine language as well become more immersed in the culture.
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1. reading and writing हिन्दी script 
2. speaking in Hindi--greetings, commands, desires and likes, 
3. learning more about Indian media culture"
