filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",20/27 (74.07%),4.50,0.51,4.50,20,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 10 (50.00%); Excellent: 10 (50.00%)
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",21/27 (77.78%),4.67,0.48,5.00,21,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 7 (33.33%); Excellent: 14 (66.67%)
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",20/27 (74.07%),4.85,0.37,5.00,20,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 3 (15.00%); Excellent: 17 (85.00%)
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,8,The course was difficult.,20/27 (74.07%),2.45,1.15,2.00,20,Strongly disagree: 4 (20.00%); Disagree: 8 (40.00%); Neither agree nor disagree: 4 (20.00%); Agree: 3 (15.00%); Strongly agree: 1 (5.00%)
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,20/27 (74.07%),3.70,1.03,4.00,20,1: 0 (0.00%); 2: 3 (15.00%); 3: 4 (20.00%); 4: 10 (50.00%); 5: 2 (10.00%); 6: 1 (5.00%); 7: 0 (0.00%); 8: 0 (0.00%); 9: 0 (0.00%); 10+: 0 (0.00%)
HINDI-101-01_Jain__Anshul_Fall_2024.html,Fall 2024,HINDI-101-01 : ELEMENTARY HINDI.HINDI-101-01.,Anshul Jain,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
