filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,20/27 (74.07%),4.50,0.51,4.50
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,20/27 (74.07%),4.50,0.51,4.50
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),0,0.00%,20/27 (74.07%),4.50,0.51,4.50
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),10,50.00%,20/27 (74.07%),4.50,0.51,4.50
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),10,50.00%,20/27 (74.07%),4.50,0.51,4.50
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,21/27 (77.78%),4.67,0.48,5.00
HINDI-101-001_Knapczyk__Kusum_Fall_2023.html,Fall 2023,HINDI-101-001 : ELEMENTARY HINDI.HINDI-101-001.,Kusum Knapczyk,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,21/27 (77.78%),4.67,0.48,5.00
