uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
149911_8928_11987227_27466679,CLST-340A-01,ROME: HISTORY OF CITY.CLST-340A-01.ARTHIST-209A-01.HISTORY-238A-01.,"Casias, Cassandra",Summer I 2023,CLASSICAL,"5 of 11  responded (45.45%)



 View Report
                            



 Download PDF","CLST, ARTHIST, HISTORY",98974,R3taZNKnw14IRH7UBESaUg%3d%3d,%2fFWFjJZ6kIsg49D1mLU%2bBw%3d%3d,aY64I15J7j0YoYpvSZvf%2bA%3d%3d,2025-11-24T16:17:29.923833
149911_8928_11987238_27466690,AAAS-103-01,INTRO TO AFRICAN STUDIES.AAAS-103-01.CULANTH-105-01.HISTORY-129-01.POLSCI-108-01.ICS-110-01.,"Daly, Samuel",Summer I 2023,AFRAMRST,"5 of 20  responded (25.00%)



 View Report
                            



 Download PDF","AAAS, CULANTH, HISTORY, POLSCI, ICS",98963,R3taZNKnw14IRH7UBESaUg%3d%3d,zX8pbnMD1QLyVlk5%2fPZCEg%3d%3d,jM0e%2bv8aMV1e00v6crH5vQ%3d%3d,2025-11-24T16:17:29.923936
152527_9107_12076178_27675590,HISTORY-311S-02,"MEN, WOMEN, AND SPORTS.HISTORY-311S-02.","Kuchinski, Alyssa",Summer II 2023,HISTORY,"12 of 13  responded (92.31%)



 View Report
                            



 Download PDF",HISTORY,98997,4TxgzUHg4Suz2MS8X7frbw%3d%3d,6FZb1Yfit9jPGGDm6TfkHA%3d%3d,sy%2f4Q6Gz907FSUKdc%2fHhOQ%3d%3d,2025-11-24T16:17:29.924017
154503_9169_12241352_27991564,HISTORY-790S-11-01,LABOR/CPTLSM/BUS CULTR (TOP).HISTORY-790S-11-01.,"Leroy, Justin",Fall 2023,HISTORY,"6 of 9  responded (66.67%)



 View Report
                            



 Download PDF",HISTORY,98849,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,XSjIvmTfPmeZ4JWyzdJ1nw%3d%3d,1mkROCQaUcRQDSm1olx3kg%3d%3d,2025-11-24T16:17:29.924094
154503_9169_12241491_27445979,RELIGION-885-01,CHRISTIAN MANUSCRIPT CULTURE.RELIGION-885-01.CLST-881-01.HISTORY-881-01.,"Knust, Jennifer",Fall 2023,RELIGION,"9 of 11  responded (81.82%)



 View Report
                            



 Download PDF","RELIGION, CLST, HISTORY",98883,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,%2ff9Gc2AGvvKUNwIxskMudA%3d%3d,vy1gy1wVu8adBDwwmtCBmw%3d%3d,2025-11-24T16:17:29.924173
154503_9169_12241568_27991733,LIT-650S-01,HISTORY OF MENTAL ILLNESS.LIT-650S-01.HISTORY-650S-01.NEUROSCI-650S-01.PSY-650S-01.,"Bassiri, Nima",Fall 2023,LITERATURE,"14 of 18  responded (77.78%)



 View Report
                            



 Download PDF","LIT, HISTORY, NEUROSCI, PSY",98858,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,iMOl4hBxa1wx2zta%2bAqBCg%3d%3d,gRFBCJ8VWFP172BM4DDsiw%3d%3d,2025-11-24T16:17:29.924273
154503_9169_12241577_27991723,POLSCI-562S-01,AMERICAN GRAND STRATEGY.POLSCI-562S-01.HISTORY-567S-01.PUBPOL-501S-01.,"Feaver, Peter",Fall 2023,POLISCI,"14 of 19  responded (73.68%)



 View Report
                            



 Download PDF","POLSCI, HISTORY, PUBPOL",98879,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,KUvPQuBYxUUXrb3YoTgCEQ%3d%3d,oWExn8qLkUUm%2btaxOPbCow%3d%3d,2025-11-24T16:17:29.924358
154503_9169_12241580_27991648,HISTORY-548S-01,GLOBAL HISTORY OF MEDICINE.HISTORY-548S-01.GLHLTH-548S-01.GSF-584S-01.,"Barnes, Nicole",Fall 2023,HISTORY,"7 of 16  responded (43.75%)



 View Report
                            



 Download PDF","HISTORY, GLHLTH, GSF",98849,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,WFpfucXz0voWyjbD8aW%2biA%3d%3d,67q8Mg6yUobVVg%2bQcU%2f%2buQ%3d%3d,2025-11-24T16:17:29.924439
154503_9169_12241588_27446110,EAS-700-01,EAST ASIAN STUDIES CORE COURSE.EAS-700-01.AMES-700-01.HISTORY-707-01.RELIGION-700-01.,"Chow, Eileen",Fall 2023,EAS,"9 of 18  responded (50.00%)



 View Report
                            



 Download PDF","EAS, AMES, HISTORY, RELIGION",98835,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,zg011vLXpFdh52rMViwMQg%3d%3d,bQQFUoukquPG0h%2bvAo1agQ%3d%3d,2025-11-24T16:17:29.924525
153858_9169_12282459_28111927,HISTORY-362-01,U S POLITICAL HST 1900-PRESENT.HISTORY-362-01.,"Huston, Reeve",Fall 2023,HISTORY,"6 of 7  responded (85.71%)



 View Report
                            



 Download PDF",HISTORY,98997,CtmkEaIRhsSP75R5T115eg%3d%3d,ct5zHDtxe5L%2bFcYsDl%2b70g%3d%3d,pMeNrj%2fF1i4mre%2bVvnuzmA%3d%3d,2025-11-24T16:17:29.924613
