uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
153858_9169_12282388_28111924,HLTHPOL-395T-03,BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-03.,"Goodwin, Rory",Fall 2023,MARGOLIS,"5 of 7  responded (71.43%)



 View Report
                            



 Download PDF",HLTHPOL,99009,CtmkEaIRhsSP75R5T115eg%3d%3d,X8i0j3uqcbjHxRIiXgLKjQ%3d%3d,jxV%2fdY%2b9Jlo%2b8%2bCMmetalQ%3d%3d,2025-11-24T16:18:55.015877
153858_9169_12282438_27991539,HLTHPOL-395T-02,BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-02.,"Hogan, Wesley",Fall 2023,MARGOLIS,"5 of 6  responded (83.33%)



 View Report
                            



 Download PDF",HLTHPOL,99009,CtmkEaIRhsSP75R5T115eg%3d%3d,wvJXv4r6srUJm520efcXrQ%3d%3d,bqVyaGI0V2MBuPv81W7zQw%3d%3d,2025-11-24T16:18:55.015963
153858_9169_12282860_27445912,I&E-263S-01,PROBLEM SOLVING GLOBAL HEALTH.I&E-263S-01.GLHLTH-273S-01.HLTHPOL-263S-01.,"Clements, Dennis",Fall 2023,I&E,"9 of 17  responded (52.94%)



 View Report
                            



 Download PDF","I&E, GLHLTH, HLTHPOL",98999,CtmkEaIRhsSP75R5T115eg%3d%3d,UYwjREBJ6YqZ1J%2f0LSbGVA%3d%3d,c%2fVTHk3hu%2bvzpum2kmKL7A%3d%3d,2025-11-24T16:18:55.016038
153858_9169_12282886_28112098,SPANISH-306-1-01,"HEALTH, CULTURE: SERVICE-LRNG.SPANISH-306-1-01.GLHLTH-326-1-01.HLTHPOL-306-1-01.LSGS-306-1-01.","Clifford, Joan",Fall 2023,ROMANCE,"11 of 15  responded (73.33%)



 View Report
                            



 Download PDF","SPANISH, GLHLTH, HLTHPOL, LSGS",99029,CtmkEaIRhsSP75R5T115eg%3d%3d,3kep3WwYwlJuVjAcgQu0Zw%3d%3d,T5zLY9ibvs18PtMooYjhzg%3d%3d,2025-11-24T16:18:55.016113
153858_9169_12282905_27445858,PUBPOL-165-01,INTRO TO US HEALTH CARE SYSTM.PUBPOL-165-01.HLTHPOL-165-01.SCISOC-165-01.,"Boucher, Nathan",Fall 2023,PPS,"19 of 53  responded (35.85%)



 View Report
                            



 Download PDF","PUBPOL, HLTHPOL, SCISOC",99026,CtmkEaIRhsSP75R5T115eg%3d%3d,MI6Tw8K5Qb8NlnCX90uNFw%3d%3d,PjURNxNB99DE2uExMkRjXA%3d%3d,2025-11-24T16:18:55.016184
153858_9169_12282944_28112101,SPANISH-306-01,"HEALTH, CULTURE, LATINO COMMUN.SPANISH-306-01.CULANTH-306-01.GLHLTH-326-01.HLTHPOL-306-01.LSGS-306-01.","Solorzano, Rosa",Fall 2023,ROMANCE,"14 of 14  responded (100.00%)



 View Report
                            



 Download PDF","SPANISH, CULANTH, GLHLTH, HLTHPOL, LSGS",99029,CtmkEaIRhsSP75R5T115eg%3d%3d,6S2k3FMWKrWP3n97k9K0WQ%3d%3d,jogqrIMvt6DYzGlXds7KEw%3d%3d,2025-11-24T16:18:55.016254
153858_9169_12283073_27445818,CULANTH-424-1-01,MEDICAL ANTHROPOLOGY.CULANTH-424-1-01.GLHLTH-321-1-01.HLTHPOL-424-1-01.ICS-424-1-01.,"Solomon, Harris",Fall 2023,CULANTHRO,"14 of 16  responded (87.50%)



 View Report
                            



 Download PDF","CULANTH, GLHLTH, HLTHPOL, ICS",98978,CtmkEaIRhsSP75R5T115eg%3d%3d,MpE3zSNsx9%2fdB6v2Nm85%2bQ%3d%3d,gM0NDTcfUjhfMlHm1i9r6w%3d%3d,2025-11-24T16:18:55.016375
153858_9169_12283122_27991609,ECON-462-01,BEHAVIORAL ECONOMICS.ECON-462-01.HLTHPOL-462-01.PSY-463-01.,"Sadowski, Philipp",Fall 2023,ECONOMICS,"5 of 16  responded (31.25%)



 View Report
                            



 Download PDF","ECON, HLTHPOL, PSY",98985,CtmkEaIRhsSP75R5T115eg%3d%3d,fa%2byYc8HLrrtZ0uacxVZZQ%3d%3d,wLypxSwuQCDRhrQUZEZv1g%3d%3d,2025-11-24T16:18:55.016453
161337_9470_12750501_28111924,HLTHPOL-396T-03,BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-03.,"Goodwin, Rory",Spring 2024,MARGOLIS,"6 of 6  responded (100.00%)



 View Report
                            



 Download PDF",HLTHPOL,99009,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,oIp%2fxRYdxnp7eKxxB1scSQ%3d%3d,jxV%2fdY%2b9Jlo%2b8%2bCMmetalQ%3d%3d,2025-11-24T16:18:55.016526
161337_9470_12750546_27991539,HLTHPOL-396T-02,BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,"Hogan, Wesley",Spring 2024,MARGOLIS,"7 of 8  responded (87.50%)



 View Report
                            



 Download PDF",HLTHPOL,99009,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,kECHAHFr7T8uR%2bl2Rm31vw%3d%3d,bqVyaGI0V2MBuPv81W7zQw%3d%3d,2025-11-24T16:18:55.016600
