filename,semester,course,instructor,question_number,question_text,response_text
BME-500-1-01_Silcox__Christina_Spring_2024.html,Spring 2024,BME-500-1-01 : REIMBURSEMENT MED PROD.BME-500-1-01.HLTHPOL-540-01.,Christina Silcox,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",A much deeper understanding of both the regulatory and payment pathways/considerations for developing medical products. Also how to break down and identify key policy considerations when developing those products
BME-500-1-01_Silcox__Christina_Spring_2024.html,Spring 2024,BME-500-1-01 : REIMBURSEMENT MED PROD.BME-500-1-01.HLTHPOL-540-01.,Christina Silcox,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Learned about the regulations and the reimbursement in medical devices and drugs. also learned about the business side of things like how to market your product.
BME-500-1-01_Silcox__Christina_Spring_2024.html,Spring 2024,BME-500-1-01 : REIMBURSEMENT MED PROD.BME-500-1-01.HLTHPOL-540-01.,Christina Silcox,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","- Critical thinking about the reimbursement space in the USA
- Being able to justify the reimbursement, regulation, and business aspects that we presented in our roadmaps and presentations
- The interaction between regulation and innovation"
BME-500-1-01_Silcox__Christina_Spring_2024.html,Spring 2024,BME-500-1-01 : REIMBURSEMENT MED PROD.BME-500-1-01.HLTHPOL-540-01.,Christina Silcox,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Reimbursement institutions 
Regulatory policies
Insurance"
BME-500-1-01_Silcox__Christina_Spring_2024.html,Spring 2024,BME-500-1-01 : REIMBURSEMENT MED PROD.BME-500-1-01.HLTHPOL-540-01.,Christina Silcox,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I definitely formed an entirely new knowledge set surrounding the FDA and what approval entails. I think that this class was incredibly beneficial in learning the aspects of medical devices/drugs outside of the science realm. I enjoyed finally having a class that was not just lecture-based and included conversation/discussion.
BME-500-1-01_Silcox__Christina_Spring_2024.html,Spring 2024,BME-500-1-01 : REIMBURSEMENT MED PROD.BME-500-1-01.HLTHPOL-540-01.,Christina Silcox,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","First, I learned way more about the US and Global regulatory pathways than I could have ever imaged. Although, I still have some confusion on the payment/reimbursement pathways, I feel much more confident with that information and am motivated to pursue that topic on my own further. I have also been surprised by the level of consideration and detail that goes into the business plan/regulatory roadmap and I have gained a greater appreciation for the thoughtful and accurate execution of these plans."
BME-500-1-01_Silcox__Christina_Spring_2024.html,Spring 2024,BME-500-1-01 : REIMBURSEMENT MED PROD.BME-500-1-01.HLTHPOL-540-01.,Christina Silcox,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","This course was extremely informative about how medical products go from an idea to the market. Before this class, I knew nothing about how medical products get FDA approval and reimbursed by insurance- I only knew that the FDA and insurance were things. Through this course, I learned a great detail about how medical products receive FDA approval, the process they undergo to get reimbursed, and the dynamics between these two processes. Going through the final project too helped greatly illuminate all of the various components that must be considered when trying to get a product to market."
BME-500-1-01_Silcox__Christina_Spring_2024.html,Spring 2024,BME-500-1-01 : REIMBURSEMENT MED PROD.BME-500-1-01.HLTHPOL-540-01.,Christina Silcox,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","FDA regulations to get a product approved
Idea of the business roadmap for a product
Planning for any new innovation"
BME-500-1-01_Silcox__Christina_Spring_2024.html,Spring 2024,BME-500-1-01 : REIMBURSEMENT MED PROD.BME-500-1-01.HLTHPOL-540-01.,Christina Silcox,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Device classes, device pathways, drug pricing"
BME-500-1-01_Silcox__Christina_Spring_2024.html,Spring 2024,BME-500-1-01 : REIMBURSEMENT MED PROD.BME-500-1-01.HLTHPOL-540-01.,Christina Silcox,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I really enjoyed the asynchronous lectures. I felt those were a great way to engage with more niche/nuanced topics in a constructive way.
