filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
BME-500-1-01_Silcox__Christina_Spring_2024.html,Spring 2024,BME-500-1-01 : REIMBURSEMENT MED PROD.BME-500-1-01.HLTHPOL-540-01.,Christina Silcox,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
BME-500-1-01_Silcox__Christina_Spring_2024.html,Spring 2024,BME-500-1-01 : REIMBURSEMENT MED PROD.BME-500-1-01.HLTHPOL-540-01.,Christina Silcox,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
BME-500-1-01_Silcox__Christina_Spring_2024.html,Spring 2024,BME-500-1-01 : REIMBURSEMENT MED PROD.BME-500-1-01.HLTHPOL-540-01.,Christina Silcox,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,11/11 (100%),4.18,0.98,4.00
BME-500-1-01_Silcox__Christina_Spring_2024.html,Spring 2024,BME-500-1-01 : REIMBURSEMENT MED PROD.BME-500-1-01.HLTHPOL-540-01.,Christina Silcox,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),1,9.09%,11/11 (100%),4.18,0.98,4.00
BME-500-1-01_Silcox__Christina_Spring_2024.html,Spring 2024,BME-500-1-01 : REIMBURSEMENT MED PROD.BME-500-1-01.HLTHPOL-540-01.,Christina Silcox,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),1,9.09%,11/11 (100%),4.18,0.98,4.00
BME-500-1-01_Silcox__Christina_Spring_2024.html,Spring 2024,BME-500-1-01 : REIMBURSEMENT MED PROD.BME-500-1-01.HLTHPOL-540-01.,Christina Silcox,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),4,36.36%,11/11 (100%),4.18,0.98,4.00
BME-500-1-01_Silcox__Christina_Spring_2024.html,Spring 2024,BME-500-1-01 : REIMBURSEMENT MED PROD.BME-500-1-01.HLTHPOL-540-01.,Christina Silcox,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),5,45.45%,11/11 (100%),4.18,0.98,4.00
BME-500-1-01_Silcox__Christina_Spring_2024.html,Spring 2024,BME-500-1-01 : REIMBURSEMENT MED PROD.BME-500-1-01.HLTHPOL-540-01.,Christina Silcox,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
BME-500-1-01_Silcox__Christina_Spring_2024.html,Spring 2024,BME-500-1-01 : REIMBURSEMENT MED PROD.BME-500-1-01.HLTHPOL-540-01.,Christina Silcox,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),2,18.18%,11/11 (100%),3.55,1.37,4.00
BME-500-1-01_Silcox__Christina_Spring_2024.html,Spring 2024,BME-500-1-01 : REIMBURSEMENT MED PROD.BME-500-1-01.HLTHPOL-540-01.,Christina Silcox,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,11/11 (100%),3.55,1.37,4.00
