filename,semester,course,instructor,question_number,question_text,response_text
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Front end and back end development
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Full stack web development. Using ruby and react. Website and database management. Web scraping
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Development skills
Best practices
How to build a website"
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","(Do note that these comments are for the student teacher, Alexander Pieroni) Debugging skills and tools, full stack software mindset (how to navigate, connect components, create a cohesive product), deployment skills."
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to deploy a site, how to use css and js to build a full stack app, and how databases worked"
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Maybe the course goals can be kept more realistic. Given that it is a half credit the goals should be more grounded as time commitment is a major factor. The materials were quite useful.
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Alex was very helpful
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","(Note these comments refer to the student teacher, Alexander Pieroni) By far the best teacher I have had at Duke. Incredibly engaging, asked a lot of questions, spent a lot of time on the class page so we had all expectations, resources, and notes very easily. He always made sure to do checkpoints and encouraged asking questions to anything we did not understand. Having such a tough topic like full stack development and making it so interactive would be great."
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I am glad that I took this course because having a built out web app is very cool and it being project based was great
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"Small class size, professor very engaging."
