filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",6/17 (35.29%),4.33,0.82,4.50,6,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (16.67%); Very Good: 2 (33.33%); Excellent: 3 (50.00%)
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",6/17 (35.29%),4.33,0.82,4.50,6,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (16.67%); Very Good: 2 (33.33%); Excellent: 3 (50.00%)
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",5/17 (29.41%),4.20,1.10,5.00,5,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 2 (40.00%); Very Good: 0 (0.00%); Excellent: 3 (60.00%)
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,8,The course was difficult.,6/17 (35.29%),3.00,1.26,2.50,6,Strongly disagree: 0 (0.00%); Disagree: 3 (50.00%); Neither agree nor disagree: 1 (16.67%); Agree: 1 (16.67%); Strongly agree: 1 (16.67%)
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,6/17 (35.29%),3.83,2.14,3.00,6,1: 0 (0.00%); 2: 1 (16.67%); 3: 3 (50.00%); 4: 1 (16.67%); 5: 0 (0.00%); 6: 0 (0.00%); 7: 0 (0.00%); 8: 1 (16.67%); 9: 0 (0.00%); 10+: 0 (0.00%)
HOUSECS-59-02_Zhang__Justin_Fall_2023.html,Fall 2023,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Justin Zhang,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
HOUSECS-59-02_Zhang__Justin_Fall_2023.html,Fall 2023,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Justin Zhang,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
HOUSECS-59-02_Zhang__Justin_Fall_2023.html,Fall 2023,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Justin Zhang,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",7/14 (50%),3.86,0.69,4.00,7,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 2 (28.57%); Very Good: 4 (57.14%); Excellent: 1 (14.29%)
HOUSECS-59-02_Zhang__Justin_Fall_2023.html,Fall 2023,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Justin Zhang,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
HOUSECS-59-02_Zhang__Justin_Fall_2023.html,Fall 2023,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Justin Zhang,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",8/14 (57.14%),4.25,0.89,4.50,8,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 2 (25.00%); Very Good: 2 (25.00%); Excellent: 4 (50.00%)
HOUSECS-59-02_Zhang__Justin_Fall_2023.html,Fall 2023,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Justin Zhang,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",8/14 (57.14%),4.38,0.74,4.50,8,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (12.50%); Very Good: 3 (37.50%); Excellent: 4 (50.00%)
HOUSECS-59-02_Zhang__Justin_Fall_2023.html,Fall 2023,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Justin Zhang,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
HOUSECS-59-02_Zhang__Justin_Fall_2023.html,Fall 2023,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Justin Zhang,8,The course was difficult.,8/14 (57.14%),1.88,0.83,2.00,8,Strongly disagree: 3 (37.50%); Disagree: 3 (37.50%); Neither agree nor disagree: 2 (25.00%); Agree: 0 (0.00%); Strongly agree: 0 (0.00%)
HOUSECS-59-02_Zhang__Justin_Fall_2023.html,Fall 2023,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Justin Zhang,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,8/14 (57.14%),1.25,0.46,1.00,8,1: 6 (75.00%); 2: 2 (25.00%); 3: 0 (0.00%); 4: 0 (0.00%); 5: 0 (0.00%); 6: 0 (0.00%); 7: 0 (0.00%); 8: 0 (0.00%); 9: 0 (0.00%); 10+: 0 (0.00%)
HOUSECS-59-03_Manocha__Vik_Fall_2023.html,Fall 2023,HOUSECS-59-03 : HOUSE COURSE (SP TOP).HOUSECS-59-03.,Vik Manocha,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
HOUSECS-59-03_Manocha__Vik_Fall_2023.html,Fall 2023,HOUSECS-59-03 : HOUSE COURSE (SP TOP).HOUSECS-59-03.,Vik Manocha,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
HOUSECS-59-03_Manocha__Vik_Fall_2023.html,Fall 2023,HOUSECS-59-03 : HOUSE COURSE (SP TOP).HOUSECS-59-03.,Vik Manocha,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",10/18 (55.56%),4.60,0.52,5.00,10,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 4 (40.00%); Excellent: 6 (60.00%)
HOUSECS-59-03_Manocha__Vik_Fall_2023.html,Fall 2023,HOUSECS-59-03 : HOUSE COURSE (SP TOP).HOUSECS-59-03.,Vik Manocha,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
HOUSECS-59-03_Manocha__Vik_Fall_2023.html,Fall 2023,HOUSECS-59-03 : HOUSE COURSE (SP TOP).HOUSECS-59-03.,Vik Manocha,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",10/18 (55.56%),4.70,0.48,5.00,10,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 3 (30.00%); Excellent: 7 (70.00%)
HOUSECS-59-03_Manocha__Vik_Fall_2023.html,Fall 2023,HOUSECS-59-03 : HOUSE COURSE (SP TOP).HOUSECS-59-03.,Vik Manocha,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",10/18 (55.56%),4.80,0.42,5.00,10,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 2 (20.00%); Excellent: 8 (80.00%)
HOUSECS-59-03_Manocha__Vik_Fall_2023.html,Fall 2023,HOUSECS-59-03 : HOUSE COURSE (SP TOP).HOUSECS-59-03.,Vik Manocha,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
HOUSECS-59-03_Manocha__Vik_Fall_2023.html,Fall 2023,HOUSECS-59-03 : HOUSE COURSE (SP TOP).HOUSECS-59-03.,Vik Manocha,8,The course was difficult.,10/18 (55.56%),1.80,1.03,1.50,10,Strongly disagree: 5 (50.00%); Disagree: 3 (30.00%); Neither agree nor disagree: 1 (10.00%); Agree: 1 (10.00%); Strongly agree: 0 (0.00%)
