filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,6/17 (35.29%),4.33,0.82,4.50
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,6/17 (35.29%),4.33,0.82,4.50
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),1,16.67%,6/17 (35.29%),4.33,0.82,4.50
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),2,33.33%,6/17 (35.29%),4.33,0.82,4.50
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),3,50.00%,6/17 (35.29%),4.33,0.82,4.50
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,6/17 (35.29%),4.33,0.82,4.50
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,6/17 (35.29%),4.33,0.82,4.50
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),1,16.67%,6/17 (35.29%),4.33,0.82,4.50
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),2,33.33%,6/17 (35.29%),4.33,0.82,4.50
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),3,50.00%,6/17 (35.29%),4.33,0.82,4.50
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,5/17 (29.41%),4.20,1.10,5.00
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),0,0.00%,5/17 (29.41%),4.20,1.10,5.00
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),2,40.00%,5/17 (29.41%),4.20,1.10,5.00
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Very Good,(4),0,0.00%,5/17 (29.41%),4.20,1.10,5.00
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Excellent,(5),3,60.00%,5/17 (29.41%),4.20,1.10,5.00
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,,,
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,8,The course was difficult.,Strongly disagree,(1),0,0.00%,6/17 (35.29%),3.00,1.26,2.50
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,8,The course was difficult.,Disagree,(2),3,50.00%,6/17 (35.29%),3.00,1.26,2.50
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,8,The course was difficult.,Neither agree nor disagree,(3),1,16.67%,6/17 (35.29%),3.00,1.26,2.50
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,8,The course was difficult.,Agree,(4),1,16.67%,6/17 (35.29%),3.00,1.26,2.50
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,8,The course was difficult.,Strongly agree,(5),1,16.67%,6/17 (35.29%),3.00,1.26,2.50
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,1,(1),0,0.00%,6/17 (35.29%),3.83,2.14,3.00
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,2,(2),1,16.67%,6/17 (35.29%),3.83,2.14,3.00
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,3,(3),3,50.00%,6/17 (35.29%),3.83,2.14,3.00
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,4,(4),1,16.67%,6/17 (35.29%),3.83,2.14,3.00
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,5,(5),0,0.00%,6/17 (35.29%),3.83,2.14,3.00
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,6,(6),0,0.00%,6/17 (35.29%),3.83,2.14,3.00
HOUSECS-59-02_Davis__Daniel_Fall_2024.html,Fall 2024,HOUSECS-59-02 : HOUSE COURSE (SP TOP).HOUSECS-59-02.,Daniel Davis,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,7,(7),0,0.00%,6/17 (35.29%),3.83,2.14,3.00
