uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
149911_8928_11987226_27466668,I&E-271A-01,BLDG/SUSTAIN A SUCCESS ENTERPR.I&E-271A-01.ECON-281A-01.,"Park, Isaac",Summer I 2023,I&E,"8 of 20  responded (40.00%)



 View Report
                            



 Download PDF","I&E, ECON",98999,R3taZNKnw14IRH7UBESaUg%3d%3d,gQNmBagSPCW23Jag9bbh3g%3d%3d,SfarxJWNcFzfy4sT2IFwZQ%3d%3d,2025-11-24T16:19:17.909555
149911_8928_11987226_27466671,I&E-271A-01,BLDG/SUSTAIN A SUCCESS ENTERPR.I&E-271A-01.ECON-281A-01.,"Jones, Jamie",Summer I 2023,I&E,"8 of 20  responded (40.00%)



 View Report
                            



 Download PDF","I&E, ECON",98999,R3taZNKnw14IRH7UBESaUg%3d%3d,gQNmBagSPCW23Jag9bbh3g%3d%3d,2uYkpvQEGQKwK5nLLpPtWw%3d%3d,2025-11-24T16:19:17.909657
149911_8928_11987226_27466674,I&E-271A-01,BLDG/SUSTAIN A SUCCESS ENTERPR.I&E-271A-01.ECON-281A-01.,"Amato, Katharine",Summer I 2023,I&E,"8 of 20  responded (40.00%)



 View Report
                            



 Download PDF","I&E, ECON",98999,R3taZNKnw14IRH7UBESaUg%3d%3d,gQNmBagSPCW23Jag9bbh3g%3d%3d,b7uApLyoxjd8YYRCzJgfag%3d%3d,2025-11-24T16:19:17.909780
154498_9169_12229830_27959559,EGR-590-01,SPECIAL TOPICS IN ENGINEERING.EGR-590-01.ENVIRON-590-01.I&E-590-03.,"Ledlee, Judy",Fall 2023,EGRDEPT,"9 of 20  responded (45.00%)



 View Report
                            



 Download PDF","EGR, ENVIRON, I&E",98896,5NQVVcqSmy0g70dgOR1wxw%3d%3d,a4qsGOoidc2Mb%2ftLu2XXvg%3d%3d,evfLjt0wXgpHPKt4x5ySGw%3d%3d,2025-11-24T16:19:17.909868
154503_9169_12241297_27991540,I&E-748-01,NEW VENTURES DISCOVERY.I&E-748-01.,"Dinin, Aaron",Fall 2023,I&E,"11 of 22  responded (50.00%)



 View Report
                            



 Download PDF",I&E,98850,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,LNTvghSakjN9uKfBPYCSBg%3d%3d,lEcO8z%2bUbcEi0GRRy2h3AA%3d%3d,2025-11-24T16:19:17.909984
154503_9169_12241337_27991519,I&E-745-01,NARRATIVE DESIGN.I&E-745-01.,"Chernik, Aria",Fall 2023,I&E,"19 of 39  responded (48.72%)



 View Report
                            



 Download PDF",I&E,98850,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,ehn5jpPsZeeUj2RXbZH3Fw%3d%3d,JJNymSPmwHSR2d86cA0AmQ%3d%3d,2025-11-24T16:19:17.910071
154503_9169_12241483_27991651,I&E-510-01,SOCIAL INNOVATION PRACTICUM.I&E-510-01.PUBPOL-511-01.,"Cruikshank, Lila",Fall 2023,I&E,"5 of 15  responded (33.33%)



 View Report
                            



 Download PDF","I&E, PUBPOL",98850,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,bWXxi%2bA1bJn4rmqdKAcIyg%3d%3d,CvTL9kLpGHDX0WNGQiPsmA%3d%3d,2025-11-24T16:19:17.910154
154503_9169_12241652_27991519,I&E-511-01,DESIGNING ETHICAL TECH.I&E-511-01.ISS-511-01.PUBPOL-514-01.,"Chernik, Aria",Fall 2023,I&E,"5 of 13  responded (38.46%)



 View Report
                            



 Download PDF","I&E, ISS, PUBPOL",98850,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,wKqV6qY%2fuYacPnLsrgFk%2fA%3d%3d,JJNymSPmwHSR2d86cA0AmQ%3d%3d,2025-11-24T16:19:17.910236
153858_9169_12282431_28111914,I&E-190-01,SPECIAL TOPICS IN I&E.I&E-190-01.,"Bhattachar, Catherine",Fall 2023,I&E,"7 of 11  responded (63.64%)



 View Report
                            



 Download PDF",I&E,98999,CtmkEaIRhsSP75R5T115eg%3d%3d,VVZQd9KfTsWw86PWW64aeA%3d%3d,baSN%2fl4lO%2fWkLT2NiBw4jg%3d%3d,2025-11-24T16:19:17.910316
153858_9169_12282436_27466674,I&E-352-01,INNOVATION & ENTREPRENEURSHIP.I&E-352-01.,"Amato, Katharine",Fall 2023,I&E,"28 of 32  responded (87.50%)



 View Report
                            



 Download PDF",I&E,98999,CtmkEaIRhsSP75R5T115eg%3d%3d,Azu4m4XNbRby7pp1MBW0pA%3d%3d,b7uApLyoxjd8YYRCzJgfag%3d%3d,2025-11-24T16:19:17.910393
153858_9169_12282542_28111918,I&E-350-01,CUSTOMER EMPATHY BRAND DESIGN.I&E-350-01.,"Brinegar, Brad",Fall 2023,I&E,"10 of 24  responded (41.67%)



 View Report
                            



 Download PDF",I&E,98999,CtmkEaIRhsSP75R5T115eg%3d%3d,iGCRKAkyCx4lBoEGHxV5CQ%3d%3d,XKr6MD2dY9xzVtJDKg8zoQ%3d%3d,2025-11-24T16:19:17.910469
153858_9169_12282742_27466668,I&E-290-02,SPECIAL TOPICS.I&E-290-02.ISS-290-02.SCISOC-290-02.,"Park, Isaac",Fall 2023,I&E,"15 of 60  responded (25.00%)



 View Report
                            



 Download PDF","I&E, ISS, SCISOC",98999,CtmkEaIRhsSP75R5T115eg%3d%3d,1K5EVh8%2bUCCvTiV7o10dag%3d%3d,SfarxJWNcFzfy4sT2IFwZQ%3d%3d,2025-11-24T16:19:17.910547
153858_9169_12282742_28112113,I&E-290-02,SPECIAL TOPICS.I&E-290-02.ISS-290-02.SCISOC-290-02.,"Peters, Amy",Fall 2023,I&E,"15 of 60  responded (25.00%)



 View Report
                            



 Download PDF","I&E, ISS, SCISOC",98999,CtmkEaIRhsSP75R5T115eg%3d%3d,1K5EVh8%2bUCCvTiV7o10dag%3d%3d,F7V58YLk%2fCQrLAz9ye8yDg%3d%3d,2025-11-24T16:19:17.910627
153858_9169_12282860_27445912,I&E-263S-01,PROBLEM SOLVING GLOBAL HEALTH.I&E-263S-01.GLHLTH-273S-01.HLTHPOL-263S-01.,"Clements, Dennis",Fall 2023,I&E,"9 of 17  responded (52.94%)



 View Report
                            



 Download PDF","I&E, GLHLTH, HLTHPOL",98999,CtmkEaIRhsSP75R5T115eg%3d%3d,UYwjREBJ6YqZ1J%2f0LSbGVA%3d%3d,c%2fVTHk3hu%2bvzpum2kmKL7A%3d%3d,2025-11-24T16:19:17.910706
153858_9169_12282925_28112058,I&E-261-02,SOCIAL INNOVATION.I&E-261-02.PUBPOL-256-02.,"Worsham, Erin",Fall 2023,I&E,"8 of 17  responded (47.06%)



 View Report
                            



 Download PDF","I&E, PUBPOL",98999,CtmkEaIRhsSP75R5T115eg%3d%3d,sLy7nNeDT6OhS%2bfB7S6J6Q%3d%3d,lUXGx06laURUlnHNGv7HGQ%3d%3d,2025-11-24T16:19:17.910786
153858_9169_12282963_28112034,GSF-265S-01,DIGITAL FEMINISM.GSF-265S-01.CMAC-265S-01.COMPSCI-112S-01.I&E-265S-01.ISS-265S-01.SOCIOL-217S-01.VMS-286S-01.,"Gelfand, Rachel",Fall 2023,GSF,"10 of 15  responded (66.67%)



 View Report
                            



 Download PDF","GSF, CMAC, COMPSCI, I&E, ISS, SOCIOL, VMS",98996,CtmkEaIRhsSP75R5T115eg%3d%3d,A1tx7iX1sZ%2bFsnxlm4VE2A%3d%3d,I222ioYFwEO7qHXxdme02w%3d%3d,2025-11-24T16:19:17.910867
153858_9169_12283017_28112058,I&E-261-01,SOCIAL INNOVATION.I&E-261-01.PUBPOL-256-01.,"Worsham, Erin",Fall 2023,I&E,"6 of 20  responded (30.00%)



 View Report
                            



 Download PDF","I&E, PUBPOL",98999,CtmkEaIRhsSP75R5T115eg%3d%3d,ElA9%2fsw3R%2b4WGkcJZJa2ww%3d%3d,lUXGx06laURUlnHNGv7HGQ%3d%3d,2025-11-24T16:19:17.910971
