filename,semester,course,instructor,question_number,question_text,response_text
CULANTH-171-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,CULANTH-171-01 : ANTHROPOLOGISTS IN WORKPLACES.CULANTH-171-01.AAAS-171-01.I&E-171-01.ICS-171-01.SOCIOL-171-01.,Anne-Maria Makhulu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Asking really thoughtful and deep questions, unpacking the systematic inequalities and larger theoretical questions that govern ways of thinking - especially as it pertains to cultural integration."
CULANTH-171-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,CULANTH-171-01 : ANTHROPOLOGISTS IN WORKPLACES.CULANTH-171-01.AAAS-171-01.I&E-171-01.ICS-171-01.SOCIOL-171-01.,Anne-Maria Makhulu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Before coming, I wasn't familiar with anthropology and the papers that anthropologists do. However, this class taught me how to write ethnographies and study people from an anthropological perspective."
CULANTH-171-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,CULANTH-171-01 : ANTHROPOLOGISTS IN WORKPLACES.CULANTH-171-01.AAAS-171-01.I&E-171-01.ICS-171-01.SOCIOL-171-01.,Anne-Maria Makhulu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I've learned about various forms anthropology takes in practice and how anthropological knowledge can be applied in different fields, even those highly professional ones that at first glance does not seem to require anthropological insights. I've also learned about the workplace in different senses, from its exploitative environment to how to cope with that and develop personal aspirations."
CULANTH-171-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,CULANTH-171-01 : ANTHROPOLOGISTS IN WORKPLACES.CULANTH-171-01.AAAS-171-01.I&E-171-01.ICS-171-01.SOCIOL-171-01.,Anne-Maria Makhulu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I understand the importance of deep data, specifically when it comes to understanding the experience of a group of people. Big data is the law of the land right now, but deep data provides a different type of insight that allows us to understand why and how decisions or behaviors come about."
CULANTH-171-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,CULANTH-171-01 : ANTHROPOLOGISTS IN WORKPLACES.CULANTH-171-01.AAAS-171-01.I&E-171-01.ICS-171-01.SOCIOL-171-01.,Anne-Maria Makhulu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","What is ethnography, the application of anthropological methods in workplace"
CULANTH-171-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,CULANTH-171-01 : ANTHROPOLOGISTS IN WORKPLACES.CULANTH-171-01.AAAS-171-01.I&E-171-01.ICS-171-01.SOCIOL-171-01.,Anne-Maria Makhulu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to think critically, ask better questions, connect modern-day events to cultures and perspectives and just think on a broader bigger landscape, look at the big picture. I feel like professor really just made me a better thinker."
CULANTH-171-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,CULANTH-171-01 : ANTHROPOLOGISTS IN WORKPLACES.CULANTH-171-01.AAAS-171-01.I&E-171-01.ICS-171-01.SOCIOL-171-01.,Anne-Maria Makhulu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to listen better. That may sound very simple but it honestly is so true. I've left this class able to prioritize listening to others and truly take note of what they've said.
Additionally, I've learned how to better ask questions and to recognize that sometimes questions will lead you in different directions from where you started, just like life, and that's ok.
I've learned to prioritize the process as much as the outcome because I've learned so much just in my first semester and have ended up in places I didn't necessarily expect I would've at first."
CULANTH-171-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,CULANTH-171-01 : ANTHROPOLOGISTS IN WORKPLACES.CULANTH-171-01.AAAS-171-01.I&E-171-01.ICS-171-01.SOCIOL-171-01.,Anne-Maria Makhulu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Ethnography and thick descriptions
CULANTH-171-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,CULANTH-171-01 : ANTHROPOLOGISTS IN WORKPLACES.CULANTH-171-01.AAAS-171-01.I&E-171-01.ICS-171-01.SOCIOL-171-01.,Anne-Maria Makhulu,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I felt as though the emphasis on guest lectures, material, and films was very informative and my favorite class of the semester for it's small, engaging nature."
CULANTH-171-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,CULANTH-171-01 : ANTHROPOLOGISTS IN WORKPLACES.CULANTH-171-01.AAAS-171-01.I&E-171-01.ICS-171-01.SOCIOL-171-01.,Anne-Maria Makhulu,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","Professor Makhulu always listens to what we have to say. She makes the class easy for everyone to participate in, making it easier to learn from others and build new ideas."
