uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
149911_8928_11987191_27466657,PHYSICS-141L-001,GENERAL PHYSICS I.PHYSICS-141L-001.,"Roy, Arya",Summer I 2023,PHYSICS,"12 of 42  responded (28.57%)



 View Report
                            



 Download PDF",PHYSICS,99023,R3taZNKnw14IRH7UBESaUg%3d%3d,lw9RuCGPqs47wvqfQLwbiw%3d%3d,UVlHNNybdMC0PHpPxV2X%2bg%3d%3d,2025-11-24T16:19:56.609789
149911_8928_11987197_27466656,PHYSICS-141L9-01L,GENERAL PHYSICS I (LAB).PHYSICS-141L9-01L.,"McKenzie, Ken",Summer I 2023,PHYSICS,"7 of 22  responded (31.82%)



 View Report
                            



 Download PDF",,99023,R3taZNKnw14IRH7UBESaUg%3d%3d,4PaqFKAv3%2bDRkzhqSDfDAw%3d%3d,7aE3pAMaBTiMFqK%2b9S9ZvA%3d%3d,2025-11-24T16:19:56.609888
149911_8928_11987197_27466657,PHYSICS-141L9-01L,GENERAL PHYSICS I (LAB).PHYSICS-141L9-01L.,"Roy, Arya",Summer I 2023,PHYSICS,"7 of 22  responded (31.82%)



 View Report
                            



 Download PDF",,99023,R3taZNKnw14IRH7UBESaUg%3d%3d,4PaqFKAv3%2bDRkzhqSDfDAw%3d%3d,UVlHNNybdMC0PHpPxV2X%2bg%3d%3d,2025-11-24T16:19:56.609972
149911_8928_11987202_27466659,PHYSICS-142L-001,GENERAL PHYSICS II.PHYSICS-142L-001.,"Chandrasekharan, Shailesh",Summer I 2023,PHYSICS,"6 of 17  responded (35.29%)



 View Report
                            



 Download PDF",PHYSICS,99023,R3taZNKnw14IRH7UBESaUg%3d%3d,UkFjijis6Ssr5aABmpN4GA%3d%3d,rCqJy7CFgBNRrVRFF6ZcvQ%3d%3d,2025-11-24T16:19:56.610053
149911_8928_11987213_27466656,PHYSICS-141L-002,GENERAL PHYSICS I.PHYSICS-141L-002.,"McKenzie, Ken",Summer I 2023,PHYSICS,"17 of 18  responded (94.44%)



 View Report
                            



 Download PDF",PHYSICS,99023,R3taZNKnw14IRH7UBESaUg%3d%3d,oyljQtgZNPyvAAptcGnzoQ%3d%3d,7aE3pAMaBTiMFqK%2b9S9ZvA%3d%3d,2025-11-24T16:19:56.610134
149911_8928_11987213_27466658,PHYSICS-141L-002,GENERAL PHYSICS I.PHYSICS-141L-002.,"Brown, Robert",Summer I 2023,PHYSICS,"17 of 18  responded (94.44%)



 View Report
                            



 Download PDF",PHYSICS,99023,R3taZNKnw14IRH7UBESaUg%3d%3d,oyljQtgZNPyvAAptcGnzoQ%3d%3d,rE7neHlMeBYd0geF%2fI8WIw%3d%3d,2025-11-24T16:19:56.610214
149911_8928_11987234_27466685,AMES-326A-01,RELIGIOUS CITIZENSHIP.AMES-326A-01.RELIGION-371A-01.ICS-362A-01.POLSCI-395A-01.PUBPOL-339A-01.,"Lo, Mbaye",Summer I 2023,AMES,"9 of 9  responded (100.00%)



 View Report
                            



 Download PDF","AMES, RELIGION, ICS, POLSCI, PUBPOL",98965,R3taZNKnw14IRH7UBESaUg%3d%3d,8mMVIfOvzVxBYIhJDBwLpA%3d%3d,%2fWt4Q5%2boOYWs8P52yAUmbQ%3d%3d,2025-11-24T16:19:56.610294
149911_8928_11987238_27466690,AAAS-103-01,INTRO TO AFRICAN STUDIES.AAAS-103-01.CULANTH-105-01.HISTORY-129-01.POLSCI-108-01.ICS-110-01.,"Daly, Samuel",Summer I 2023,AFRAMRST,"5 of 20  responded (25.00%)



 View Report
                            



 Download PDF","AAAS, CULANTH, HISTORY, POLSCI, ICS",98963,R3taZNKnw14IRH7UBESaUg%3d%3d,zX8pbnMD1QLyVlk5%2fPZCEg%3d%3d,jM0e%2bv8aMV1e00v6crH5vQ%3d%3d,2025-11-24T16:19:56.610402
152527_9107_12076172_27445801,DOCST-101-01,TRADITIONS IN DOC STUDIES.DOCST-101-01.VMS-103-01.ICS-111-01.,"Sims, Christopher",Summer II 2023,DOCST,"6 of 15  responded (40.00%)



 View Report
                            



 Download PDF","DOCST, VMS, ICS",98982,4TxgzUHg4Suz2MS8X7frbw%3d%3d,INBLWBvCr2ugXvMft6C2XA%3d%3d,P0MP4YBAKgKe%2budlQRWrlg%3d%3d,2025-11-24T16:19:56.610489
152527_9107_12076207_27466656,PHYSICS-142L-001,GENERAL PHYSICS II.PHYSICS-142L-001.,"McKenzie, Ken",Summer II 2023,PHYSICS,"18 of 18  responded (100.00%)



 View Report
                            



 Download PDF",PHYSICS,99023,4TxgzUHg4Suz2MS8X7frbw%3d%3d,0vKKIO%2bDhOJmSqyEKjY%2fSg%3d%3d,7aE3pAMaBTiMFqK%2b9S9ZvA%3d%3d,2025-11-24T16:19:56.610570
