filename,semester,course,instructor,question_number,question_text,response_text
IDS-583-01_Liu__Hengzhong_Spring_2025.html,Spring 2025,IDS-583-01 : DERIVATIVES & RISK MANAGEMENT.IDS-583-01.MATH-583-01.,Hengzhong Liu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Risk management models and approaches, knowledge about financial derivatives"
IDS-583-01_Liu__Hengzhong_Spring_2025.html,Spring 2025,IDS-583-01 : DERIVATIVES & RISK MANAGEMENT.IDS-583-01.MATH-583-01.,Hengzhong Liu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Financial basis, financial modeling, risk management."
IDS-583-01_Liu__Hengzhong_Spring_2025.html,Spring 2025,IDS-583-01 : DERIVATIVES & RISK MANAGEMENT.IDS-583-01.MATH-583-01.,Hengzhong Liu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Risk management strategies in trading and banking. Learnt how to identify, quantify and mitigate risk in various ways."
IDS-583-01_Liu__Hengzhong_Spring_2025.html,Spring 2025,IDS-583-01 : DERIVATIVES & RISK MANAGEMENT.IDS-583-01.MATH-583-01.,Hengzhong Liu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned the basics of derivatives. I learned about bond pricing, discounting, etc. I learned about vaolatility and how it is measured."
IDS-583-01_Liu__Hengzhong_Spring_2025.html,Spring 2025,IDS-583-01 : DERIVATIVES & RISK MANAGEMENT.IDS-583-01.MATH-583-01.,Hengzhong Liu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Math thought;
Finance sense;
Coding ability"
IDS-583-01_Liu__Hengzhong_Spring_2025.html,Spring 2025,IDS-583-01 : DERIVATIVES & RISK MANAGEMENT.IDS-583-01.MATH-583-01.,Hengzhong Liu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","all types of risk, how banks manage risk, ways to manage risk"
IDS-583-01_Liu__Hengzhong_Spring_2025.html,Spring 2025,IDS-583-01 : DERIVATIVES & RISK MANAGEMENT.IDS-583-01.MATH-583-01.,Hengzhong Liu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I really learned a lot regarding risk assessment and mitigation strategies. I really appreciated learning about all aspects, including credit and market risk."
IDS-583-01_Liu__Hengzhong_Spring_2025.html,Spring 2025,IDS-583-01 : DERIVATIVES & RISK MANAGEMENT.IDS-583-01.MATH-583-01.,Hengzhong Liu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned a lot surrounding credit risk and some more general finance topics that I really had not known about in the past. Our final project was incredibly hands on, and I found that I learned a lot about how to source data."
IDS-583-01_Liu__Hengzhong_Spring_2025.html,Spring 2025,IDS-583-01 : DERIVATIVES & RISK MANAGEMENT.IDS-583-01.MATH-583-01.,Hengzhong Liu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned to measure and interpret financial risks using tools like Value at Risk, Expected Shortfall, and the Merton credit model. I also gained practical skills in mitigating risk—through hedging with options or futures, diversifying portfolios, and deploying credit derivatives and securitization techniques. Lastly, I developed an enterprise-wide perspective on risk management by studying operational, liquidity, and model risks, as well as stress testing and capital adequacy, enabling me to see how interconnected factors affect an entire financial institution."
IDS-583-01_Liu__Hengzhong_Spring_2025.html,Spring 2025,IDS-583-01 : DERIVATIVES & RISK MANAGEMENT.IDS-583-01.MATH-583-01.,Hengzhong Liu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Know about credit risk with modeling, know about EMMA and GARCH for volatility forecasting, and know about risk happening in the entire banking system."
IDS-583-01_Liu__Hengzhong_Spring_2025.html,Spring 2025,IDS-583-01 : DERIVATIVES & RISK MANAGEMENT.IDS-583-01.MATH-583-01.,Hengzhong Liu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about various risk management strategies.
I learned about different types of risk and other important financial concepts.
I worked on delivering a group presentation and preparing a final research project based on real-world data."
IDS-583-01_Liu__Hengzhong_Spring_2025.html,Spring 2025,IDS-583-01 : DERIVATIVES & RISK MANAGEMENT.IDS-583-01.MATH-583-01.,Hengzhong Liu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","We learned about different ways to measure and mitigate risk across three areas: market risk, credit risk, and operational risk."
