uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
154503_9169_12241480_27446185,CMAC-580S-01,DIGITAL HUMANITIES PROSEM 1.CMAC-580S-01.ARTHIST-580S-01.HCVIS-580S-01.ISS-580S-01.VMS-580S-01.,"Szabo, Victoria",Fall 2023,CMAC,"8 of 16  responded (50.00%)



 View Report
                            



 Download PDF","CMAC, ARTHIST, HCVIS, ISS, VMS",98825,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,Ym8AmIg6zrB6ADSPRlQRVQ%3d%3d,BvecyrNpmuZAIglCF9YS2g%3d%3d,2025-11-24T16:24:05.227713
154503_9169_12241630_27991657,ARTSVIS-510S-01,BODY AS ELECTROCHEMICAL COMP.ARTSVIS-510S-01.CMAC-666S-01.ISS-666S-01.VMS-510S-01.,"Seaman, William",Fall 2023,ART&AHIST,"9 of 10  responded (90.00%)



 View Report
                            



 Download PDF","ARTSVIS, CMAC, ISS, VMS",98816,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,oFKDdS55NxZ9Z%2b%2f2m6Ga8w%3d%3d,4Nj%2bygE1G78Fra3nK1g3CA%3d%3d,2025-11-24T16:24:05.227867
154503_9169_12241652_27991519,I&E-511-01,DESIGNING ETHICAL TECH.I&E-511-01.ISS-511-01.PUBPOL-514-01.,"Chernik, Aria",Fall 2023,I&E,"5 of 13  responded (38.46%)



 View Report
                            



 Download PDF","I&E, ISS, PUBPOL",98850,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,wKqV6qY%2fuYacPnLsrgFk%2fA%3d%3d,JJNymSPmwHSR2d86cA0AmQ%3d%3d,2025-11-24T16:24:05.227952
153858_9169_12282381_28111933,ISS-125FS-001,FOUNDATIONS OF GAME DESIGN.ISS-125FS-001.,"Miller, Marshall",Fall 2023,ISS,"5 of 15  responded (33.33%)



 View Report
                            



 Download PDF",,99003,CtmkEaIRhsSP75R5T115eg%3d%3d,oFWW%2bd7iFKhZXvHbi9HsyA%3d%3d,wHiFe6QY1ivjO0WijJuLCw%3d%3d,2025-11-24T16:24:05.228031
153858_9169_12282742_27466668,I&E-290-02,SPECIAL TOPICS.I&E-290-02.ISS-290-02.SCISOC-290-02.,"Park, Isaac",Fall 2023,I&E,"15 of 60  responded (25.00%)



 View Report
                            



 Download PDF","I&E, ISS, SCISOC",98999,CtmkEaIRhsSP75R5T115eg%3d%3d,1K5EVh8%2bUCCvTiV7o10dag%3d%3d,SfarxJWNcFzfy4sT2IFwZQ%3d%3d,2025-11-24T16:24:05.228104
153858_9169_12282742_28112113,I&E-290-02,SPECIAL TOPICS.I&E-290-02.ISS-290-02.SCISOC-290-02.,"Peters, Amy",Fall 2023,I&E,"15 of 60  responded (25.00%)



 View Report
                            



 Download PDF","I&E, ISS, SCISOC",98999,CtmkEaIRhsSP75R5T115eg%3d%3d,1K5EVh8%2bUCCvTiV7o10dag%3d%3d,F7V58YLk%2fCQrLAz9ye8yDg%3d%3d,2025-11-24T16:24:05.228177
153858_9169_12282787_28112116,COMPSCI-290-01,TOPICS IN COMPUTER SCIENCE.COMPSCI-290-01.ECE-290-01.ISS-290-01.PUBPOL-290-12.,"Emami Naeini, Pardis",Fall 2023,COMPSCI,"17 of 59  responded (28.81%)



 View Report
                            



 Download PDF","COMPSCI, ECE, ISS, PUBPOL",98976,CtmkEaIRhsSP75R5T115eg%3d%3d,DkcreYNBxVYxaLTaO2esLA%3d%3d,ZA5u8xvLfOB60C4hbk35kg%3d%3d,2025-11-24T16:24:05.228251
153858_9169_12282803_27445874,AMES-188FS-01,GAMES AND CULTURE.AMES-188FS-01.ICS-186FS-01.ISS-188FS-01.LIT-188FS-01.POLSCI-186FS-01.VMS-188FS-01.,"Ginsburg, Shai",Fall 2023,AMES,"5 of 16  responded (31.25%)



 View Report
                            



 Download PDF",,98965,CtmkEaIRhsSP75R5T115eg%3d%3d,d4Ced2bGY59BSsm4YRsxFw%3d%3d,RLn6Ohgo9wAGJHGB9ltrjA%3d%3d,2025-11-24T16:24:05.228325
153858_9169_12282803_28112075,AMES-188FS-01,GAMES AND CULTURE.AMES-188FS-01.ICS-186FS-01.ISS-188FS-01.LIT-188FS-01.POLSCI-186FS-01.VMS-188FS-01.,"Ching, Leo",Fall 2023,AMES,"5 of 16  responded (31.25%)



 View Report
                            



 Download PDF",,98965,CtmkEaIRhsSP75R5T115eg%3d%3d,d4Ced2bGY59BSsm4YRsxFw%3d%3d,4G1msGgAG2flWYXX4adIow%3d%3d,2025-11-24T16:24:05.228397
153858_9169_12282849_27446185,CMAC-187FS-01,DIGITAL STORYTELLING.CMAC-187FS-01.ISS-187FS-01.VMS-187FS-01.,"Szabo, Victoria",Fall 2023,CMAC,"5 of 12  responded (41.67%)



 View Report
                            



 Download PDF",,98975,CtmkEaIRhsSP75R5T115eg%3d%3d,5qlBXytoJgb1kkR8zanj%2fA%3d%3d,BvecyrNpmuZAIglCF9YS2g%3d%3d,2025-11-24T16:24:05.228469
