uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
149911_8928_11987175_27466644,ITALIAN-213A-01,ACCELERATED INTERMED ITALIAN.ITALIAN-213A-01.,"Bilanceri, Laura",Summer I 2023,ROMANCE,"11 of 12  responded (91.67%)



 View Report
                            



 Download PDF",ITALIAN,99029,R3taZNKnw14IRH7UBESaUg%3d%3d,n9iSvl89C4IgSq%2f2sDvc%2bw%3d%3d,SYeM%2fNz8qX%2b7lbUa0wRHAg%3d%3d,2025-11-24T16:24:21.827773
153858_9169_12281895_27466687,ITALIAN-335-01,MAJOR ITALIAN AUTHORS.ITALIAN-335-01.,"Driscoll, Kathleen",Fall 2023,ROMANCE,"5 of 6  responded (83.33%)



 View Report
                            



 Download PDF",ITALIAN,99029,CtmkEaIRhsSP75R5T115eg%3d%3d,bCgeF2QRz7dVptcX26OUwQ%3d%3d,rwCrXs57EKOJNKLHlrjGlQ%3d%3d,2025-11-24T16:24:21.827892
153858_9169_12281909_27466644,ITALIAN-101-03,ELEMENTARY ITALIAN 1.ITALIAN-101-03.,"Bilanceri, Laura",Fall 2023,ROMANCE,"14 of 15  responded (93.33%)



 View Report
                            



 Download PDF",ITALIAN,99029,CtmkEaIRhsSP75R5T115eg%3d%3d,EghHF6v%2bUeJIoGreM9h3fg%3d%3d,SYeM%2fNz8qX%2b7lbUa0wRHAg%3d%3d,2025-11-24T16:24:21.828007
153858_9169_12281912_27466644,ITALIAN-101-01,ELEMENTARY ITALIAN 1.ITALIAN-101-01.,"Bilanceri, Laura",Fall 2023,ROMANCE,"9 of 10  responded (90.00%)



 View Report
                            



 Download PDF",ITALIAN,99029,CtmkEaIRhsSP75R5T115eg%3d%3d,wTVrt4tMBjfieqxqcmNFgw%3d%3d,SYeM%2fNz8qX%2b7lbUa0wRHAg%3d%3d,2025-11-24T16:24:21.828085
153858_9169_12281918_28111751,ITALIAN-203-04,INTERMEDIATE ITALIAN.ITALIAN-203-04.,"Spagnolo, Pierpaolo",Fall 2023,ROMANCE,"7 of 11  responded (63.64%)



 View Report
                            



 Download PDF",ITALIAN,99029,CtmkEaIRhsSP75R5T115eg%3d%3d,L%2bFmqjVUcioILfQaRFefKA%3d%3d,WIrN6PsBVMGqTLnvN1INYQ%3d%3d,2025-11-24T16:24:21.828159
153858_9169_12281919_28111762,ITALIAN-102-02,ELEMENTARY ITALIAN 2.ITALIAN-102-02.,"Casa, Laura",Fall 2023,ROMANCE,"5 of 5  responded (100.00%)



 View Report
                            



 Download PDF",ITALIAN,99029,CtmkEaIRhsSP75R5T115eg%3d%3d,vC3oZkx2Q6zETUqKkAOSaA%3d%3d,IWmDpDYvDJ5I160NwhEOvg%3d%3d,2025-11-24T16:24:21.828235
153858_9169_12281920_28111754,ITALIAN-203-02,INTERMEDIATE ITALIAN.ITALIAN-203-02.,"Tripano, Pietro",Fall 2023,ROMANCE,"9 of 9  responded (100.00%)



 View Report
                            



 Download PDF",ITALIAN,99029,CtmkEaIRhsSP75R5T115eg%3d%3d,eOt1legCovRCK1%2bCEDFzuw%3d%3d,IBt5SXlSptrMltn249mSNQ%3d%3d,2025-11-24T16:24:21.828312
153858_9169_12281927_28111748,ITALIAN-301S-01,INTRO TO ITALIAN STUDIES.ITALIAN-301S-01.,"Begali, Mattia",Fall 2023,ROMANCE,"11 of 13  responded (84.62%)



 View Report
                            



 Download PDF",ITALIAN,99029,CtmkEaIRhsSP75R5T115eg%3d%3d,EHVXIqLtsQTl7cQGEHIxYg%3d%3d,pBnoBKk29UMSUUmgySTaiQ%3d%3d,2025-11-24T16:24:21.828387
153858_9169_12281929_28111758,ITALIAN-102-04,ELEMENTARY ITALIAN 2.ITALIAN-102-04.,"Chambless, Della",Fall 2023,ROMANCE,"10 of 10  responded (100.00%)



 View Report
                            



 Download PDF",ITALIAN,99029,CtmkEaIRhsSP75R5T115eg%3d%3d,a2cb6hNxIgvo6cpjPp%2fEsA%3d%3d,W5akHFXukxkIKZ5vUR4KZQ%3d%3d,2025-11-24T16:24:21.828486
153858_9169_12281932_28111755,ITALIAN-101-05,ELEMENTARY ITALIAN 1.ITALIAN-101-05.,"Pisacane, Gerardo",Fall 2023,ROMANCE,"5 of 5  responded (100.00%)



 View Report
                            



 Download PDF",ITALIAN,99029,CtmkEaIRhsSP75R5T115eg%3d%3d,PxlHC1W1Qe5mNiYYG%2fDRrw%3d%3d,aaiLmJvl578hhbSwFohw7Q%3d%3d,2025-11-24T16:24:21.828592
