filename,semester,course,instructor,question_number,question_text,response_text
ARTHIST-258-01_Galletti__Sara_Fall_2023.html,Fall 2023,ARTHIST-258-01 : RENAISSANCE ARCH. IN ITALY.ARTHIST-258-01.ITALIAN-258-01.MEDREN-227-01.,Sara Galletti,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Assesing ancient architecture for elements of antiquity
ARTHIST-258-01_Galletti__Sara_Fall_2023.html,Fall 2023,ARTHIST-258-01 : RENAISSANCE ARCH. IN ITALY.ARTHIST-258-01.ITALIAN-258-01.MEDREN-227-01.,Sara Galletti,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned a variety of technical terms that I didn't know anything about before (pilasters, entablatures, etc.) 
I learned the professional relationships between Renaissance architects (ex. being able to compare/contrast Vasari to Michelangelo to Bramante)
I learned how to balance a modern aesthetic with the rules of antiquity architecture"
ARTHIST-258-01_Galletti__Sara_Fall_2023.html,Fall 2023,ARTHIST-258-01 : RENAISSANCE ARCH. IN ITALY.ARTHIST-258-01.ITALIAN-258-01.MEDREN-227-01.,Sara Galletti,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned a lot of architectural terms, construction methods, and how architecture is related to politics and economics."
ARTHIST-258-01_Galletti__Sara_Fall_2023.html,Fall 2023,ARTHIST-258-01 : RENAISSANCE ARCH. IN ITALY.ARTHIST-258-01.ITALIAN-258-01.MEDREN-227-01.,Sara Galletti,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I developed critical thinking skills and beautiful insights on renaissance architecture. I also developed better writing skills that helped me get to the point of what I was saying faster.
ARTHIST-258-01_Galletti__Sara_Fall_2023.html,Fall 2023,ARTHIST-258-01 : RENAISSANCE ARCH. IN ITALY.ARTHIST-258-01.ITALIAN-258-01.MEDREN-227-01.,Sara Galletti,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Application of architectural elements to new buildings presented in later classes --- using information from prior discussions to understand the architectural strategies presented in later discussions.Understanding lifestyles of different time periods and putting ourselves into the shoes of those people, walking through the buildings, to understand why they were built in a specific manner."
ARTHIST-258-01_Galletti__Sara_Fall_2023.html,Fall 2023,ARTHIST-258-01 : RENAISSANCE ARCH. IN ITALY.ARTHIST-258-01.ITALIAN-258-01.MEDREN-227-01.,Sara Galletti,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Learned a lot about specific Renaissance history, not only architectural but also general history, which was incredibly interesting as the background of the Renaissance is important to understand the architecture that came out of it. 
I learned how to think extra-critically about architecture, and realize how interconnected everyone involved in architectural history is. I also learned many things about the process of creating books and how printing worked. This may seem like a weird thing to take from this class, but understanding how books were made really helps with analyzing the old architectural books that we got ahold of."
ARTHIST-258-01_Galletti__Sara_Fall_2023.html,Fall 2023,ARTHIST-258-01 : RENAISSANCE ARCH. IN ITALY.ARTHIST-258-01.ITALIAN-258-01.MEDREN-227-01.,Sara Galletti,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","How to identify, categorize, examine, and otherwise engage with the architecture and history of Renaissance buildings. Learning about their function, how they came to be, who was responsible for them, where they are located, what influenced their design and in turn what designs they themselves influenced, how they were effected by historical events - all of these things were learned through this course, and it was very very enjoyable to learn!! Incredibly thorough and well-rounded!"
ARTHIST-258-01_Galletti__Sara_Fall_2023.html,Fall 2023,ARTHIST-258-01 : RENAISSANCE ARCH. IN ITALY.ARTHIST-258-01.ITALIAN-258-01.MEDREN-227-01.,Sara Galletti,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned a lot about how to take effective notes, as these types of classes are out of my comfort zone and i'm not used to a heavy lecture class. I learned a lot about the connected between architecture and history and how certain time periods, like the renissance, reflect the style of architecture that is used in the buildings."
ARTHIST-258-01_Galletti__Sara_Fall_2023.html,Fall 2023,ARTHIST-258-01 : RENAISSANCE ARCH. IN ITALY.ARTHIST-258-01.ITALIAN-258-01.MEDREN-227-01.,Sara Galletti,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Really tought me in a way where I could retain the information easily and pickup the next class just where I left off
ARTHIST-258-01_Galletti__Sara_Fall_2023.html,Fall 2023,ARTHIST-258-01 : RENAISSANCE ARCH. IN ITALY.ARTHIST-258-01.ITALIAN-258-01.MEDREN-227-01.,Sara Galletti,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",It was very relaxed class we were always able to stop lecture and ask questions which I appreciated.
