filename,semester,course,instructor,question_number,question_text,response_text
DOCST-135S-01_Ahmed__Shiraz_Spring_2024.html,Spring 2024,DOCST-135S-01 : INTRO TO AUDIO DOCUMENTARY.DOCST-135S-01.JAM-135S-01.,Shiraz Ahmed,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned to critically engage with narrative audio documentary in a way I hadn't before, to think about the ethics of documentary in a deeper, more critical way, and to formulate a narrative for an audio piece."
DOCST-135S-01_Ahmed__Shiraz_Spring_2024.html,Spring 2024,DOCST-135S-01 : INTRO TO AUDIO DOCUMENTARY.DOCST-135S-01.JAM-135S-01.,Shiraz Ahmed,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Exploring a new medium
DOCST-135S-01_Ahmed__Shiraz_Spring_2024.html,Spring 2024,DOCST-135S-01 : INTRO TO AUDIO DOCUMENTARY.DOCST-135S-01.JAM-135S-01.,Shiraz Ahmed,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","ethics of audio documentary
what makes a good audio documentary
how to build a boundaries with your subjects"
DOCST-135S-01_Ahmed__Shiraz_Spring_2024.html,Spring 2024,DOCST-135S-01 : INTRO TO AUDIO DOCUMENTARY.DOCST-135S-01.JAM-135S-01.,Shiraz Ahmed,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned the importance of ethical story telling, how to get consent from my subjects and how to edit and record audio"
DOCST-135S-01_Ahmed__Shiraz_Spring_2024.html,Spring 2024,DOCST-135S-01 : INTRO TO AUDIO DOCUMENTARY.DOCST-135S-01.JAM-135S-01.,Shiraz Ahmed,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Technical aspects of audio production, recording, and interview skills. Learned listening and storytelling skills to put together a podcast on our own. Learned about the popularity of podcast as a form of journalism and documentary arts."
DOCST-135S-01_Ahmed__Shiraz_Spring_2024.html,Spring 2024,DOCST-135S-01 : INTRO TO AUDIO DOCUMENTARY.DOCST-135S-01.JAM-135S-01.,Shiraz Ahmed,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","How to produce engaging, storytelling audio documentaries. Also, how to listen carefully to podcasts and think more broadly about the ethical challenges with producing audio documentary and how that industry has evolved."
DOCST-135S-01_Ahmed__Shiraz_Spring_2024.html,Spring 2024,DOCST-135S-01 : INTRO TO AUDIO DOCUMENTARY.DOCST-135S-01.JAM-135S-01.,Shiraz Ahmed,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Ability to construct and deconstruct storytelling, ask new questions, be inquisitive as a listener"
DOCST-135S-01_Ahmed__Shiraz_Spring_2024.html,Spring 2024,DOCST-135S-01 : INTRO TO AUDIO DOCUMENTARY.DOCST-135S-01.JAM-135S-01.,Shiraz Ahmed,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","editing audio, guiding interviews, and the ethics of telling anothers story"
DOCST-135S-01_Ahmed__Shiraz_Spring_2024.html,Spring 2024,DOCST-135S-01 : INTRO TO AUDIO DOCUMENTARY.DOCST-135S-01.JAM-135S-01.,Shiraz Ahmed,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Learned how to produce a podcast from start to finish, recording, adjusting audio levels, using Hindenberg, conducting interviews, stitching audio together."
DOCST-135S-01_Ahmed__Shiraz_Spring_2024.html,Spring 2024,DOCST-135S-01 : INTRO TO AUDIO DOCUMENTARY.DOCST-135S-01.JAM-135S-01.,Shiraz Ahmed,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Analysis and production of different types of audio pieces
DOCST-135S-01_Ahmed__Shiraz_Spring_2024.html,Spring 2024,DOCST-135S-01 : INTRO TO AUDIO DOCUMENTARY.DOCST-135S-01.JAM-135S-01.,Shiraz Ahmed,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","how to create, analyze, and approach audio documentaries"
DOCST-135S-01_Ahmed__Shiraz_Spring_2024.html,Spring 2024,DOCST-135S-01 : INTRO TO AUDIO DOCUMENTARY.DOCST-135S-01.JAM-135S-01.,Shiraz Ahmed,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I really liked the amount of feedback provided at different stages in piece creation, and I liked having two larger projects (the midterm and the final)."
DOCST-135S-01_Ahmed__Shiraz_Spring_2024.html,Spring 2024,DOCST-135S-01 : INTRO TO AUDIO DOCUMENTARY.DOCST-135S-01.JAM-135S-01.,Shiraz Ahmed,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I liked the engaging discussions and interactiveness of the class
DOCST-135S-01_Ahmed__Shiraz_Spring_2024.html,Spring 2024,DOCST-135S-01 : INTRO TO AUDIO DOCUMENTARY.DOCST-135S-01.JAM-135S-01.,Shiraz Ahmed,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","different perspectives from different style of audio documentaries, and guest speakers who did the work"
