uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
153858_9169_12282736_28112065,AMES-144-01,ISRAELI CULTURE.AMES-144-01.JEWISHST-245-01.,"Ben-yaakov, Reut",Fall 2023,AMES,"14 of 15  responded (93.33%)



 View Report
                            



 Download PDF","AMES, JEWISHST",98965,CtmkEaIRhsSP75R5T115eg%3d%3d,1RmCJ3l8t6ilZi4qepeXCQ%3d%3d,xkMV2g1cegjzGbvQNElXVA%3d%3d,2025-11-24T16:25:09.185779
153858_9169_12282748_28080088,HISTORY-190FS-01,TOPICS IN FOCUS PROGRAM.HISTORY-190FS-01.JEWISHST-190FS-01.RELIGION-190FS-02.,"Casarella, Peter",Fall 2023,HISTORY,"5 of 11  responded (45.45%)



 View Report
                            



 Download PDF",,98997,CtmkEaIRhsSP75R5T115eg%3d%3d,x4%2bV0xxE5ACVruljQbpf%2fQ%3d%3d,TwVZhr5XPTlR%2bgA0ZYsW%2fw%3d%3d,2025-11-24T16:25:09.185877
153858_9169_12282763_27991555,GERMAN-432S-01,MODERN GERMAN-JEWISH CULTURE.GERMAN-432S-01.HISTORY-445S-01.JEWISHST-432S-01.,"Gellen, Kata",Fall 2023,GERMAN,"5 of 5  responded (100.00%)



 View Report
                            



 Download PDF","GERMAN, HISTORY, JEWISHST",98994,CtmkEaIRhsSP75R5T115eg%3d%3d,gffa9EM6cKAvUZw%2bwOtRbg%3d%3d,04OniV0Tp784oyJoHl%2f6kA%3d%3d,2025-11-24T16:25:09.185960
153858_9169_12282846_28112079,HEBREW-203-02,INTERMED MODERN HEBREW.HEBREW-203-02.JEWISHST-203-02.,"Baker, Sarah",Fall 2023,AMES,"6 of 8  responded (75.00%)



 View Report
                            



 Download PDF","HEBREW, JEWISHST",98965,CtmkEaIRhsSP75R5T115eg%3d%3d,o0cCIk5SNuWec%2fLt0KaPMg%3d%3d,SPFOKHdJhUfmB0tbsV7bqQ%3d%3d,2025-11-24T16:25:09.186038
153858_9169_12282901_27991374,RELIGION-290S-01,SPECIAL TOPICS.RELIGION-290S-01.JEWISHST-290S-02.,"Brettler, Marc",Fall 2023,RELIGION,"8 of 8  responded (100.00%)



 View Report
                            



 Download PDF","RELIGION, JEWISHST",99028,CtmkEaIRhsSP75R5T115eg%3d%3d,bE8JKjjYGsfVRb2zXM5gmg%3d%3d,CqBlUR09Hmk0QC8Pm9vm4Q%3d%3d,2025-11-24T16:25:09.186122
153858_9169_12282901_28112068,RELIGION-290S-01,SPECIAL TOPICS.RELIGION-290S-01.JEWISHST-290S-02.,"Coates, Andrew",Fall 2023,RELIGION,"8 of 8  responded (100.00%)



 View Report
                            



 Download PDF","RELIGION, JEWISHST",99028,CtmkEaIRhsSP75R5T115eg%3d%3d,bE8JKjjYGsfVRb2zXM5gmg%3d%3d,QXlcIjbJA8RgZRyW3mLY%2fA%3d%3d,2025-11-24T16:25:09.186201
153858_9169_12282913_28112079,HEBREW-101-01,ELEMENTARY MODERN HEBREW.HEBREW-101-01.JEWISHST-101-01.,"Baker, Sarah",Fall 2023,AMES,"11 of 12  responded (91.67%)



 View Report
                            



 Download PDF","HEBREW, JEWISHST",98965,CtmkEaIRhsSP75R5T115eg%3d%3d,2f8MGb8UAQYu85nqLi7Hrg%3d%3d,SPFOKHdJhUfmB0tbsV7bqQ%3d%3d,2025-11-24T16:25:09.186279
153858_9169_12282953_27991374,RELIGION-190FS-01,FOCUS SEMINARS (TOP).RELIGION-190FS-01.JEWISHST-190FS-02.,"Brettler, Marc",Fall 2023,RELIGION,"7 of 7  responded (100.00%)



 View Report
                            



 Download PDF",,99028,CtmkEaIRhsSP75R5T115eg%3d%3d,LTWYUQkKbmK3dIjrJ3yzRw%3d%3d,CqBlUR09Hmk0QC8Pm9vm4Q%3d%3d,2025-11-24T16:25:09.186368
153858_9169_12282958_28112055,AMES-319S-01,ANDALUSIA.AMES-319S-01.JEWISHST-319S-01.MEDREN-352S-01.RELIGION-214S-01.ROMST-319S-01.,"McLarney, Ellen",Fall 2023,AMES,"6 of 9  responded (66.67%)



 View Report
                            



 Download PDF","AMES, JEWISHST, MEDREN, RELIGION, ROMST",98965,CtmkEaIRhsSP75R5T115eg%3d%3d,fXoRp89uvSL61F4y80vMYg%3d%3d,NGE84KCFpVx%2bEsNS7N5srA%3d%3d,2025-11-24T16:25:09.186445
153858_9169_12283216_27446058,ITALIAN-336-01,MODERN EUROPEAN SHORT FICTION.ITALIAN-336-01.ENGLISH-244-01.GERMAN-243-01.ICS-212-01.JEWISHST-243-01.LIT-244-01.ROMST-206-01.,"Ziolkowski, Saskia",Fall 2023,ROMANCE,"7 of 23  responded (30.43%)



 View Report
                            



 Download PDF","ITALIAN, ENGLISH, GERMAN, ICS, JEWISHST, LIT, ROMST",99029,CtmkEaIRhsSP75R5T115eg%3d%3d,z3E%2bPX366%2bNo3My%2fnzGR2Q%3d%3d,8ke7fZM2ewJJ%2bS2vzX%2feLA%3d%3d,2025-11-24T16:25:09.186526
