filename,semester,course,instructor,question_number,question_text,response_text
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Formal speaking, casual speaking, and how to think about grammar structure"
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Japanese grammars
Japanese vocabulary
Japanese communication skills"
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned Japanese from the ground up: alphabets, grammar, getting comfortable with reading/writing/speaking, etc."
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Basic Vocab and grammar of japanese. Learned how to communicate with other people in simple japanese.
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned a basic level of Japanese which allows me to have simple conversations with others in Japanese.
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Japanese basic characters, expressions, grammars, cultural"
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to speak formally and casually in Japanese, I learned how to read hiragana, katakana, and basic kanji characters. I can now ready and write many new sentences."
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Japanese grammatical forms / sentence structures, different types of adjectives and verbs, writing of hiragana/katakana/some kanji"
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned many things, from the three vocabulary systems, hiragana, katakana, and kanji, as well as how to speak formally and casually as needed in the daily life of someone who stays in Japan. I also learned about the culture and many new vocabulary terms that broadened my understanding of Japanese and Japan in general."
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",really talked a lot and Kurokawa sensei was really nice guide us through speaking errors and phrases
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Relaxing class atmosphere
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I came into Japanese with no experience in the language, but the class was perfectly structured to ensure that as long as you kept up with the work and were properly engaged in class/showed up regularly, the class would still be challenging, but you would succeed with no real trouble. The professor was wonderful (always there after class to answer questions, very kindly facilitating discussions, providing feedback), and our daily homework assignments were corrected within a day. It was the perfect structure for a class, and it was an entirely forgiving one for language learning as well."
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","There is a lot of homework and a lot of speaking practive during the class,which helps me to memorize the grammar and the vocab and practice my oral japanese skills."
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I definitely think the consistent assignments and classwork kept students very focused on the language. I think the in-class structure is amazing with lessons and group activities. I would not change anything.
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",The in class dialogue practices and activities. Also the daily homework and vioce threads helps a lot.
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","The class was overall very interactive. My instructor always encouraged active participation, whether it be answering or asking questions in class. There was also daily homework that reflected what we learned in class that day. I think that this was very beneficial to my learning."
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",The way we practice a lot in class is very helpful. It's good to be able to get feedback when we make a mistake and to practice listening/responding at the same time. There was never a class time when I felt a grammatical concept was not well-enough explained. The daily homework was a good comprehensive review of the material learned in class.
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","Kurokawa Sensei did a very good job at pacing the course with a very structured schedule in which everyone knows which assignments, projects, and tests are due when and the pacing is fast enough to force one to learn Japanese even if they try to procrastinate for it, like myself. I'd keep everything honestly, it was great."
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,talked a lot
