filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",9/9 (100%),4.56,0.53,5.00,9,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 4 (44.44%); Excellent: 5 (55.56%)
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",9/9 (100%),4.67,0.50,5.00,9,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 3 (33.33%); Excellent: 6 (66.67%)
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",9/9 (100%),4.78,0.44,5.00,9,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 2 (22.22%); Excellent: 7 (77.78%)
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,8,The course was difficult.,9/9 (100%),3.00,1.12,3.00,9,Strongly disagree: 0 (0.00%); Disagree: 4 (44.44%); Neither agree nor disagree: 2 (22.22%); Agree: 2 (22.22%); Strongly agree: 1 (11.11%)
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,9/9 (100%),4.11,1.62,4.00,9,1: 0 (0.00%); 2: 2 (22.22%); 3: 1 (11.11%); 4: 2 (22.22%); 5: 3 (33.33%); 6: 0 (0.00%); 7: 1 (11.11%); 8: 0 (0.00%); 9: 0 (0.00%); 10+: 0 (0.00%)
JPN-101-002_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-002 : ELEMENTARY JAPANESE.JPN-101-002.,Naoko Kurokawa,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
JPN-101-002_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-002 : ELEMENTARY JAPANESE.JPN-101-002.,Naoko Kurokawa,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
JPN-101-002_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-002 : ELEMENTARY JAPANESE.JPN-101-002.,Naoko Kurokawa,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",16/18 (88.89%),4.44,0.81,5.00,16,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 3 (18.75%); Very Good: 3 (18.75%); Excellent: 10 (62.50%)
JPN-101-002_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-002 : ELEMENTARY JAPANESE.JPN-101-002.,Naoko Kurokawa,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
JPN-101-002_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-002 : ELEMENTARY JAPANESE.JPN-101-002.,Naoko Kurokawa,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",17/18 (94.44%),4.53,0.62,5.00,17,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (5.88%); Very Good: 6 (35.29%); Excellent: 10 (58.82%)
JPN-101-002_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-002 : ELEMENTARY JAPANESE.JPN-101-002.,Naoko Kurokawa,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",17/18 (94.44%),4.65,0.79,5.00,17,Poor: 0 (0.00%); Marginal: 1 (5.88%); Average: 0 (0.00%); Very Good: 3 (17.65%); Excellent: 13 (76.47%)
JPN-101-002_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-002 : ELEMENTARY JAPANESE.JPN-101-002.,Naoko Kurokawa,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
JPN-101-002_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-002 : ELEMENTARY JAPANESE.JPN-101-002.,Naoko Kurokawa,8,The course was difficult.,17/18 (94.44%),3.82,0.81,4.00,17,Strongly disagree: 0 (0.00%); Disagree: 1 (5.88%); Neither agree nor disagree: 4 (23.53%); Agree: 9 (52.94%); Strongly agree: 3 (17.65%)
JPN-101-002_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-002 : ELEMENTARY JAPANESE.JPN-101-002.,Naoko Kurokawa,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,17/18 (94.44%),6.47,2.32,6.00,17,1: 0 (0.00%); 2: 0 (0.00%); 3: 1 (5.88%); 4: 3 (17.65%); 5: 3 (17.65%); 6: 3 (17.65%); 7: 1 (5.88%); 8: 2 (11.76%); 9: 1 (5.88%); 10+: 3 (17.65%)
JPN-101-01_Kurokawa__Naoko_Fall_2024.html,Fall 2024,JPN-101-01 : ELEMENTARY JAPANESE.JPN-101-01.,Naoko Kurokawa,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
