filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,9/9 (100%),4.56,0.53,5.00
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,9/9 (100%),4.56,0.53,5.00
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),0,0.00%,9/9 (100%),4.56,0.53,5.00
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),4,44.44%,9/9 (100%),4.56,0.53,5.00
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),5,55.56%,9/9 (100%),4.56,0.53,5.00
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,9/9 (100%),4.67,0.50,5.00
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,9/9 (100%),4.67,0.50,5.00
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),0,0.00%,9/9 (100%),4.67,0.50,5.00
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),3,33.33%,9/9 (100%),4.67,0.50,5.00
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),6,66.67%,9/9 (100%),4.67,0.50,5.00
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,9/9 (100%),4.78,0.44,5.00
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),0,0.00%,9/9 (100%),4.78,0.44,5.00
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),0,0.00%,9/9 (100%),4.78,0.44,5.00
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Very Good,(4),2,22.22%,9/9 (100%),4.78,0.44,5.00
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Excellent,(5),7,77.78%,9/9 (100%),4.78,0.44,5.00
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,,,
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,8,The course was difficult.,Strongly disagree,(1),0,0.00%,9/9 (100%),3.00,1.12,3.00
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,8,The course was difficult.,Disagree,(2),4,44.44%,9/9 (100%),3.00,1.12,3.00
JPN-101-001_Kurokawa__Naoko_Fall_2023.html,Fall 2023,JPN-101-001 : ELEMENTARY JAPANESE.JPN-101-001.,Naoko Kurokawa,8,The course was difficult.,Neither agree nor disagree,(3),2,22.22%,9/9 (100%),3.00,1.12,3.00
