uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
153858_9169_12283328_28112281,KOREAN-101-003,ELEMENTARY KOREAN.KOREAN-101-003.,"Kim, Eunyoung",Fall 2023,AMES,"13 of 17  responded (76.47%)



 View Report
                            



 Download PDF",KOREAN,98965,CtmkEaIRhsSP75R5T115eg%3d%3d,q94WfLUwX%2bWRYTY7%2bQkJqw%3d%3d,VYfKCIPFD9Ut7QYkQL65RQ%3d%3d,2025-11-24T16:25:29.876563
153858_9169_12283401_28112281,KOREAN-101-002,ELEMENTARY KOREAN.KOREAN-101-002.,"Kim, Eunyoung",Fall 2023,AMES,"14 of 17  responded (82.35%)



 View Report
                            



 Download PDF",KOREAN,98965,CtmkEaIRhsSP75R5T115eg%3d%3d,klCMXF%2bltDD9JLqFw%2bCW1w%3d%3d,VYfKCIPFD9Ut7QYkQL65RQ%3d%3d,2025-11-24T16:25:29.876697
153858_9169_12283520_27445950,KOREAN-305-02,ADVANCED KOREAN.KOREAN-305-02.,"Kim, Hae-Young",Fall 2023,AMES,"13 of 15  responded (86.67%)



 View Report
                            



 Download PDF",KOREAN,98965,CtmkEaIRhsSP75R5T115eg%3d%3d,nBoEg2Tw7C9S5DR5x5iQjg%3d%3d,pT6ZbHuLBXcRWY0WpPu4iQ%3d%3d,2025-11-24T16:25:29.876781
153858_9169_12283581_28112279,KOREAN-101-02D,ELEMENTARY KOREAN.KOREAN-101-02D.,"Yang, Seojin",Fall 2023,AMES,"9 of 17  responded (52.94%)



 View Report
                            



 Download PDF",,98965,CtmkEaIRhsSP75R5T115eg%3d%3d,dmWh%2bVGk31pbbDMsv6trag%3d%3d,bUdzoZNHzSdfpSWTXsXQQQ%3d%3d,2025-11-24T16:25:29.876922
161337_9470_12751371_28112279,KOREAN-102-02D,ELEMENTARY KOREAN.KOREAN-102-02D.,"Yang, Seojin",Spring 2024,AMES,"8 of 11  responded (72.73%)



 View Report
                            



 Download PDF",,98965,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,g2Ou0kbj9jjgbuYUphw1AQ%3d%3d,bUdzoZNHzSdfpSWTXsXQQQ%3d%3d,2025-11-24T16:25:29.877024
161337_9470_12751410_28112279,KOREAN-102-01D,ELEMENTARY KOREAN.KOREAN-102-01D.,"Yang, Seojin",Spring 2024,AMES,"12 of 15  responded (80.00%)



 View Report
                            



 Download PDF",,98965,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,jUbnIJrlO38MABGfqEdHpA%3d%3d,bUdzoZNHzSdfpSWTXsXQQQ%3d%3d,2025-11-24T16:25:29.877106
161337_9470_12751465_28112281,KOREAN-207-01,HIGH INTERMEDIATE KOREAN.KOREAN-207-01.,"Kim, Eunyoung",Spring 2024,AMES,"5 of 6  responded (83.33%)



 View Report
                            



 Download PDF",KOREAN,98965,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,UuW0sKvFuQjI3aAgAIJ0iQ%3d%3d,VYfKCIPFD9Ut7QYkQL65RQ%3d%3d,2025-11-24T16:25:29.877185
161337_9470_12751471_28112280,KOREAN-102-002,ELEMENTARY KOREAN.KOREAN-102-002.,"Eun, Barohny",Spring 2024,AMES,"9 of 11  responded (81.82%)



 View Report
                            



 Download PDF",KOREAN,98965,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,oOhVrtkVNFlXBpF%2bi7OpeA%3d%3d,JRZmGJRVbEnnbKPn1OyEQw%3d%3d,2025-11-24T16:25:29.877266
161337_9470_12751529_28112280,KOREAN-102-001,ELEMENTARY KOREAN.KOREAN-102-001.,"Eun, Barohny",Spring 2024,AMES,"13 of 15  responded (86.67%)



 View Report
                            



 Download PDF",KOREAN,98965,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,%2fcaeF1Vx60al0SchkNFBTA%3d%3d,JRZmGJRVbEnnbKPn1OyEQw%3d%3d,2025-11-24T16:25:29.877348
161337_9470_12751581_27445950,KOREAN-408S-01,ISSUES IN KOREAN LANG/SOC II.KOREAN-408S-01.,"Kim, Hae-Young",Spring 2024,AMES,"7 of 8  responded (87.50%)



 View Report
                            



 Download PDF",KOREAN,98965,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,Ml6%2b9HRsb4JVbi6KvHGtSg%3d%3d,pT6ZbHuLBXcRWY0WpPu4iQ%3d%3d,2025-11-24T16:25:29.877428
