filename,semester,course,instructor,question_number,question_text,response_text
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",alphabet of korean; way to speak and write; grammar of korean
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","a lot of vocab, honorifics, sentence structures, number systems"
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned how to basically speak in a new language while learned basic survival skills to survive there
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned basic concepts and grammar in Korean, including writing, listening, reading and speaking."
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to speak, write and read Korean at a higher proficiency."
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Reading, writing, speaking, and cultural aspects of Korean."
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",How to memorize large amounts of Korean vocabulary.
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to read, write and speak intro level Korean. I also get to understand a little more about the Korean culture."
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I think it's good because professor always let students to speak out which helps a lot in language learning.
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",The pacing helped a lot and making us listen to examples on how to say stuff in Korean
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I liked the reading and participation exercises.
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Called on students randomly and had us do a plethora of textbooks practices in class to have us engage with the material we were learning.
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Forcing us to memorize everything to save our grade.
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I really like the speaking practices that we do in class.
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,speed is a little fast especially for real- nonfundamental student.
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"She kept asking us how to say things every class, made activities, and projects to make the class very easy to learn the language."
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,The videos and speaking activities were stimulating. A trip somewhere nearby would add to the cultural aspect.
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,A lot of memorization.
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,7,What would you like to say about this course to a student who is considering taking it in the future?,Fun class that teaches you a lot
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,7,What would you like to say about this course to a student who is considering taking it in the future?,"I will tell them to study really hard since it's a lot of words thrown at you! However, she makes it very do able but you will a good amount of time studying."
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,7,What would you like to say about this course to a student who is considering taking it in the future?,"Interesting class, but can be a lot of work at times."
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,7,What would you like to say about this course to a student who is considering taking it in the future?,It is a lot of memorizing. You have to be committed to learning.
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,7,What would you like to say about this course to a student who is considering taking it in the future?,"Not worth it unless you're native or don't care about grades. If you want to memorize 20-30+ new Korean phrases every single day for the second half of the semester, then take this."
