filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",11/16 (68.75%),4.18,0.75,4.00,11,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 2 (18.18%); Very Good: 5 (45.45%); Excellent: 4 (36.36%)
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",11/16 (68.75%),4.27,1.19,5.00,11,Poor: 1 (9.09%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 4 (36.36%); Excellent: 6 (54.55%)
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",11/16 (68.75%),4.45,0.69,5.00,11,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (9.09%); Very Good: 4 (36.36%); Excellent: 6 (54.55%)
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,8,The course was difficult.,11/16 (68.75%),4.18,0.60,4.00,11,Strongly disagree: 0 (0.00%); Disagree: 0 (0.00%); Neither agree nor disagree: 1 (9.09%); Agree: 7 (63.64%); Strongly agree: 3 (27.27%)
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,11/16 (68.75%),6.91,1.70,6.00,11,1: 0 (0.00%); 2: 0 (0.00%); 3: 0 (0.00%); 4: 0 (0.00%); 5: 2 (18.18%); 6: 4 (36.36%); 7: 2 (18.18%); 8: 0 (0.00%); 9: 2 (18.18%); 10+: 1 (9.09%)
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",14/17 (82.35%),4.57,0.65,5.00,14,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (7.14%); Very Good: 4 (28.57%); Excellent: 9 (64.29%)
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",14/17 (82.35%),4.64,0.63,5.00,14,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (7.14%); Very Good: 3 (21.43%); Excellent: 10 (71.43%)
