uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
149911_8928_11987230_27445913,SPANISH-439SA-01,GLOBAL SPAIN.SPANISH-439SA-01.LATAMER-439SA-01.LSGS-439SA-01.,"Milian, Claudia",Summer I 2023,ROMANCE,"16 of 17  responded (94.12%)



 View Report
                            



 Download PDF",,99029,R3taZNKnw14IRH7UBESaUg%3d%3d,%2baKBpVrnoPZpSCZnsHuElA%3d%3d,6pUSi%2fVtNNpayCRadLlUrw%3d%3d,2025-11-24T16:25:44.401836
149911_8928_11987230_27466678,SPANISH-439SA-01,GLOBAL SPAIN.SPANISH-439SA-01.LATAMER-439SA-01.LSGS-439SA-01.,"Canteli VigÃ³n, Marcos",Summer I 2023,ROMANCE,"16 of 17  responded (94.12%)



 View Report
                            



 Download PDF",,99029,R3taZNKnw14IRH7UBESaUg%3d%3d,%2baKBpVrnoPZpSCZnsHuElA%3d%3d,Zl2Ihd6JE86k8%2f9nNqnoNw%3d%3d,2025-11-24T16:25:44.401931
153858_9169_12283165_28112163,ENVIRON-315S-01,ENVIRON. ISSUES & THE DOC ARTS.ENVIRON-315S-01.CINE-315S-01.DOCST-315S-01.LATAMER-315S-01.VMS-309S-01.,"Rojas Sotelo, Miguel",Fall 2023,NSOE,"10 of 17  responded (58.82%)



 View Report
                            



 Download PDF","ENVIRON, CINE, DOCST, LATAMER, VMS",99019,CtmkEaIRhsSP75R5T115eg%3d%3d,EqGkoSyI%2bGtEDBrUB09%2fsA%3d%3d,S7AUUG3voCSGomOCsb%2bo9A%3d%3d,2025-11-24T16:25:44.402015
161337_9470_12750774_28807779,CULANTH-89S-02,FIRST-YEAR SEMINAR (TOP).CULANTH-89S-02.AAAS-89S-02.LATAMER-89S-02.,"Hiller, Joseph",Spring 2024,CULANTHRO,"15 of 16  responded (93.75%)



 View Report
                            



 Download PDF","CULANTH, AAAS, LATAMER",98978,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,XSyB%2fbG3aqk%2fSd%2fdkKW7BA%3d%3d,OvBjOEsES0zdHP9j%2bomyYQ%3d%3d,2025-11-24T16:25:44.402096
161337_9470_12750930_27446163,LATAMER-480S-01,APPLIED LATIN AMERICAN STUDIES.LATAMER-480S-01.HISTORY-401S-01.ROMST-480S-01.,"Semmler, Patrick",Spring 2024,LACS,"6 of 7  responded (85.71%)



 View Report
                            



 Download PDF","LATAMER, HISTORY, ROMST",99005,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,Lsc6No3JirGfBoVFMUmAHA%3d%3d,ao2kKK8SikWjAzYN8gIc7w%3d%3d,2025-11-24T16:25:44.402174
161337_9470_12751124_27445813,PORTUGUE-341S-01,PERSPECTIVES ON THE AMAZON.PORTUGUE-341S-01.LATAMER-341S-01.LIT-341S-01.ROMST-341S-01.,"Furtado, Gustavo",Spring 2024,ROMANCE,"13 of 16  responded (81.25%)



 View Report
                            



 Download PDF","PORTUGUE, LATAMER, LIT, ROMST",99029,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,cIKHExoa8Js3lbrOk4JOPQ%3d%3d,ekln6Qjn69v1aWHSYbuygg%3d%3d,2025-11-24T16:25:44.402252
171550_9973_13686563_27445896,ICS-283S-01,"DEATH, BURIAL & JUSTICE.ICS-283S-01.AAAS-283S-01.CULANTH-285S-01.LATAMER-283S-01.RIGHTS-283S-01.SOCIOL-283S-01.","Rosenblatt, Adam",Fall 2024,ICS,"15 of 16  responded (93.75%)



 View Report
                            



 Download PDF","ICS, AAAS, CULANTH, LATAMER, RIGHTS, SOCIOL",99000,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,cN8H1Te6KzKv18rPMt5VZg%3d%3d,%2bJM%2fp%2f7QiFadITIhPBlxGg%3d%3d,2025-11-24T16:25:44.402331
171550_9973_13686672_28112048,HISTORY-122-01,HISTORY OF LATINXS IN US.HISTORY-122-01.GSF-122-01.ICS-122-01.LATAMER-122-01.LSGS-222-01.,"Marquez, Cecilia",Fall 2024,HISTORY,"12 of 14  responded (85.71%)



 View Report
                            



 Download PDF","HISTORY, GSF, ICS, LATAMER, LSGS",98997,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,G7ZT7%2bs9EPpz4OzCDqNc8g%3d%3d,mxOpu94XmpYMsc56LLXxdg%3d%3d,2025-11-24T16:25:44.402409
171550_9973_13686805_27991799,AAAS-343-01,MIGRATION & HUMAN TRAFFICKING.AAAS-343-01.CULANTH-342-01.LATAMER-343-01.RIGHTS-339-01.SOCIOL-343-01.,"Crichlow, Michaeline",Fall 2024,AFRAMRST,"10 of 19  responded (52.63%)



 View Report
                            



 Download PDF","AAAS, CULANTH, LATAMER, RIGHTS, SOCIOL",98963,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,NGVt%2fPfmvdft%2fSm6kRvbzQ%3d%3d,hY7SpukHhsKkVFxtjjiK%2fA%3d%3d,2025-11-24T16:25:44.402489
171550_9973_13686865_28112163,ENVIRON-315S-01,ENVIRON. ISSUES & THE DOC ARTS.ENVIRON-315S-01.CINE-315S-01.DOCST-315S-01.LATAMER-315S-01.VMS-309S-01.,"Rojas Sotelo, Miguel",Fall 2024,NSOE,"10 of 17  responded (58.82%)



 View Report
                            



 Download PDF","ENVIRON, CINE, DOCST, LATAMER, VMS",99019,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,7swnGdLDSYx3pLg%2b%2bKGQVA%3d%3d,S7AUUG3voCSGomOCsb%2bo9A%3d%3d,2025-11-24T16:25:44.402570
