filename,semester,course,instructor,question_number,question_text,response_text
CULANTH-89S-02_Hiller__Joseph_Spring_2024.html,Spring 2024,CULANTH-89S-02 : FIRST-YEAR SEMINAR (TOP).CULANTH-89S-02.AAAS-89S-02.LATAMER-89S-02.,Joseph Hiller,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about the history of the modern prison, the flaws in the current carceral system, and possible arguments for the deinstitutionalization of prisons."
CULANTH-89S-02_Hiller__Joseph_Spring_2024.html,Spring 2024,CULANTH-89S-02 : FIRST-YEAR SEMINAR (TOP).CULANTH-89S-02.AAAS-89S-02.LATAMER-89S-02.,Joseph Hiller,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I developed better reading skills and an ability to find quality sources.
CULANTH-89S-02_Hiller__Joseph_Spring_2024.html,Spring 2024,CULANTH-89S-02 : FIRST-YEAR SEMINAR (TOP).CULANTH-89S-02.AAAS-89S-02.LATAMER-89S-02.,Joseph Hiller,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I definitely developed and strengthened my skill to analyze and understand certain kinds of difficult/more technical readings. On my final paper, I strengthened my writing, synthesizing, and peer review skills."
CULANTH-89S-02_Hiller__Joseph_Spring_2024.html,Spring 2024,CULANTH-89S-02 : FIRST-YEAR SEMINAR (TOP).CULANTH-89S-02.AAAS-89S-02.LATAMER-89S-02.,Joseph Hiller,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to read ethnographic articles. I also learned about disparities in the prison system and insights as to why these disparities exist. Lastly, I learned how to write a structured research report."
CULANTH-89S-02_Hiller__Joseph_Spring_2024.html,Spring 2024,CULANTH-89S-02 : FIRST-YEAR SEMINAR (TOP).CULANTH-89S-02.AAAS-89S-02.LATAMER-89S-02.,Joseph Hiller,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Open-mindedness i think is a key description. The course offers a compelling view on a traditional system that otherwise might be overlooked.
CULANTH-89S-02_Hiller__Joseph_Spring_2024.html,Spring 2024,CULANTH-89S-02 : FIRST-YEAR SEMINAR (TOP).CULANTH-89S-02.AAAS-89S-02.LATAMER-89S-02.,Joseph Hiller,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I gained significant knowledge about prison life and systems throughout the world. Alongside this came a lot of insightful thinking in cases where I had to look deep into literary texts to find true meanings or hidden symbolism that the author was trying to convey. The final major thing I learned has to be the method of conversation that surrounded in class discussions we had about different topics. These were especially interesting to me because sometimes there was no right answer. You had to be respectful of everyone's opinions and still voice yours with certainty.
CULANTH-89S-02_Hiller__Joseph_Spring_2024.html,Spring 2024,CULANTH-89S-02 : FIRST-YEAR SEMINAR (TOP).CULANTH-89S-02.AAAS-89S-02.LATAMER-89S-02.,Joseph Hiller,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",This course relied heavily on conversation skills and being able to interact with texts. I think it also drew on how well we could ask and answer thoughtful questions.
CULANTH-89S-02_Hiller__Joseph_Spring_2024.html,Spring 2024,CULANTH-89S-02 : FIRST-YEAR SEMINAR (TOP).CULANTH-89S-02.AAAS-89S-02.LATAMER-89S-02.,Joseph Hiller,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about what the discipline of culanth is about. Specifically, I gained insights into the history and status quo of prisons in multiple countries, which has allowed me to understand them better as a whole. Finally, I learned the importance of first-person literature in understanding history."
CULANTH-89S-02_Hiller__Joseph_Spring_2024.html,Spring 2024,CULANTH-89S-02 : FIRST-YEAR SEMINAR (TOP).CULANTH-89S-02.AAAS-89S-02.LATAMER-89S-02.,Joseph Hiller,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",One of the ways of thinking I developed is looking at a subject from a different point of view. There were times in which I put myself in the shoes of convicts and tried to understand them.
CULANTH-89S-02_Hiller__Joseph_Spring_2024.html,Spring 2024,CULANTH-89S-02 : FIRST-YEAR SEMINAR (TOP).CULANTH-89S-02.AAAS-89S-02.LATAMER-89S-02.,Joseph Hiller,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Throughout this course I definitely developed an enhanced empathy towards prison inmates. I became cognizant of the fact that they, too, are humans and merit basic human indulgences."
