uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
153858_9169_12283041_27991730,LATIN-376S-01,MEDIEVAL LATIN.LATIN-376S-01.MEDREN-348S-01.,"Woods, Jennifer",Fall 2023,CLASSICAL,"12 of 16  responded (75.00%)



 View Report
                            



 Download PDF","LATIN, MEDREN",98974,CtmkEaIRhsSP75R5T115eg%3d%3d,AZeNmXn3np%2fpJ15u%2fAQJvQ%3d%3d,PN7aohsRiTF7ccCwQeZQcA%3d%3d,2025-11-24T16:25:48.549652
153858_9169_12283175_27991713,LATIN-101-02,ELEMENTARY LATIN.LATIN-101-02.,"Crews, Rex",Fall 2023,CLASSICAL,"10 of 15  responded (66.67%)



 View Report
                            



 Download PDF",LATIN,98974,CtmkEaIRhsSP75R5T115eg%3d%3d,DetO8nBuu0JGH%2blEjHriSg%3d%3d,Q2xlLg%2fkazy5RylHbdOcNA%3d%3d,2025-11-24T16:25:48.549771
153858_9169_12283322_27991713,LATIN-203-02,INTERMEDIATE LATIN.LATIN-203-02.,"Crews, Rex",Fall 2023,CLASSICAL,"7 of 17  responded (41.18%)



 View Report
                            



 Download PDF",LATIN,98974,CtmkEaIRhsSP75R5T115eg%3d%3d,mzek71JK%2bxmcKXkUrPBgGw%3d%3d,Q2xlLg%2fkazy5RylHbdOcNA%3d%3d,2025-11-24T16:25:48.549855
161337_9470_12751182_27991713,LATIN-102-02,ELEMENTARY LATIN.LATIN-102-02.,"Crews, Rex",Spring 2024,CLASSICAL,"5 of 14  responded (35.71%)



 View Report
                            



 Download PDF",LATIN,98974,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,9rFJymAysEt1z4AyunRKPQ%3d%3d,Q2xlLg%2fkazy5RylHbdOcNA%3d%3d,2025-11-24T16:25:48.549935
161337_9470_12751287_27991713,LATIN-320S-01,OVID.LATIN-320S-01.,"Crews, Rex",Spring 2024,CLASSICAL,"8 of 15  responded (53.33%)



 View Report
                            



 Download PDF",LATIN,98974,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,WNJtQxRuwAYUGhG9wFEteQ%3d%3d,Q2xlLg%2fkazy5RylHbdOcNA%3d%3d,2025-11-24T16:25:48.550014
161337_9470_12751567_27991719,LATIN-102-03,ELEMENTARY LATIN.LATIN-102-03.,"Freeman, Michael",Spring 2024,CLASSICAL,"5 of 5  responded (100.00%)



 View Report
                            



 Download PDF",LATIN,98974,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,vPifw7pyMGC%2fYoYPmW8qVQ%3d%3d,rlwZ%2fWFD5Kyr2J2RQhw4Cg%3d%3d,2025-11-24T16:25:48.550096
161325_9470_12752294_27991730,LATIN-584S-01,LATIN PALAEOGRAPHY.LATIN-584S-01.MEDREN-647S-01.,"Woods, Jennifer",Spring 2024,CLASSICAL,"5 of 8  responded (62.50%)



 View Report
                            



 Download PDF","LATIN, MEDREN",98824,GlYX8YEBYWdfpWXsr2usRw%3d%3d,cCSWUAFkJvXQS%2frf0ovt3Q%3d%3d,PN7aohsRiTF7ccCwQeZQcA%3d%3d,2025-11-24T16:25:48.550174
171550_9973_13686871_28599950,LATIN-101-03,ELEMENTARY LATIN.LATIN-101-03.,"Welser, Andrew",Fall 2024,CLASSICAL,"5 of 5  responded (100.00%)



 View Report
                            



 Download PDF",LATIN,98974,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,AQqs5Wv2yIDHWYIKTo4%2f2A%3d%3d,9Iw%2bt%2bsl2zMqLOAh57CAaA%3d%3d,2025-11-24T16:25:48.550251
171550_9973_13686909_27991704,LATIN-304S-01,HISTORY AND BIOGRAPHY.LATIN-304S-01.,"Karsten, Alex",Fall 2024,CLASSICAL,"6 of 6  responded (100.00%)



 View Report
                            



 Download PDF",LATIN,98974,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,oS5lyQpJabLpuGnVtQwl%2fg%3d%3d,z2V%2fJud1itgrm7YAzd55xA%3d%3d,2025-11-24T16:25:48.550328
171550_9973_13687161_27991704,LATIN-203-02,INTERMEDIATE LATIN.LATIN-203-02.,"Karsten, Alex",Fall 2024,CLASSICAL,"5 of 7  responded (71.43%)



 View Report
                            



 Download PDF",LATIN,98974,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,PXVbnWak6XT%2fcKbKNJWntQ%3d%3d,z2V%2fJud1itgrm7YAzd55xA%3d%3d,2025-11-24T16:25:48.550406
171550_9973_13687210_27991713,LATIN-203-01,INTERMEDIATE LATIN.LATIN-203-01.,"Crews, Rex",Fall 2024,CLASSICAL,"8 of 14  responded (57.14%)



 View Report
                            



 Download PDF",LATIN,98974,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,9%2b6IE4Hv%2bMedUFhVAa69HQ%3d%3d,Q2xlLg%2fkazy5RylHbdOcNA%3d%3d,2025-11-24T16:25:48.550515
179281_10319_14262557_27991713,LATIN-102-01,ELEMENTARY LATIN.LATIN-102-01.,"Crews, Rex",Spring 2025,CLASSICAL,"5 of 8  responded (62.50%)



 View Report
                            



 Download PDF",LATIN,98974,z7Dsht4caaqNbXz0r4KoNA%3d%3d,ECaPx5LmombchpeKEPAEJw%3d%3d,Q2xlLg%2fkazy5RylHbdOcNA%3d%3d,2025-11-24T16:25:48.550600
