filename,semester,course,instructor,question_number,question_text,response_text
LATIN-101-02_Crews__Rex_Fall_2023.html,Fall 2023,LATIN-101-02 : ELEMENTARY LATIN.LATIN-101-02.,Rex Crews,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Analysing Latin syntax; translating between Latin and English; understanding of Latin grammar, forms, vocabulary, and semantics"
LATIN-101-02_Crews__Rex_Fall_2023.html,Fall 2023,LATIN-101-02 : ELEMENTARY LATIN.LATIN-101-02.,Rex Crews,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","This course helped me learn Latin vocabulary, which was my biggest struggle in high school. I also learned how to translate carefully and accurately, as well as how different Latin grammar needs to be included in translations."
LATIN-101-02_Crews__Rex_Fall_2023.html,Fall 2023,LATIN-101-02 : ELEMENTARY LATIN.LATIN-101-02.,Rex Crews,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned an entirely new language which I had no knowledge of before, developed stronger studying and memorization skills, and structured a better studying schedule and academic system because of taking this course."
LATIN-101-02_Crews__Rex_Fall_2023.html,Fall 2023,LATIN-101-02 : ELEMENTARY LATIN.LATIN-101-02.,Rex Crews,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Translation intuition, learning vocab somewhat quickly, enjoying the humor in the translations."
LATIN-101-02_Crews__Rex_Fall_2023.html,Fall 2023,LATIN-101-02 : ELEMENTARY LATIN.LATIN-101-02.,Rex Crews,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Learning Latin grammar and vocabulary, understanding and gaining an appreciation for how Latin grammar and etymology relates to English, learning about famous Romans."
LATIN-101-02_Crews__Rex_Fall_2023.html,Fall 2023,LATIN-101-02 : ELEMENTARY LATIN.LATIN-101-02.,Rex Crews,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Everything about Latin: rules, words, verb conjugations, etc."
LATIN-101-02_Crews__Rex_Fall_2023.html,Fall 2023,LATIN-101-02 : ELEMENTARY LATIN.LATIN-101-02.,Rex Crews,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1. i learned how to be prepared for class
2. i learned extremely helpful study habits
3. i learned how to speak up in class"
LATIN-101-02_Crews__Rex_Fall_2023.html,Fall 2023,LATIN-101-02 : ELEMENTARY LATIN.LATIN-101-02.,Rex Crews,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned the grammar essentials of Latin. We learned about verb tense, declension of nouns, and active and passive voice."
LATIN-101-02_Crews__Rex_Fall_2023.html,Fall 2023,LATIN-101-02 : ELEMENTARY LATIN.LATIN-101-02.,Rex Crews,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","The instructor asked questions to students, which compelled them to think on their feet and to understand the topic at hand"
LATIN-101-02_Crews__Rex_Fall_2023.html,Fall 2023,LATIN-101-02 : ELEMENTARY LATIN.LATIN-101-02.,Rex Crews,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","Professor Crews always wants to help students do well in his class. He structured the class in a way that ensured I actually learned the content. The weekly vocab quizzes were very helpful for me because I actually learned the words. Also, the cold-calls in class made me ensure that I really understood the grammar."
