filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
LATIN-101-02_Crews__Rex_Fall_2023.html,Fall 2023,LATIN-101-02 : ELEMENTARY LATIN.LATIN-101-02.,Rex Crews,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
LATIN-101-02_Crews__Rex_Fall_2023.html,Fall 2023,LATIN-101-02 : ELEMENTARY LATIN.LATIN-101-02.,Rex Crews,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
LATIN-101-02_Crews__Rex_Fall_2023.html,Fall 2023,LATIN-101-02 : ELEMENTARY LATIN.LATIN-101-02.,Rex Crews,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",9/15 (60%),4.33,0.50,4.00,9,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 6 (66.67%); Excellent: 3 (33.33%)
LATIN-101-02_Crews__Rex_Fall_2023.html,Fall 2023,LATIN-101-02 : ELEMENTARY LATIN.LATIN-101-02.,Rex Crews,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
LATIN-101-02_Crews__Rex_Fall_2023.html,Fall 2023,LATIN-101-02 : ELEMENTARY LATIN.LATIN-101-02.,Rex Crews,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",9/15 (60%),4.67,0.50,5.00,9,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 3 (33.33%); Excellent: 6 (66.67%)
LATIN-101-02_Crews__Rex_Fall_2023.html,Fall 2023,LATIN-101-02 : ELEMENTARY LATIN.LATIN-101-02.,Rex Crews,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",9/15 (60%),4.89,0.33,5.00,9,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 1 (11.11%); Excellent: 8 (88.89%)
LATIN-101-02_Crews__Rex_Fall_2023.html,Fall 2023,LATIN-101-02 : ELEMENTARY LATIN.LATIN-101-02.,Rex Crews,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
LATIN-101-02_Crews__Rex_Fall_2023.html,Fall 2023,LATIN-101-02 : ELEMENTARY LATIN.LATIN-101-02.,Rex Crews,8,The course was difficult.,9/15 (60%),3.44,0.88,3.00,9,Strongly disagree: 0 (0.00%); Disagree: 1 (11.11%); Neither agree nor disagree: 4 (44.44%); Agree: 3 (33.33%); Strongly agree: 1 (11.11%)
LATIN-101-02_Crews__Rex_Fall_2023.html,Fall 2023,LATIN-101-02 : ELEMENTARY LATIN.LATIN-101-02.,Rex Crews,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,9/15 (60%),5.44,2.51,5.00,9,1: 0 (0.00%); 2: 1 (11.11%); 3: 1 (11.11%); 4: 2 (22.22%); 5: 1 (11.11%); 6: 1 (11.11%); 7: 1 (11.11%); 8: 0 (0.00%); 9: 2 (22.22%); 10+: 0 (0.00%)
LATIN-101-03_Welser__Andrew_Fall_2024.html,Fall 2024,LATIN-101-03 : ELEMENTARY LATIN.LATIN-101-03.,Andrew Welser,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
LATIN-101-03_Welser__Andrew_Fall_2024.html,Fall 2024,LATIN-101-03 : ELEMENTARY LATIN.LATIN-101-03.,Andrew Welser,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
LATIN-101-03_Welser__Andrew_Fall_2024.html,Fall 2024,LATIN-101-03 : ELEMENTARY LATIN.LATIN-101-03.,Andrew Welser,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",5/5 (100%),4.40,0.89,5.00,5,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (20.00%); Very Good: 1 (20.00%); Excellent: 3 (60.00%)
LATIN-101-03_Welser__Andrew_Fall_2024.html,Fall 2024,LATIN-101-03 : ELEMENTARY LATIN.LATIN-101-03.,Andrew Welser,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
LATIN-101-03_Welser__Andrew_Fall_2024.html,Fall 2024,LATIN-101-03 : ELEMENTARY LATIN.LATIN-101-03.,Andrew Welser,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",5/5 (100%),4.60,0.55,5.00,5,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 2 (40.00%); Excellent: 3 (60.00%)
LATIN-101-03_Welser__Andrew_Fall_2024.html,Fall 2024,LATIN-101-03 : ELEMENTARY LATIN.LATIN-101-03.,Andrew Welser,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",5/5 (100%),4.60,0.89,5.00,5,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (20.00%); Very Good: 0 (0.00%); Excellent: 4 (80.00%)
LATIN-101-03_Welser__Andrew_Fall_2024.html,Fall 2024,LATIN-101-03 : ELEMENTARY LATIN.LATIN-101-03.,Andrew Welser,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
