uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
161522_9470_12806495_27091602,LAW-235-01,ENVIRONMENTAL LAW.LAW-235-01.ENERGY-835-01.ENVIRON-835-01.,"Roady, Steve",Spring 2024,LAW,"47 of 60  responded (78.33%)



 View Report
                            



 Download PDF","LAW, ENERGY, ENVIRON",98293,Pc65tJQOlmu2uKJ3WwO%2b2g%3d%3d,cA1CzeHUEpHxCA9lxyhtIQ%3d%3d,V3CX8oNZmTA1WXOLqYIRqQ%3d%3d,2025-11-24T16:08:30.586206
161522_9470_12806495_27091644,LAW-235-01,ENVIRONMENTAL LAW.LAW-235-01.ENERGY-835-01.ENVIRON-835-01.,"Nowlin, Michelle",Spring 2024,LAW,"47 of 60  responded (78.33%)



 View Report
                            



 Download PDF","LAW, ENERGY, ENVIRON",98293,Pc65tJQOlmu2uKJ3WwO%2b2g%3d%3d,cA1CzeHUEpHxCA9lxyhtIQ%3d%3d,7hWX%2fWD3T4fpgcvYkSWA4Q%3d%3d,2025-11-24T16:08:30.586292
173147_9973_13581247_27983679,LAW-327-01,ENERGY LAW.LAW-327-01.ENERGY-727-01.,"Pickle, Amy",Fall 2024,LAW,"21 of 26  responded (80.77%)



 View Report
                            



 Download PDF","LAW, ENERGY",98293,oveY1lQudFkIIKadQcVURA%3d%3d,%2fM1b%2f%2b7UZkcN78HW60sHVw%3d%3d,Vz%2bGHfLaBVcdVHLw7kJrag%3d%3d,2025-11-24T16:08:30.586453
147440_8853_11752807_27091644,LAW-443-02,ENVIRONMENTAL LAW & POLICY CL.LAW-443-02.ENVIRON-869-01.,"Nowlin, Michelle",Spring 2023,LAW,"13 of 14  responded (92.86%)



 View Report
                            



 Download PDF","LAW, ENVIRON",98293,sMVrlhA1P6cQsUEEd%2b6D1g%3d%3d,b8lGmrnAdCs1bHoaALh5qg%3d%3d,7hWX%2fWD3T4fpgcvYkSWA4Q%3d%3d,2025-11-24T16:10:08.784551
147440_8853_11752807_27091646,LAW-443-02,ENVIRONMENTAL LAW & POLICY CL.LAW-443-02.ENVIRON-869-01.,"Longest, Ryke",Spring 2023,LAW,"13 of 14  responded (92.86%)



 View Report
                            



 Download PDF","LAW, ENVIRON",98293,sMVrlhA1P6cQsUEEd%2b6D1g%3d%3d,b8lGmrnAdCs1bHoaALh5qg%3d%3d,aXv%2brziCKHQQD%2fdXb1damw%3d%3d,2025-11-24T16:10:08.784667
154454_9169_12239042_27091602,LAW-298-01,OCEAN & COASTAL LAW & POLICY.LAW-298-01.ENVIRON-775-01.,"Roady, Steve",Fall 2023,LAW,"29 of 39  responded (74.36%)



 View Report
                            



 Download PDF","LAW, ENVIRON",98293,bmBUOgqpON8KYRwGVAheRA%3d%3d,itEvcGmpAQ8Xn8Sd3rwnzA%3d%3d,V3CX8oNZmTA1WXOLqYIRqQ%3d%3d,2025-11-24T16:10:08.785103
154454_9169_12239043_27983681,LAW-636-01,FOOD LAW AND POLICY.LAW-636-01.ENVIRON-536S-01.,"Miller, Lee",Fall 2023,LAW,"20 of 24  responded (83.33%)



 View Report
                            



 Download PDF","LAW, ENVIRON",98293,bmBUOgqpON8KYRwGVAheRA%3d%3d,NtvDjmLWN1NOlIJFmi69yA%3d%3d,dL8j0JtgNKTcKsO%2fmczBPQ%3d%3d,2025-11-24T16:10:08.785182
154454_9169_12239047_27091644,LAW-443-01,ENVIRONMENTAL LAW & POLICY CL.LAW-443-01.ENVIRON-869-01.,"Nowlin, Michelle",Fall 2023,LAW,"14 of 14  responded (100.00%)



 View Report
                            



 Download PDF","LAW, ENVIRON",98293,bmBUOgqpON8KYRwGVAheRA%3d%3d,aJU8kPWhdao%2fsdy118xAcQ%3d%3d,7hWX%2fWD3T4fpgcvYkSWA4Q%3d%3d,2025-11-24T16:10:08.785263
154454_9169_12239047_27091646,LAW-443-01,ENVIRONMENTAL LAW & POLICY CL.LAW-443-01.ENVIRON-869-01.,"Longest, Ryke",Fall 2023,LAW,"14 of 14  responded (100.00%)



 View Report
                            



 Download PDF","LAW, ENVIRON",98293,bmBUOgqpON8KYRwGVAheRA%3d%3d,aJU8kPWhdao%2fsdy118xAcQ%3d%3d,aXv%2brziCKHQQD%2fdXb1damw%3d%3d,2025-11-24T16:10:08.785344
161522_9470_12806493_27091644,LAW-443-02,ENVIRONMENTAL LAW & POLICY CL.LAW-443-02.ENVIRON-869-01.,"Nowlin, Michelle",Spring 2024,LAW,"12 of 12  responded (100.00%)



 View Report
                            



 Download PDF","LAW, ENVIRON",98293,Pc65tJQOlmu2uKJ3WwO%2b2g%3d%3d,vgAigwoAA22Tik%2fJpxpUCw%3d%3d,7hWX%2fWD3T4fpgcvYkSWA4Q%3d%3d,2025-11-24T16:10:16.472575
