uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
153858_9169_12282414_28111928,LINGUIST-211-01,COMPUTATION AND LANGUAGE.LINGUIST-211-01.,"Osborne, Mary",Fall 2023,LINGUISTCS,"9 of 17  responded (52.94%)



 View Report
                            



 Download PDF",LINGUIST,99006,CtmkEaIRhsSP75R5T115eg%3d%3d,Uvs4vB9h3G0yfp%2fnnAcIbA%3d%3d,WylFjLrP8kgHLWU9uPMB2Q%3d%3d,2025-11-24T16:25:54.753400
153858_9169_12282734_27446008,SPANISH-409S-01,LINGUISTIC RIGHTS - AMERICAS.SPANISH-409S-01.LINGUIST-409S-01.RIGHTS-409S-01.,"Paredes, Liliana",Fall 2023,ROMANCE,"5 of 11  responded (45.45%)



 View Report
                            



 Download PDF","SPANISH, LINGUIST, RIGHTS",99029,CtmkEaIRhsSP75R5T115eg%3d%3d,mz4mDmeKVCZ%2bo1tIDo79tQ%3d%3d,aPO%2bChDHtcHeSGjHxKZXzQ%3d%3d,2025-11-24T16:25:54.753496
153858_9169_12282882_27445805,LINGUIST-216FS-01,NEUROSCIENCE / HUMAN LANGUAGE.LINGUIST-216FS-01.NEUROSCI-116FS-01.,"Andrews, Edna",Fall 2023,LINGUISTCS,"9 of 18  responded (50.00%)



 View Report
                            



 Download PDF",,99006,CtmkEaIRhsSP75R5T115eg%3d%3d,TQBDjWTZwNPMXLEnycQN3w%3d%3d,5%2bZvp%2bvHl65e2z%2fYB%2feIKQ%3d%3d,2025-11-24T16:25:54.753578
153858_9169_12282921_28112112,LINGUIST-201-02,INTRO TO LINGUISTICS.LINGUIST-201-02.CULANTH-201-02.,"Clements, Gail",Fall 2023,LINGUISTCS,"5 of 13  responded (38.46%)



 View Report
                            



 Download PDF","LINGUIST, CULANTH",99006,CtmkEaIRhsSP75R5T115eg%3d%3d,8HGz2QITJhlEFbMW%2bZvHyg%3d%3d,fKydxBAA99UNY4pteK%2fHEw%3d%3d,2025-11-24T16:25:54.753658
153858_9169_12282965_28112189,LINGUIST-201-01,INTRO TO LINGUISTICS.LINGUIST-201-01.CULANTH-201-01.,"Price, Gareth",Fall 2023,LINGUISTCS,"23 of 33  responded (69.70%)



 View Report
                            



 Download PDF","LINGUIST, CULANTH",99006,CtmkEaIRhsSP75R5T115eg%3d%3d,wPmaumOpIdoHEzQKT11xOw%3d%3d,3iVrLFK5OSClTQ968AwHOA%3d%3d,2025-11-24T16:25:54.753739
153858_9169_12282969_27466653,SPANISH-302-01,ADVANCED SPANISH GRAMMAR.SPANISH-302-01.LINGUIST-301-01.,"Perez-Ventura, Celia",Fall 2023,ROMANCE,"15 of 15  responded (100.00%)



 View Report
                            



 Download PDF","SPANISH, LINGUIST",99029,CtmkEaIRhsSP75R5T115eg%3d%3d,gXnAkEZ260hr7qalR%2bjDSA%3d%3d,zBljFc9WoNB2lEFjUlMjsg%3d%3d,2025-11-24T16:25:54.753818
153858_9169_12282988_28112036,LINGUIST-113FS-01,RACE AND LANGUAGE.LINGUIST-113FS-01.AAAS-117FS-01.EDUC-117FS-01.,"Colston, Aaron",Fall 2023,LINGUISTCS,"5 of 15  responded (33.33%)



 View Report
                            



 Download PDF",,99006,CtmkEaIRhsSP75R5T115eg%3d%3d,tYOc7L84LhjuFQ08EaOpSg%3d%3d,jfBPEiDcpFzce75i5KVGLA%3d%3d,2025-11-24T16:25:54.753897
153858_9169_12283002_28112189,LINGUIST-125FS-01,"LANGUAGES, MARGINS, BORDERS.LINGUIST-125FS-01.ICS-125FS-01.SOCIOL-125FS-01.","Price, Gareth",Fall 2023,LINGUISTCS,"14 of 15  responded (93.33%)



 View Report
                            



 Download PDF",,99006,CtmkEaIRhsSP75R5T115eg%3d%3d,r20Dg0iDIVkQKe93SEQNPA%3d%3d,3iVrLFK5OSClTQ968AwHOA%3d%3d,2025-11-24T16:25:54.753975
153858_9169_12283052_28112194,LINGUIST-212FS-01,"LAW, ETHICS & RESPONSIBILITY.LINGUIST-212FS-01.PUBPOL-250FS-01.SCISOC-212FS-01.","Newcity, Michael",Fall 2023,LINGUISTCS,"11 of 18  responded (61.11%)



 View Report
                            



 Download PDF",,99006,CtmkEaIRhsSP75R5T115eg%3d%3d,MahI3DsvuTrgrzb2XOBveA%3d%3d,z0uonGCWSnRWVtVOLx9Y%2bA%3d%3d,2025-11-24T16:25:54.754051
153858_9169_12283102_28111964,ENGLISH-395-01,LANGUAGE AND SOCIETY.ENGLISH-395-01.CULANTH-212-01.ICS-395-01.LINGUIST-451-01.RIGHTS-395-01.SES-385-01.,"Baran, Dominika",Fall 2023,ENGLISH,"12 of 23  responded (52.17%)



 View Report
                            



 Download PDF","ENGLISH, CULANTH, ICS, LINGUIST, RIGHTS, SES",98988,CtmkEaIRhsSP75R5T115eg%3d%3d,W39o%2bKv4qITNDZTLhEuxlw%3d%3d,sxAo%2fhTe8Ht%2fQC1RmFGktg%3d%3d,2025-11-24T16:25:54.754129
