filename,semester,course,instructor,question_number,question_text,response_text
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1) Introduction to Sociolinguistics and relevant concepts;
2) Skills to conduct sociolinguistic skills;
3) Topics in Japanese sociolinguistics, including dialects, politeness & honorifics, evidentials, and L2 education."
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","That honorifics are way more complex than indicating just politeness, how to analyze and critique research in linguistics, how to create linguistic experiments, how to teach Japanese language"
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1. I learned a lot more about the linguistic portion of the Japanese language.
2. I learned how linguistic journals are written about another language in English (which is super helpful if one wants to study another language but publish in the U.S.)
3. I learned how to skim, summarize, and find research gaps in current papers, which allowed me to gain some skills that would be necessary as a future linguist."
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","critical evaluation of academic literature, understanding of linguistic pragmatics and nuances in language usage under different contexts, designing research and experimental methods"
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Learned what the field of linguistics is and about the history/current state of research in Japanese linguistics, learned how to identify problems in studies, as well as how to think about and design good studies for the future, learned more about differences between native Japanese speakers and learners as well as identified unconscious/conscious choices these learners make, conducted a study in the field of Japanese linguistics and learned how to deal with problems in study design, research, and data."
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","For each class meeting, there is a paper to read in advance to allow for discussion during class time, which facillitated my thinking into how a research might want to conduct a similar experiment with a more grounded motivation and rigorous methodology."
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","We read a lot of literature on the subject and were asked to critique the papers. While sometimes I had trouble coming up with critiques beyond the usual ""the sample size is small"" or ""the results are not generalizable,"" I think this overall approach to reading papers allowed us to think critically about how to best set up a research experiment while also recognizing that there is no one-size-fits-all experiment that has no weaknesses."
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I like the consistency of the course. You read two journal articles every week and practice the same skills. It allows students to acquire the skills necessary to read the papers but also understand them at a steady pace, which some professors ignore. I would definitely keep this part."
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I appreciate the interactive nature of the class, particularly how students have the chance to express their thoughts and critiques in classroom/HW"
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","The presentations in class were insightful and built well on the readings, the overall structure of the class synthesized all the material very well. Including videos that related to the paper we read was also very interesting."
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,It challenged the simplified version of honorifics = politeness that Japanese language classes usually teach.
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"I think the class added a component that I wouldn't have learned about in my Japanese classes. For instance, we get more into the why, how, and what of the language choices of L1 and L2 Japanese speakers that's mostly overlooked in my language classes that I appreciate learning about."
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,Same reasons as above.
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"There were lots of insights about Japanese language and usage that I had never considered, and probably most native speakers have never considered before. Thinking about these new insights was particularly helpful for my Japanese language learning from both a perspective of ""knowledge of the language"" and ""knowledge about the language."" It was also very interesting to take a deep dive into previous literature and better understand the current state of research/"
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,7,What would you like to say about this course to a student who is considering taking it in the future?,"Chen sensei is the GOAT, so just go for it."
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,7,What would you like to say about this course to a student who is considering taking it in the future?,"If you have learned Japanese before, it's very insightful and gives you context about your learning experience. The class sets you up so that you've read so many papers and you've conducted your own research that you can create a thesis out of it, and Professor Chen is very supportive of this thesis route."
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,7,What would you like to say about this course to a student who is considering taking it in the future?,"You don't have to be a linguistics major to be in this class—reading the papers every week might be really difficult at first, but you will not be the only one struggling with the steep learning curve. But once you get used to it, you'll learn a lot more about the Japanese language than if you only take the Japanese language classes. Plus, you get to do your own research project, which is good experience for any university student."
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,7,What would you like to say about this course to a student who is considering taking it in the future?,It's a good linguistic class overall but does require decent proficiency in Japanese. It might not suit students with zero proficiency.
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,7,What would you like to say about this course to a student who is considering taking it in the future?,Very insightful for more advanced Japanese learners.
AMES-337S-01_Liu__Yan_Spring_2024.html,Spring 2024,AMES-337S-01 : CHINESE SOCIOLINGUISTICS.AMES-337S-01.LINGUIST-337S-01.,Yan Liu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Learned a lot about different Chinese and sociolinguistic topics
AMES-337S-01_Liu__Yan_Spring_2024.html,Spring 2024,AMES-337S-01 : CHINESE SOCIOLINGUISTICS.AMES-337S-01.LINGUIST-337S-01.,Yan Liu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Basic sociolinguistic ideas and research methods, and the current Chinese landscape around the world."
AMES-337S-01_Liu__Yan_Spring_2024.html,Spring 2024,AMES-337S-01 : CHINESE SOCIOLINGUISTICS.AMES-337S-01.LINGUIST-337S-01.,Yan Liu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","The diversity of the Chinese languages, Chinese language usage in the Chinese diaspora communities, and research skills"
AMES-337S-01_Liu__Yan_Spring_2024.html,Spring 2024,AMES-337S-01 : CHINESE SOCIOLINGUISTICS.AMES-337S-01.LINGUIST-337S-01.,Yan Liu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1. I learned about the history of the development of Mandarin Chinese.
2. I learned about the ways to protect and preserve endangered languages.
3. I learned about the development of Chinese language programs in the United States."
AMES-337S-01_Liu__Yan_Spring_2024.html,Spring 2024,AMES-337S-01 : CHINESE SOCIOLINGUISTICS.AMES-337S-01.LINGUIST-337S-01.,Yan Liu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about language policy, language ideology, and the ways that Chinese culture and politics interact with Chinese languages."
