filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",5/5 (100%),4.40,0.55,4.00,5,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 3 (60.00%); Excellent: 2 (40.00%)
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",5/5 (100%),4.60,0.55,5.00,5,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 2 (40.00%); Excellent: 3 (60.00%)
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",5/5 (100%),4.80,0.45,5.00,5,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 1 (20.00%); Excellent: 4 (80.00%)
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,8,The course was difficult.,5/5 (100%),2.40,0.55,2.00,5,Strongly disagree: 0 (0.00%); Disagree: 3 (60.00%); Neither agree nor disagree: 2 (40.00%); Agree: 0 (0.00%); Strongly agree: 0 (0.00%)
AMES-334S-01_Chen__Yunchuan_Spring_2025.html,Spring 2025,AMES-334S-01 : JPN LANGUAGE & SOCIETY.AMES-334S-01.LINGUIST-334S-01.,Yunchuan Chen,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,5/5 (100%),5.60,2.30,6.00,5,1: 0 (0.00%); 2: 0 (0.00%); 3: 1 (20.00%); 4: 1 (20.00%); 5: 0 (0.00%); 6: 2 (40.00%); 7: 0 (0.00%); 8: 0 (0.00%); 9: 1 (20.00%); 10+: 0 (0.00%)
AMES-337S-01_Liu__Yan_Spring_2024.html,Spring 2024,AMES-337S-01 : CHINESE SOCIOLINGUISTICS.AMES-337S-01.LINGUIST-337S-01.,Yan Liu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
AMES-337S-01_Liu__Yan_Spring_2024.html,Spring 2024,AMES-337S-01 : CHINESE SOCIOLINGUISTICS.AMES-337S-01.LINGUIST-337S-01.,Yan Liu,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
AMES-337S-01_Liu__Yan_Spring_2024.html,Spring 2024,AMES-337S-01 : CHINESE SOCIOLINGUISTICS.AMES-337S-01.LINGUIST-337S-01.,Yan Liu,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",11/13 (84.62%),4.36,1.21,5.00,11,Poor: 1 (9.09%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 3 (27.27%); Excellent: 7 (63.64%)
AMES-337S-01_Liu__Yan_Spring_2024.html,Spring 2024,AMES-337S-01 : CHINESE SOCIOLINGUISTICS.AMES-337S-01.LINGUIST-337S-01.,Yan Liu,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
AMES-337S-01_Liu__Yan_Spring_2024.html,Spring 2024,AMES-337S-01 : CHINESE SOCIOLINGUISTICS.AMES-337S-01.LINGUIST-337S-01.,Yan Liu,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",11/13 (84.62%),4.18,1.17,4.00,11,Poor: 1 (9.09%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 5 (45.45%); Excellent: 5 (45.45%)
