filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
LINGUIST-113FS-01_Colston__Aaron_Fall_2023.html,Fall 2023,LINGUIST-113FS-01 : RACE AND LANGUAGE.LINGUIST-113FS-01.AAAS-117FS-01.EDUC-117FS-01.,Aaron Colston,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
LINGUIST-113FS-01_Colston__Aaron_Fall_2023.html,Fall 2023,LINGUIST-113FS-01 : RACE AND LANGUAGE.LINGUIST-113FS-01.AAAS-117FS-01.EDUC-117FS-01.,Aaron Colston,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
LINGUIST-113FS-01_Colston__Aaron_Fall_2023.html,Fall 2023,LINGUIST-113FS-01 : RACE AND LANGUAGE.LINGUIST-113FS-01.AAAS-117FS-01.EDUC-117FS-01.,Aaron Colston,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",5/15 (33.33%),3.80,0.45,4.00,5,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (20.00%); Very Good: 4 (80.00%); Excellent: 0 (0.00%)
LINGUIST-113FS-01_Colston__Aaron_Fall_2023.html,Fall 2023,LINGUIST-113FS-01 : RACE AND LANGUAGE.LINGUIST-113FS-01.AAAS-117FS-01.EDUC-117FS-01.,Aaron Colston,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
LINGUIST-113FS-01_Colston__Aaron_Fall_2023.html,Fall 2023,LINGUIST-113FS-01 : RACE AND LANGUAGE.LINGUIST-113FS-01.AAAS-117FS-01.EDUC-117FS-01.,Aaron Colston,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",5/15 (33.33%),3.80,0.45,4.00,5,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (20.00%); Very Good: 4 (80.00%); Excellent: 0 (0.00%)
LINGUIST-113FS-01_Colston__Aaron_Fall_2023.html,Fall 2023,LINGUIST-113FS-01 : RACE AND LANGUAGE.LINGUIST-113FS-01.AAAS-117FS-01.EDUC-117FS-01.,Aaron Colston,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",5/15 (33.33%),3.80,0.45,4.00,5,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (20.00%); Very Good: 4 (80.00%); Excellent: 0 (0.00%)
LINGUIST-113FS-01_Colston__Aaron_Fall_2023.html,Fall 2023,LINGUIST-113FS-01 : RACE AND LANGUAGE.LINGUIST-113FS-01.AAAS-117FS-01.EDUC-117FS-01.,Aaron Colston,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
LINGUIST-113FS-01_Colston__Aaron_Fall_2023.html,Fall 2023,LINGUIST-113FS-01 : RACE AND LANGUAGE.LINGUIST-113FS-01.AAAS-117FS-01.EDUC-117FS-01.,Aaron Colston,8,The course was difficult.,5/15 (33.33%),2.00,0.71,2.00,5,Strongly disagree: 1 (20.00%); Disagree: 3 (60.00%); Neither agree nor disagree: 1 (20.00%); Agree: 0 (0.00%); Strongly agree: 0 (0.00%)
LINGUIST-113FS-01_Colston__Aaron_Fall_2023.html,Fall 2023,LINGUIST-113FS-01 : RACE AND LANGUAGE.LINGUIST-113FS-01.AAAS-117FS-01.EDUC-117FS-01.,Aaron Colston,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,5/15 (33.33%),2.40,0.89,3.00,5,1: 1 (20.00%); 2: 1 (20.00%); 3: 3 (60.00%); 4: 0 (0.00%); 5: 0 (0.00%); 6: 0 (0.00%); 7: 0 (0.00%); 8: 0 (0.00%); 9: 0 (0.00%); 10+: 0 (0.00%)
LINGUIST-113FS-01_Colston__Aaron_Fall_2024.html,Fall 2024,LINGUIST-113FS-01 : RACE AND LANGUAGE.LINGUIST-113FS-01.AAAS-117FS-01.EDUC-117FS-01.,Aaron Colston,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
LINGUIST-113FS-01_Colston__Aaron_Fall_2024.html,Fall 2024,LINGUIST-113FS-01 : RACE AND LANGUAGE.LINGUIST-113FS-01.AAAS-117FS-01.EDUC-117FS-01.,Aaron Colston,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
