filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
LINGUIST-113FS-01_Colston__Aaron_Fall_2023.html,Fall 2023,LINGUIST-113FS-01 : RACE AND LANGUAGE.LINGUIST-113FS-01.AAAS-117FS-01.EDUC-117FS-01.,Aaron Colston,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
LINGUIST-113FS-01_Colston__Aaron_Fall_2023.html,Fall 2023,LINGUIST-113FS-01 : RACE AND LANGUAGE.LINGUIST-113FS-01.AAAS-117FS-01.EDUC-117FS-01.,Aaron Colston,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
LINGUIST-113FS-01_Colston__Aaron_Fall_2023.html,Fall 2023,LINGUIST-113FS-01 : RACE AND LANGUAGE.LINGUIST-113FS-01.AAAS-117FS-01.EDUC-117FS-01.,Aaron Colston,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,5/15 (33.33%),3.80,0.45,4.00
LINGUIST-113FS-01_Colston__Aaron_Fall_2023.html,Fall 2023,LINGUIST-113FS-01 : RACE AND LANGUAGE.LINGUIST-113FS-01.AAAS-117FS-01.EDUC-117FS-01.,Aaron Colston,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,5/15 (33.33%),3.80,0.45,4.00
LINGUIST-113FS-01_Colston__Aaron_Fall_2023.html,Fall 2023,LINGUIST-113FS-01 : RACE AND LANGUAGE.LINGUIST-113FS-01.AAAS-117FS-01.EDUC-117FS-01.,Aaron Colston,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),1,20.00%,5/15 (33.33%),3.80,0.45,4.00
LINGUIST-113FS-01_Colston__Aaron_Fall_2023.html,Fall 2023,LINGUIST-113FS-01 : RACE AND LANGUAGE.LINGUIST-113FS-01.AAAS-117FS-01.EDUC-117FS-01.,Aaron Colston,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),4,80.00%,5/15 (33.33%),3.80,0.45,4.00
LINGUIST-113FS-01_Colston__Aaron_Fall_2023.html,Fall 2023,LINGUIST-113FS-01 : RACE AND LANGUAGE.LINGUIST-113FS-01.AAAS-117FS-01.EDUC-117FS-01.,Aaron Colston,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),0,0.00%,5/15 (33.33%),3.80,0.45,4.00
LINGUIST-113FS-01_Colston__Aaron_Fall_2023.html,Fall 2023,LINGUIST-113FS-01 : RACE AND LANGUAGE.LINGUIST-113FS-01.AAAS-117FS-01.EDUC-117FS-01.,Aaron Colston,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
LINGUIST-113FS-01_Colston__Aaron_Fall_2023.html,Fall 2023,LINGUIST-113FS-01 : RACE AND LANGUAGE.LINGUIST-113FS-01.AAAS-117FS-01.EDUC-117FS-01.,Aaron Colston,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,5/15 (33.33%),3.80,0.45,4.00
LINGUIST-113FS-01_Colston__Aaron_Fall_2023.html,Fall 2023,LINGUIST-113FS-01 : RACE AND LANGUAGE.LINGUIST-113FS-01.AAAS-117FS-01.EDUC-117FS-01.,Aaron Colston,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,5/15 (33.33%),3.80,0.45,4.00
LINGUIST-113FS-01_Colston__Aaron_Fall_2023.html,Fall 2023,LINGUIST-113FS-01 : RACE AND LANGUAGE.LINGUIST-113FS-01.AAAS-117FS-01.EDUC-117FS-01.,Aaron Colston,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),1,20.00%,5/15 (33.33%),3.80,0.45,4.00
LINGUIST-113FS-01_Colston__Aaron_Fall_2023.html,Fall 2023,LINGUIST-113FS-01 : RACE AND LANGUAGE.LINGUIST-113FS-01.AAAS-117FS-01.EDUC-117FS-01.,Aaron Colston,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),4,80.00%,5/15 (33.33%),3.80,0.45,4.00
