uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
154503_9169_12241465_27991688,LIT-690S-02,SPECIAL TOPICS IN LITERATURE.LIT-690S-02.ENGLISH-590S-4-02.,"Wiegman, Robyn",Fall 2023,LITERATURE,"8 of 8  responded (100.00%)



 View Report
                            



 Download PDF","LIT, ENGLISH",98858,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,cMcIfC2IAq4pc4StMZeKgw%3d%3d,TIjz5uoYICBCfkDbxNSxYQ%3d%3d,2025-11-24T16:26:20.054041
154503_9169_12241524_27445954,GERMAN-570-01,FRANKFURT SCHOOL.GERMAN-570-01.LIT-575-01.PHIL-572-01.POLSCI-570-01.,"Pickford, Henry",Fall 2023,GERMAN,"7 of 22  responded (31.82%)



 View Report
                            



 Download PDF","GERMAN, LIT, PHIL, POLSCI",98845,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,VvjtpeH7s8e9nacIVEgERA%3d%3d,Q%2bONUOHkUuyVpJJMo%2bl4wg%3d%3d,2025-11-24T16:26:20.054138
154503_9169_12241568_27991733,LIT-650S-01,HISTORY OF MENTAL ILLNESS.LIT-650S-01.HISTORY-650S-01.NEUROSCI-650S-01.PSY-650S-01.,"Bassiri, Nima",Fall 2023,LITERATURE,"14 of 18  responded (77.78%)



 View Report
                            



 Download PDF","LIT, HISTORY, NEUROSCI, PSY",98858,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,iMOl4hBxa1wx2zta%2bAqBCg%3d%3d,gRFBCJ8VWFP172BM4DDsiw%3d%3d,2025-11-24T16:26:20.054224
154503_9169_12241590_27466645,FRENCH-510-01,CITIZEN GODARD.FRENCH-510-01.CINE-642-01.LIT-510-01.VMS-552-01.,"Saliot, Anne-Gaelle",Fall 2023,ROMANCE,"5 of 12  responded (41.67%)



 View Report
                            



 Download PDF","FRENCH, CINE, LIT, VMS",98885,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,02ZPuhBy%2bSdYZxifx3wYhw%3d%3d,Z7Z28P1U53siqyLVTWp%2bGw%3d%3d,2025-11-24T16:26:20.054321
154503_9169_12241594_27445875,ARTSVIS-640S-01,EXPANDED CINEMA.ARTSVIS-640S-01.CINE-639S-01.DOCST-640S-01.LIT-545S-01.VMS-640S-01.,"Kaul, Shambhavi",Fall 2023,ART&AHIST,"11 of 13  responded (84.62%)



 View Report
                            



 Download PDF","ARTSVIS, CINE, DOCST, LIT, VMS",98816,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,HcNw7UeBT78tifHQs%2ftnwQ%3d%3d,mMabPAiKivv7K2c78pHwlw%3d%3d,2025-11-24T16:26:20.054417
154503_9169_12241607_27991735,LIT-822S-01,WRITING IS THINKING.LIT-822S-01.ENGLISH-822S-01.,"Moi, Toril",Fall 2023,LITERATURE,"11 of 13  responded (84.62%)



 View Report
                            



 Download PDF","LIT, ENGLISH",98858,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,B4%2bVH%2bIxj%2bBLzyHVlBkuMw%3d%3d,DDfdrsZct0fBtxPSzi9RFQ%3d%3d,2025-11-24T16:26:20.054500
154503_9169_12241647_27991676,AMES-631-01,NATIONAL CINEMAS.AMES-631-01.CINE-632-01.LIT-632-01.VMS-632-01.,"Hong, Guo-Juin",Fall 2023,AMES,"7 of 8  responded (87.50%)



 View Report
                            



 Download PDF","AMES, CINE, LIT, VMS",98815,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,YakjV5PPAveEJl6yMZqypw%3d%3d,Gue8wq%2fp%2buXf%2bpoRatUq3A%3d%3d,2025-11-24T16:26:20.054581
154503_9169_12241671_27991729,LIT-890S-03,SEMINARS IN LIT (TOPICS).LIT-890S-03.ARTHIST-790S-03.ENGLISH-890S-03.GERMAN-890S-03.PSY-890S-03.ROMST-790S-03.,"Khanna, Ranjana",Fall 2023,LITERATURE,"6 of 14  responded (42.86%)



 View Report
                            



 Download PDF","LIT, ARTHIST, ENGLISH, GERMAN, PSY, ROMST",98858,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,ltCpByzrdXm7vjqvrgAbbA%3d%3d,6AU1iaXLvaCvmkQpoCPk9A%3d%3d,2025-11-24T16:26:20.054663
153858_9169_12282375_28111926,LIT-201S-01,INTRO GLOBAL CULTURAL STUDIES.LIT-201S-01.,"Crais, Benjamin",Fall 2023,LITERATURE,"9 of 10  responded (90.00%)



 View Report
                            



 Download PDF",LIT,99007,CtmkEaIRhsSP75R5T115eg%3d%3d,1fhcaFWuhlHJ2GAznG0Jmg%3d%3d,rvGbVcqGh8XAKqaTQJZzLA%3d%3d,2025-11-24T16:26:20.054743
153858_9169_12282702_27991590,ENGLISH-290-7-01,SP TOP IN LANG & LIT.ENGLISH-290-7-01.ETHICS-290-01.GERMAN-290-1-01.LIT-290-01.,"Stan, Corina",Fall 2023,ENGLISH,"11 of 12  responded (91.67%)



 View Report
                            



 Download PDF","ENGLISH, ETHICS, GERMAN, LIT",98988,CtmkEaIRhsSP75R5T115eg%3d%3d,0eo%2b9w4uWNEDLs67rU6yaQ%3d%3d,H8XF3Gq%2bAw5u6Whu49Q2Uw%3d%3d,2025-11-24T16:26:20.054824
