filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,6/11 (54.55%),4.83,0.41,5.00
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,6/11 (54.55%),4.83,0.41,5.00
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),0,0.00%,6/11 (54.55%),4.83,0.41,5.00
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),1,16.67%,6/11 (54.55%),4.83,0.41,5.00
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),5,83.33%,6/11 (54.55%),4.83,0.41,5.00
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,6/11 (54.55%),4.67,0.52,5.00
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,6/11 (54.55%),4.67,0.52,5.00
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),0,0.00%,6/11 (54.55%),4.67,0.52,5.00
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),2,33.33%,6/11 (54.55%),4.67,0.52,5.00
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),4,66.67%,6/11 (54.55%),4.67,0.52,5.00
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,6/11 (54.55%),4.83,0.41,5.00
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),0,0.00%,6/11 (54.55%),4.83,0.41,5.00
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),0,0.00%,6/11 (54.55%),4.83,0.41,5.00
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Very Good,(4),1,16.67%,6/11 (54.55%),4.83,0.41,5.00
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Excellent,(5),5,83.33%,6/11 (54.55%),4.83,0.41,5.00
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,,,
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,8,The course was difficult.,Strongly disagree,(1),0,0.00%,6/11 (54.55%),2.67,1.21,2.00
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,8,The course was difficult.,Disagree,(2),4,66.67%,6/11 (54.55%),2.67,1.21,2.00
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,8,The course was difficult.,Neither agree nor disagree,(3),1,16.67%,6/11 (54.55%),2.67,1.21,2.00
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,8,The course was difficult.,Agree,(4),0,0.00%,6/11 (54.55%),2.67,1.21,2.00
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,8,The course was difficult.,Strongly agree,(5),1,16.67%,6/11 (54.55%),2.67,1.21,2.00
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,1,(1),1,16.67%,6/11 (54.55%),3.00,1.67,2.50
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,2,(2),2,33.33%,6/11 (54.55%),3.00,1.67,2.50
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,3,(3),1,16.67%,6/11 (54.55%),3.00,1.67,2.50
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,4,(4),0,0.00%,6/11 (54.55%),3.00,1.67,2.50
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,5,(5),2,33.33%,6/11 (54.55%),3.00,1.67,2.50
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,6,(6),0,0.00%,6/11 (54.55%),3.00,1.67,2.50
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,7,(7),0,0.00%,6/11 (54.55%),3.00,1.67,2.50
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,8,(8),0,0.00%,6/11 (54.55%),3.00,1.67,2.50
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,9,(9),0,0.00%,6/11 (54.55%),3.00,1.67,2.50
AAAS-102-01_Holloway__Lexi_Spring_2024.html,Spring 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Lexi Holloway,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,10+,(10),0,0.00%,6/11 (54.55%),3.00,1.67,2.50
AAAS-102-01_Li__Stephanie_Fall_2024.html,Fall 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Stephanie Li,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
AAAS-102-01_Li__Stephanie_Fall_2024.html,Fall 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Stephanie Li,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
AAAS-102-01_Li__Stephanie_Fall_2024.html,Fall 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Stephanie Li,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),1,16.67%,6/22 (27.27%),3.83,1.47,4.00
AAAS-102-01_Li__Stephanie_Fall_2024.html,Fall 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Stephanie Li,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,6/22 (27.27%),3.83,1.47,4.00
AAAS-102-01_Li__Stephanie_Fall_2024.html,Fall 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Stephanie Li,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),0,0.00%,6/22 (27.27%),3.83,1.47,4.00
AAAS-102-01_Li__Stephanie_Fall_2024.html,Fall 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Stephanie Li,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),3,50.00%,6/22 (27.27%),3.83,1.47,4.00
AAAS-102-01_Li__Stephanie_Fall_2024.html,Fall 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Stephanie Li,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),2,33.33%,6/22 (27.27%),3.83,1.47,4.00
AAAS-102-01_Li__Stephanie_Fall_2024.html,Fall 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Stephanie Li,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
AAAS-102-01_Li__Stephanie_Fall_2024.html,Fall 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Stephanie Li,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,6/22 (27.27%),3.83,0.75,4.00
AAAS-102-01_Li__Stephanie_Fall_2024.html,Fall 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Stephanie Li,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,6/22 (27.27%),3.83,0.75,4.00
AAAS-102-01_Li__Stephanie_Fall_2024.html,Fall 2024,AAAS-102-01 : INTRO AFR-AMER STUDIES.AAAS-102-01.LIT-102-01.,Stephanie Li,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),2,33.33%,6/22 (27.27%),3.83,0.75,4.00
