uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
149911_8928_11987230_27445913,SPANISH-439SA-01,GLOBAL SPAIN.SPANISH-439SA-01.LATAMER-439SA-01.LSGS-439SA-01.,"Milian, Claudia",Summer I 2023,ROMANCE,"16 of 17  responded (94.12%)



 View Report
                            



 Download PDF",,99029,R3taZNKnw14IRH7UBESaUg%3d%3d,%2baKBpVrnoPZpSCZnsHuElA%3d%3d,6pUSi%2fVtNNpayCRadLlUrw%3d%3d,2025-11-24T16:26:49.890884
149911_8928_11987230_27466678,SPANISH-439SA-01,GLOBAL SPAIN.SPANISH-439SA-01.LATAMER-439SA-01.LSGS-439SA-01.,"Canteli VigÃ³n, Marcos",Summer I 2023,ROMANCE,"16 of 17  responded (94.12%)



 View Report
                            



 Download PDF",,99029,R3taZNKnw14IRH7UBESaUg%3d%3d,%2baKBpVrnoPZpSCZnsHuElA%3d%3d,Zl2Ihd6JE86k8%2f9nNqnoNw%3d%3d,2025-11-24T16:26:49.890981
153858_9169_12282809_27991756,LSGS-201S-01,INTRO TO LATINO/A STUDIES.LSGS-201S-01.AAAS-104S-01.ICS-106S-01.LIT-243S-01.MUSIC-231S-01.SPANISH-160S-01.,"Enriquez, Sophia",Fall 2023,LSGS,"7 of 18  responded (38.89%)



 View Report
                            



 Download PDF","LSGS, AAAS, ICS, LIT, MUSIC, SPANISH",99008,CtmkEaIRhsSP75R5T115eg%3d%3d,cabGT5ltXpPHxeu2D7mzTg%3d%3d,8sVIw5K6G4UjSVDNNyi3IA%3d%3d,2025-11-24T16:26:49.891068
153858_9169_12282831_27466652,SPANISH-308S-01,"LATINX VOICES IN DUKE, DURHAM.SPANISH-308S-01.LSGS-308S-01.","Anderson, Eileen",Fall 2023,ROMANCE,"11 of 15  responded (73.33%)



 View Report
                            



 Download PDF","SPANISH, LSGS",99029,CtmkEaIRhsSP75R5T115eg%3d%3d,moREhMihPzMl9A3YaqcVLg%3d%3d,lUraDNHP8yTDvbJcaXFq7w%3d%3d,2025-11-24T16:26:49.891149
153858_9169_12282886_28112098,SPANISH-306-1-01,"HEALTH, CULTURE: SERVICE-LRNG.SPANISH-306-1-01.GLHLTH-326-1-01.HLTHPOL-306-1-01.LSGS-306-1-01.","Clifford, Joan",Fall 2023,ROMANCE,"11 of 15  responded (73.33%)



 View Report
                            



 Download PDF","SPANISH, GLHLTH, HLTHPOL, LSGS",99029,CtmkEaIRhsSP75R5T115eg%3d%3d,3kep3WwYwlJuVjAcgQu0Zw%3d%3d,T5zLY9ibvs18PtMooYjhzg%3d%3d,2025-11-24T16:26:49.891240
153858_9169_12282944_28112101,SPANISH-306-01,"HEALTH, CULTURE, LATINO COMMUN.SPANISH-306-01.CULANTH-306-01.GLHLTH-326-01.HLTHPOL-306-01.LSGS-306-01.","Solorzano, Rosa",Fall 2023,ROMANCE,"14 of 14  responded (100.00%)



 View Report
                            



 Download PDF","SPANISH, CULANTH, GLHLTH, HLTHPOL, LSGS",99029,CtmkEaIRhsSP75R5T115eg%3d%3d,6S2k3FMWKrWP3n97k9K0WQ%3d%3d,jogqrIMvt6DYzGlXds7KEw%3d%3d,2025-11-24T16:26:49.891322
153858_9169_12283105_27991345,SOCIOL-215-01,SOCIOLOGY OF RACISM IN AMERICA.SOCIOL-215-01.AAAS-246-01.LSGS-316-01.RIGHTS-215-01.,"Bonilla-Silva, Eduardo",Fall 2023,SOCIOLOGY,"6 of 10  responded (60.00%)



 View Report
                            



 Download PDF","SOCIOL, AAAS, LSGS, RIGHTS",99032,CtmkEaIRhsSP75R5T115eg%3d%3d,XVMmxxo%2bQmJq71nezhXJFA%3d%3d,r%2by8XW5wKtH8snbf9JMH9A%3d%3d,2025-11-24T16:26:49.891402
153858_9169_12283131_28112048,HISTORY-366S-01,LATINX SOCIAL MOVEMENTS.HISTORY-366S-01.LSGS-366S-01.,"Marquez, Cecilia",Fall 2023,HISTORY,"9 of 11  responded (81.82%)



 View Report
                            



 Download PDF","HISTORY, LSGS",98997,CtmkEaIRhsSP75R5T115eg%3d%3d,f590dguMFqov%2fqwmABRHZA%3d%3d,mxOpu94XmpYMsc56LLXxdg%3d%3d,2025-11-24T16:26:49.891479
161337_9470_12751003_27675605,SPANISH-307S-01,ISSUES EDUCATION/IMMIGRATION.SPANISH-307S-01.EDUC-307S-01.LSGS-307S-01.,"Ewing, Rebecca",Spring 2024,ROMANCE,"10 of 12  responded (83.33%)



 View Report
                            



 Download PDF","SPANISH, EDUC, LSGS",99029,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,%2bCR2U6E%2bHg0F0NXoSTN0Rw%3d%3d,UdLYrUe6b5LOhUdnWDBvyQ%3d%3d,2025-11-24T16:26:49.891556
161337_9470_12751053_28112101,SPANISH-306-01,"HEALTH, CULTURE, LATINO COMMUN.SPANISH-306-01.CULANTH-306-01.GLHLTH-326-01.HLTHPOL-306-01.LSGS-306-01.","Solorzano, Rosa",Spring 2024,ROMANCE,"11 of 15  responded (73.33%)



 View Report
                            



 Download PDF","SPANISH, CULANTH, GLHLTH, HLTHPOL, LSGS",99029,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,IMEheHMrKO4yIT7GZfWUfw%3d%3d,jogqrIMvt6DYzGlXds7KEw%3d%3d,2025-11-24T16:26:49.891635
161337_9470_12751102_28112098,SPANISH-306-1-01,"HEALTH, CULTURE: SERVICE-LRNG.SPANISH-306-1-01.GLHLTH-326-1-01.HLTHPOL-306-1-01.LSGS-306-1-01.","Clifford, Joan",Spring 2024,ROMANCE,"12 of 15  responded (80.00%)



 View Report
                            



 Download PDF","SPANISH, GLHLTH, HLTHPOL, LSGS",99029,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,cDXWZLxS04YFMFAGYT8Wdg%3d%3d,T5zLY9ibvs18PtMooYjhzg%3d%3d,2025-11-24T16:26:49.891714
161337_9470_12751178_27991756,MUSIC-235S-01,SELENA.MUSIC-235S-01.GSF-236S-01.LSGS-235S-01.,"Enriquez, Sophia",Spring 2024,MUSIC,"6 of 18  responded (33.33%)



 View Report
                            



 Download PDF","MUSIC, GSF, LSGS",99015,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,3%2fAJZ3EKqAb5bocNFryU3w%3d%3d,8sVIw5K6G4UjSVDNNyi3IA%3d%3d,2025-11-24T16:26:49.891791
171550_9973_13686532_27466684,SPANISH-306-1-01,"HEALTH, CULTURE: SERVICE-LRNG.SPANISH-306-1-01.GLHLTH-326-1-01.HLTHPOL-306-1-01.LSGS-306-1-01.","Fernandez, Bethzaida",Fall 2024,ROMANCE,"15 of 15  responded (100.00%)



 View Report
                            



 Download PDF","SPANISH, GLHLTH, HLTHPOL, LSGS",99029,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,NpIvNRJyaNv1rP9grRQqyA%3d%3d,uQC%2bF4lsYkSRmTi1L2E%2fUw%3d%3d,2025-11-24T16:26:49.891869
171550_9973_13686580_28112101,SPANISH-306-01,"HEALTH, CULTURE, LATINO COMMUN.SPANISH-306-01.CULANTH-306-01.GLHLTH-326-01.HLTHPOL-306-01.LSGS-306-01.","Solorzano, Rosa",Fall 2024,ROMANCE,"15 of 15  responded (100.00%)



 View Report
                            



 Download PDF","SPANISH, CULANTH, GLHLTH, HLTHPOL, LSGS",99029,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,kp38ci78RXBJunvDENtLyg%3d%3d,jogqrIMvt6DYzGlXds7KEw%3d%3d,2025-11-24T16:26:49.891976
