uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
153858_9169_12282352_27991508,MARSCI-203-01,MARINE SOCIAL SCIENCE.MARSCI-203-01.,"Gill, David",Fall 2023,MSC,"5 of 10  responded (50.00%)



 View Report
                            



 Download PDF",MARSCI,99014,CtmkEaIRhsSP75R5T115eg%3d%3d,4O1ZDixdJU%2b8dgRMj4JC5w%3d%3d,M0twYhC8c61Rh2SU0bRNgg%3d%3d,2025-11-24T16:26:59.429978
153858_9169_12282352_28111859,MARSCI-203-01,MARINE SOCIAL SCIENCE.MARSCI-203-01.,"Basurto Guillermo, Xavier",Fall 2023,MSC,"5 of 10  responded (50.00%)



 View Report
                            



 Download PDF",MARSCI,99014,CtmkEaIRhsSP75R5T115eg%3d%3d,4O1ZDixdJU%2b8dgRMj4JC5w%3d%3d,yZmIF4V%2fnKfL6BI8lBAW5Q%3d%3d,2025-11-24T16:26:59.430077
153858_9169_12283068_27675598,MARSCI-202-01,MARINE BIOLOGY AND ECOLOGY.MARSCI-202-01.BIOLOGY-271-01.,"Silliman, Brian",Fall 2023,MSC,"48 of 139  responded (34.53%)



 View Report
                            



 Download PDF","MARSCI, BIOLOGY",99014,CtmkEaIRhsSP75R5T115eg%3d%3d,VuVkGwA4gYkuX7dToMVblA%3d%3d,1K5ZkgF4a7ZZhv581NkMbQ%3d%3d,2025-11-24T16:26:59.430161
153858_9169_12283068_28112217,MARSCI-202-01,MARINE BIOLOGY AND ECOLOGY.MARSCI-202-01.BIOLOGY-271-01.,"Ji, Bertram",Fall 2023,MSC,"48 of 139  responded (34.53%)



 View Report
                            



 Download PDF","MARSCI, BIOLOGY",99014,CtmkEaIRhsSP75R5T115eg%3d%3d,VuVkGwA4gYkuX7dToMVblA%3d%3d,6Zk76atfeax%2bCrFSTccjsQ%3d%3d,2025-11-24T16:26:59.430241
153858_9169_12283108_27991745,MARSCI-377LA-01,BIODIVERSITY OF MARINE INVERTS.MARSCI-377LA-01.BIOLOGY-377LA-01.ECS-377LA-01.ENVIRON-377LA-01.EOS-377LA-01.,"Osterberg, Joshua",Fall 2023,MSC,"8 of 9  responded (88.89%)



 View Report
                            



 Download PDF",,99014,CtmkEaIRhsSP75R5T115eg%3d%3d,J165Xd51TY%2b9NOsLc0a4qg%3d%3d,SJRozD76QQRV%2bCZDp9qioA%3d%3d,2025-11-24T16:26:59.430324
153858_9169_12283176_28112218,MARSCI-373LA-02,SEN PHYS/BHV MAR ANIMALS.MARSCI-373LA-02.BIOLOGY-373LA-02.ENVIRON-373LA-02.NEUROSCI-381LA-02.,"Rittschof, Daniel",Fall 2023,MSC,"6 of 9  responded (66.67%)



 View Report
                            



 Download PDF",,99014,CtmkEaIRhsSP75R5T115eg%3d%3d,5XfGRN70KTDkwwCxSR4beQ%3d%3d,AzbJmaR4Kg7UGnR2Mh2TSg%3d%3d,2025-11-24T16:26:59.430408
161337_9470_12750378_27675597,MARSCI-375A-1-01,BIOL/CONERV SEA TURTLES.MARSCI-375A-1-01.,"Godfrey, Matthew",Spring 2024,MSC,"7 of 7  responded (100.00%)



 View Report
                            



 Download PDF",MARSCI,99014,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,LYJkKQyIveZALuDUjHId%2fg%3d%3d,8uyrSN4GfpIQWEDBK0UoQg%3d%3d,2025-11-24T16:26:59.430487
161337_9470_12751020_27446015,MARSCI-205-01,MARINE MEGAFAUNA.MARSCI-205-01.BIOLOGY-205-01.ENVIRON-205-01.,"Dunphy-Daly, Meagan",Spring 2024,MSC,"59 of 75  responded (78.67%)



 View Report
                            



 Download PDF","MARSCI, BIOLOGY, ENVIRON",99014,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,gfmsouq3naQG7NJMqgQnSw%3d%3d,%2fcHfh%2bG3frJffP1Rx4W79A%3d%3d,2025-11-24T16:26:59.430567
161337_9470_12751061_27991663,MARSCI-201-01,THE FUTURE OF THE OCEANS.MARSCI-201-01.BIOLOGY-159-01.ECS-205-01.,"Cassar, Nicolas",Spring 2024,MSC,"29 of 50  responded (58.00%)



 View Report
                            



 Download PDF","MARSCI, BIOLOGY, ECS",99014,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,5AvcTjXSIom9zRED0T%2fwfw%3d%3d,6DDy6xJ8HneX0NIJMirMfQ%3d%3d,2025-11-24T16:26:59.430648
161337_9470_12751061_28807824,MARSCI-201-01,THE FUTURE OF THE OCEANS.MARSCI-201-01.BIOLOGY-159-01.ECS-205-01.,"Virdin, John",Spring 2024,MSC,"29 of 50  responded (58.00%)



 View Report
                            



 Download PDF","MARSCI, BIOLOGY, ECS",99014,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,5AvcTjXSIom9zRED0T%2fwfw%3d%3d,X%2fQMeowKADTexBJYmifXlg%3d%3d,2025-11-24T16:26:59.430752
170434_9917_13400607_27675597,MARSCI-375LA-01,BIOL/CONSERV SEA TURTLES.MARSCI-375LA-01.BIOLOGY-375LA-01.ENVIRON-375LA-01.,"Godfrey, Matthew",Summer II 2024,MSC,"7 of 12  responded (58.33%)



 View Report
                            



 Download PDF",,99014,p%2f7%2f%2fKmTgr77QbMscbbBXw%3d%3d,SxVVbASx3wteMyEbxNdt9Q%3d%3d,8uyrSN4GfpIQWEDBK0UoQg%3d%3d,2025-11-24T16:26:59.430838
170434_9917_13400609_27675596,MARSCI-270A-01,CONSERVATION BIOLOGY/POLICY.MARSCI-270A-01.BIOLOGY-270A-01.ENVIRON-270A-01.,"Gittman, Rachel",Summer II 2024,MSC,"6 of 7  responded (85.71%)



 View Report
                            



 Download PDF","MARSCI, BIOLOGY, ENVIRON",99014,p%2f7%2f%2fKmTgr77QbMscbbBXw%3d%3d,ScSkxELht47tbBBRVBtI5Q%3d%3d,t2rPU1%2b76nMY4kMK4Vs0WA%3d%3d,2025-11-24T16:26:59.430917
171550_9973_13685971_28111859,MARSCI-203-01,MARINE SOCIAL SCIENCE.MARSCI-203-01.,"Basurto Guillermo, Xavier",Fall 2024,MSC,"10 of 17  responded (58.82%)



 View Report
                            



 Download PDF",MARSCI,99014,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,77%2fHDpCc7riWLrdn1NEwTQ%3d%3d,yZmIF4V%2fnKfL6BI8lBAW5Q%3d%3d,2025-11-24T16:26:59.431004
171550_9973_13686618_27991508,MARSCI-286A-01,MARINE POLICY ANALYSIS.MARSCI-286A-01.ENVIRON-286A-01.PUBPOL-281A-01.,"Gill, David",Fall 2024,MSC,"8 of 9  responded (88.89%)



 View Report
                            



 Download PDF","MARSCI, ENVIRON, PUBPOL",99014,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,q5tkOgiQd3X46rCWpqzhyA%3d%3d,M0twYhC8c61Rh2SU0bRNgg%3d%3d,2025-11-24T16:26:59.431088
171550_9973_13686732_28112218,MARSCI-373LA-01,SEN PHYS/BHV MAR ANIMALS.MARSCI-373LA-01.BIOLOGY-373LA-01.ENVIRON-373LA-01.NEUROSCI-381LA-01.,"Rittschof, Daniel",Fall 2024,MSC,"6 of 6  responded (100.00%)



 View Report
                            



 Download PDF",,99014,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,IisW0dI%2bwi%2fOudwUi8zGrg%3d%3d,AzbJmaR4Kg7UGnR2Mh2TSg%3d%3d,2025-11-24T16:26:59.431174
171550_9973_13686824_27991451,MARSCI-319A-01,AQUACULTURE.MARSCI-319A-01.ENVIRON-319A-01.,"Johnson, Zackary",Fall 2024,MSC,"8 of 9  responded (88.89%)



 View Report
                            



 Download PDF","MARSCI, ENVIRON",99014,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,%2bR2OR7XakqWMQlpjJ7aSdA%3d%3d,fIP1uyO3LFDoAwkfbYX%2brQ%3d%3d,2025-11-24T16:26:59.431264
171550_9973_13686825_27675598,MARSCI-202-01,MARINE BIOLOGY AND ECOLOGY.MARSCI-202-01.BIOLOGY-271-01.,"Silliman, Brian",Fall 2024,MSC,"100 of 214  responded (46.73%)



 View Report
                            



 Download PDF","MARSCI, BIOLOGY",99014,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,V97iM%2fy%2bM0WWkPRFFwO1UQ%3d%3d,1K5ZkgF4a7ZZhv581NkMbQ%3d%3d,2025-11-24T16:26:59.431343
171550_9973_13686849_27991470,MARSCI-323A-01,OFFSHORE RENEWABLE ENERGY.MARSCI-323A-01.ENVIRON-318A-01.,"Nowacek, Douglas",Fall 2024,MSC,"9 of 9  responded (100.00%)



 View Report
                            



 Download PDF","MARSCI, ENVIRON",99014,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,Qb4Bq78R5hB0wZIDJ3XRqA%3d%3d,KxShZ42rM70F7GPLnAhSxw%3d%3d,2025-11-24T16:26:59.431422
171550_9973_13686864_27445895,MARSCI-376A-01,MARINE MAMMALS.MARSCI-376A-01.BIOLOGY-376A-01.ENVIRON-376A-01.,"Read, Andrew",Fall 2024,MSC,"8 of 8  responded (100.00%)



 View Report
                            



 Download PDF","MARSCI, BIOLOGY, ENVIRON",99014,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,lR8PH01Li59gxagf5PK7BA%3d%3d,3BZPeBanN31amzsON4iLXg%3d%3d,2025-11-24T16:26:59.431498
171550_9973_13686942_27991745,MARSCI-273LA-01,MARINE ECOLOGY.MARSCI-273LA-01.BIOLOGY-273LA-01.ECS-374LA-01.ENVIRON-273LA-01.,"Osterberg, Joshua",Fall 2024,MSC,"7 of 8  responded (87.50%)



 View Report
                            



 Download PDF",,99014,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,1VQfdOmxP0WYhIcm%2bQIuhQ%3d%3d,SJRozD76QQRV%2bCZDp9qioA%3d%3d,2025-11-24T16:26:59.431573
179281_10319_14093696_27991745,MARSCI-278LA-01,COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,"Osterberg, Joshua",Spring 2025,MSC,"7 of 7  responded (100.00%)



 View Report
                            



 Download PDF",,99014,z7Dsht4caaqNbXz0r4KoNA%3d%3d,OVSk0rnIVbjmDmdGhApUzA%3d%3d,SJRozD76QQRV%2bCZDp9qioA%3d%3d,2025-11-24T16:27:00.199824
179255_10319_14225133_27991508,MARSCI-504A-01,MARINE PROTECTED AREAS.MARSCI-504A-01.ENVIRON-504A-01.ETHICS-504A-01.,"Gill, David",Spring 2025,MSC,"5 of 12  responded (41.67%)



 View Report
                            



 Download PDF","MARSCI, ENVIRON, ETHICS",98869,1bIssf4suJZu%2bqhY%2bpldxA%3d%3d,jGSaftDRkAt6fiFUj9Luew%3d%3d,M0twYhC8c61Rh2SU0bRNgg%3d%3d,2025-11-24T16:27:00.199918
179255_10319_14225219_30926256,MARSCI-533A-01,MARINE FISHERIES POLICY.MARSCI-533A-01.ENVIRON-533A-01.,"Garrity-Blake, Barbara",Spring 2025,MSC,"5 of 6  responded (83.33%)



 View Report
                            



 Download PDF","MARSCI, ENVIRON",98869,1bIssf4suJZu%2bqhY%2bpldxA%3d%3d,makmBMfqjO9nhED9H%2bNqbA%3d%3d,Iwqx0ugFvAx4Jj%2fyMsEEhg%3d%3d,2025-11-24T16:27:00.200030
179281_10319_14261914_27991745,MARSCI-337A-01,EXTREME MARINE ECOSYSTEMS.MARSCI-337A-01.ENVIRON-337A-01.,"Osterberg, Joshua",Spring 2025,MSC,"5 of 5  responded (100.00%)



 View Report
                            



 Download PDF","MARSCI, ENVIRON",99014,z7Dsht4caaqNbXz0r4KoNA%3d%3d,djxNIkVrJoTwCKnsuczMyA%3d%3d,SJRozD76QQRV%2bCZDp9qioA%3d%3d,2025-11-24T16:27:00.200120
179281_10319_14262121_27991663,MARSCI-201-01,THE FUTURE OF THE OCEANS.MARSCI-201-01.BIOLOGY-159-01.ECS-205-01.,"Cassar, Nicolas",Spring 2025,MSC,"29 of 45  responded (64.44%)



 View Report
                            



 Download PDF","MARSCI, BIOLOGY, ECS",99014,z7Dsht4caaqNbXz0r4KoNA%3d%3d,CfNLdYBs59shAxCcnFzCLg%3d%3d,6DDy6xJ8HneX0NIJMirMfQ%3d%3d,2025-11-24T16:27:00.200203
179281_10319_14262121_28807824,MARSCI-201-01,THE FUTURE OF THE OCEANS.MARSCI-201-01.BIOLOGY-159-01.ECS-205-01.,"Virdin, John",Spring 2025,MSC,"29 of 45  responded (64.44%)



 View Report
                            



 Download PDF","MARSCI, BIOLOGY, ECS",99014,z7Dsht4caaqNbXz0r4KoNA%3d%3d,CfNLdYBs59shAxCcnFzCLg%3d%3d,X%2fQMeowKADTexBJYmifXlg%3d%3d,2025-11-24T16:27:00.200285
179281_10319_14262164_27446015,MARSCI-205-01,MARINE MEGAFAUNA.MARSCI-205-01.BIOLOGY-205-01.ENVIRON-205-01.,"Dunphy-Daly, Meagan",Spring 2025,MSC,"60 of 87  responded (68.97%)



 View Report
                            



 Download PDF","MARSCI, BIOLOGY, ENVIRON",99014,z7Dsht4caaqNbXz0r4KoNA%3d%3d,ZEXBR9szAG%2bKbmcdVsxs1g%3d%3d,%2fcHfh%2bG3frJffP1Rx4W79A%3d%3d,2025-11-24T16:27:00.200363
