uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
149911_8928_11987177_27466672,MATH-218D-2-001,MATRICES AND VECTORS.MATH-218D-2-001.,"Fitzpatrick, Brian",Summer I 2023,MATH,"5 of 16  responded (31.25%)



 View Report
                            



 Download PDF",MATH,99010,R3taZNKnw14IRH7UBESaUg%3d%3d,2d3LbRgB8g0%2b6cZFSZlZPQ%3d%3d,cRBWfqtBR8wDQ245A7uk6Q%3d%3d,2025-11-24T16:27:08.797589
149911_8928_11987193_27446059,MATH-112L-001,LABORATORY CALCULUS II.MATH-112L-001.,"Schott, Sarah",Summer I 2023,MATH,"16 of 18  responded (88.89%)



 View Report
                            



 Download PDF",MATH,99010,R3taZNKnw14IRH7UBESaUg%3d%3d,C4BRDpM2VgJMAEguTCJXFw%3d%3d,Nf1%2bBSVyOK2IBXvtNGx%2fQw%3d%3d,2025-11-24T16:27:08.797692
149911_8928_11987194_27445816,MATH-353-01,ORD AND PRTL DIFF EQUATIONS.MATH-353-01.,"Bray, Hubert",Summer I 2023,MATH,"19 of 28  responded (67.86%)



 View Report
                            



 Download PDF",MATH,99010,R3taZNKnw14IRH7UBESaUg%3d%3d,MTsz9lRNnyxJdXS6duNh%2fw%3d%3d,hNVLutl1hO83bm14uFmBzQ%3d%3d,2025-11-24T16:27:08.797822
152527_9107_12076185_27675591,MATH-112L-001,LABORATORY CALCULUS II.MATH-112L-001.,"Ghanbari, Maryam",Summer II 2023,MATH,"10 of 13  responded (76.92%)



 View Report
                            



 Download PDF",MATH,99010,4TxgzUHg4Suz2MS8X7frbw%3d%3d,M0y2Tev460p4NayNrRi31A%3d%3d,vNX48dyO49URA5KfGGBznQ%3d%3d,2025-11-24T16:27:08.797931
152527_9107_12076186_27675591,MATH-230-01,PROBABILITY.MATH-230-01.STA-230-01.,"Ghanbari, Maryam",Summer II 2023,MATH,"9 of 11  responded (81.82%)



 View Report
                            



 Download PDF","MATH, STA",99010,4TxgzUHg4Suz2MS8X7frbw%3d%3d,BDhxJtrSAZeutnk3SPW07A%3d%3d,vNX48dyO49URA5KfGGBznQ%3d%3d,2025-11-24T16:27:08.798017
152527_9107_12076187_27675594,MATH-353A-01,ORD AND PRTL DIFF EQUATIONS.MATH-353A-01.,"Cooke, Ben",Summer II 2023,MATH,"11 of 15  responded (73.33%)



 View Report
                            



 Download PDF",MATH,99010,4TxgzUHg4Suz2MS8X7frbw%3d%3d,woKVOfR3jpnNbyNe0vvHMw%3d%3d,03U4l5jA%2bOWOQQ%2bklD3J3g%3d%3d,2025-11-24T16:27:08.798100
152527_9107_12076188_27445816,MATH-353-01,ORD AND PRTL DIFF EQUATIONS.MATH-353-01.,"Bray, Hubert",Summer II 2023,MATH,"11 of 17  responded (64.71%)



 View Report
                            



 Download PDF",MATH,99010,4TxgzUHg4Suz2MS8X7frbw%3d%3d,3uGzNZUZY%2by%2bneENv3hUBg%3d%3d,hNVLutl1hO83bm14uFmBzQ%3d%3d,2025-11-24T16:27:08.798180
154503_9169_12241247_27991513,MATH-585-01,INTRO TO ALGORITHMIC TRADING.MATH-585-01.,"Ye, David",Fall 2023,MATH,"27 of 30  responded (90.00%)



 View Report
                            



 Download PDF",MATH,98862,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,NPyR%2fKMqX4w94YsrR%2f37Ww%3d%3d,yEnXwuxtnbxN%2bqI8jhUQ5g%3d%3d,2025-11-24T16:27:08.798258
154503_9169_12241283_27991548,MATH-611-01,ALGEBRAIC TOPOLOGY I.MATH-611-01.,"Arcila-maya, Niny",Fall 2023,MATH,"9 of 13  responded (69.23%)



 View Report
                            



 Download PDF",MATH,98862,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,h75JP1NWwZyV6Fct69VbsA%3d%3d,o%2fGmxaJTgrvI6%2bIjuT8nQw%3d%3d,2025-11-24T16:27:08.798335
154503_9169_12241285_27991542,MATH-551-01,APP PART DIFF EQU & COMPX VAR.MATH-551-01.,"Witelski, Thomas",Fall 2023,MATH,"9 of 14  responded (64.29%)



 View Report
                            



 Download PDF",MATH,98862,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,S1gCwuOv7UUiuJ3BluHXCg%3d%3d,Jk%2bI1Xos%2bi7OnKK%2fOQxQkA%3d%3d,2025-11-24T16:27:08.798413
