filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
BA-915-01_Arlotto__Alessandro_Fall_2024.html,Fall 2024,BA-915-01 : STOCHASTIC MODELS.BA-915-01.MATH-742-01.STA-715-01.,Alessandro Arlotto,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
BA-915-01_Arlotto__Alessandro_Fall_2024.html,Fall 2024,BA-915-01 : STOCHASTIC MODELS.BA-915-01.MATH-742-01.STA-715-01.,Alessandro Arlotto,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
BA-915-01_Arlotto__Alessandro_Fall_2024.html,Fall 2024,BA-915-01 : STOCHASTIC MODELS.BA-915-01.MATH-742-01.STA-715-01.,Alessandro Arlotto,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,8/14 (57.14%),4.38,0.74,4.50
BA-915-01_Arlotto__Alessandro_Fall_2024.html,Fall 2024,BA-915-01 : STOCHASTIC MODELS.BA-915-01.MATH-742-01.STA-715-01.,Alessandro Arlotto,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,8/14 (57.14%),4.38,0.74,4.50
BA-915-01_Arlotto__Alessandro_Fall_2024.html,Fall 2024,BA-915-01 : STOCHASTIC MODELS.BA-915-01.MATH-742-01.STA-715-01.,Alessandro Arlotto,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),1,12.50%,8/14 (57.14%),4.38,0.74,4.50
BA-915-01_Arlotto__Alessandro_Fall_2024.html,Fall 2024,BA-915-01 : STOCHASTIC MODELS.BA-915-01.MATH-742-01.STA-715-01.,Alessandro Arlotto,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),3,37.50%,8/14 (57.14%),4.38,0.74,4.50
BA-915-01_Arlotto__Alessandro_Fall_2024.html,Fall 2024,BA-915-01 : STOCHASTIC MODELS.BA-915-01.MATH-742-01.STA-715-01.,Alessandro Arlotto,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),4,50.00%,8/14 (57.14%),4.38,0.74,4.50
BA-915-01_Arlotto__Alessandro_Fall_2024.html,Fall 2024,BA-915-01 : STOCHASTIC MODELS.BA-915-01.MATH-742-01.STA-715-01.,Alessandro Arlotto,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
BA-915-01_Arlotto__Alessandro_Fall_2024.html,Fall 2024,BA-915-01 : STOCHASTIC MODELS.BA-915-01.MATH-742-01.STA-715-01.,Alessandro Arlotto,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,8/14 (57.14%),4.50,0.53,4.50
BA-915-01_Arlotto__Alessandro_Fall_2024.html,Fall 2024,BA-915-01 : STOCHASTIC MODELS.BA-915-01.MATH-742-01.STA-715-01.,Alessandro Arlotto,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,8/14 (57.14%),4.50,0.53,4.50
BA-915-01_Arlotto__Alessandro_Fall_2024.html,Fall 2024,BA-915-01 : STOCHASTIC MODELS.BA-915-01.MATH-742-01.STA-715-01.,Alessandro Arlotto,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),0,0.00%,8/14 (57.14%),4.50,0.53,4.50
BA-915-01_Arlotto__Alessandro_Fall_2024.html,Fall 2024,BA-915-01 : STOCHASTIC MODELS.BA-915-01.MATH-742-01.STA-715-01.,Alessandro Arlotto,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),4,50.00%,8/14 (57.14%),4.50,0.53,4.50
