filename,semester,course,instructor,question_number,question_text,response_text
BME-711S-01_Musah__Samira_Fall_2023.html,Fall 2023,BME-711S-01 : BIOLOGICAL ENGINEERING SEM.BME-711S-01.ME-717S-01.,Samira Musah,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Practiced presenting my research and got to network with established professionals in my field.
BME-711S-01_Musah__Samira_Fall_2023.html,Fall 2023,BME-711S-01 : BIOLOGICAL ENGINEERING SEM.BME-711S-01.ME-717S-01.,Samira Musah,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned about engineering technology that I would not have encountered elsewhere. I also learned about how nonlinear career paths can be when we had the small sessions with invited speakers. I was able to gain insight into the industry career path as well.
BME-711S-01_Musah__Samira_Fall_2023.html,Fall 2023,BME-711S-01 : BIOLOGICAL ENGINEERING SEM.BME-711S-01.ME-717S-01.,Samira Musah,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I like the new structure of the class, where junior fellows presented the speaker's paper and the seniors did their research projects."
BME-711S-01_Musah__Samira_Fall_2023.html,Fall 2023,BME-711S-01 : BIOLOGICAL ENGINEERING SEM.BME-711S-01.ME-717S-01.,Samira Musah,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I liked how seminar days were broken up into 2 sections (speaker info and student research). For the days speakers presented, I wish we would of known before the semester that the coffee talks would go till 2, because I had to change around my schedule."
BME-711S-01_Musah__Samira_Fall_2023.html,Fall 2023,BME-711S-01 : BIOLOGICAL ENGINEERING SEM.BME-711S-01.ME-717S-01.,Samira Musah,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I think that the design of the course is ideal and gives students the chance to ask questions to visiting speakers, which allows for more in depth insights into their research. I think the course arrangement works overall."
BME-711S-01_Musah__Samira_Fall_2023.html,Fall 2023,BME-711S-01 : BIOLOGICAL ENGINEERING SEM.BME-711S-01.ME-717S-01.,Samira Musah,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,How engaging it is
BME-711S-01_Musah__Samira_Fall_2023.html,Fall 2023,BME-711S-01 : BIOLOGICAL ENGINEERING SEM.BME-711S-01.ME-717S-01.,Samira Musah,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"Each seminar was very engaging and open to discussion, especially if someone is trying to full grasp the concepts discussed."
BME-711S-01_Musah__Samira_Fall_2023.html,Fall 2023,BME-711S-01 : BIOLOGICAL ENGINEERING SEM.BME-711S-01.ME-717S-01.,Samira Musah,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,This class was stimulating for me because it exposed me to a variety of methods and technology that I had never heard of before.
BME-711S-01_Musah__Samira_Fall_2023.html,Fall 2023,BME-711S-01 : BIOLOGICAL ENGINEERING SEM.BME-711S-01.ME-717S-01.,Samira Musah,7,What would you like to say about this course to a student who is considering taking it in the future?,This course is more focused on our development as graduate students opposed to giving us busy work
BME-711S-01_Musah__Samira_Fall_2023.html,Fall 2023,BME-711S-01 : BIOLOGICAL ENGINEERING SEM.BME-711S-01.ME-717S-01.,Samira Musah,7,What would you like to say about this course to a student who is considering taking it in the future?,Don't be afraid to ask questions.
BME-711S-01_Musah__Samira_Fall_2024.html,Fall 2024,BME-711S-01 : BIOLOGICAL ENGINEERING SEM.BME-711S-01.ME-717S-01.,Samira Musah,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to effectively give a chalk talk, how to give a presentation of a visiting speaker, and concepts related to computational protein binding from a visiting speaker."
BME-711S-01_Musah__Samira_Fall_2024.html,Fall 2024,BME-711S-01 : BIOLOGICAL ENGINEERING SEM.BME-711S-01.ME-717S-01.,Samira Musah,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned about a diversity of science.
BME-711S-01_Musah__Samira_Fall_2024.html,Fall 2024,BME-711S-01 : BIOLOGICAL ENGINEERING SEM.BME-711S-01.ME-717S-01.,Samira Musah,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",This class had a fantastic learning environment! Keep the food and post seminar meetings!
BME-711S-01_Musah__Samira_Fall_2024.html,Fall 2024,BME-711S-01 : BIOLOGICAL ENGINEERING SEM.BME-711S-01.ME-717S-01.,Samira Musah,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I think the chalk talks were an interesting addition.
BME-711S-01_Musah__Samira_Fall_2024.html,Fall 2024,BME-711S-01 : BIOLOGICAL ENGINEERING SEM.BME-711S-01.ME-717S-01.,Samira Musah,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,This class could be improved by having guest speakers from a broader variety of disciplines.
BME-712S-01_Musah__Samira_Spring_2025.html,Spring 2025,BME-712S-01 : BIOLOGICAL ENGINEERING SEM.BME-712S-01.ME-718S-01.,Samira Musah,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Learned presentation skills (chalk talks as a new communication format), got good experience networking and talking to visiting faculty members. Critically evaluating research papers."
BME-712S-01_Musah__Samira_Spring_2025.html,Spring 2025,BME-712S-01 : BIOLOGICAL ENGINEERING SEM.BME-712S-01.ME-718S-01.,Samira Musah,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","chalk talk, career path"
BME-712S-01_Musah__Samira_Spring_2025.html,Spring 2025,BME-712S-01 : BIOLOGICAL ENGINEERING SEM.BME-712S-01.ME-718S-01.,Samira Musah,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","Asked insightful questions during talks to encourage us to do the same, helped with coordinating visiting faculty."
BME-712S-01_Musah__Samira_Spring_2025.html,Spring 2025,BME-712S-01 : BIOLOGICAL ENGINEERING SEM.BME-712S-01.ME-718S-01.,Samira Musah,7,What would you like to say about this course to a student who is considering taking it in the future?,Great opportunity to meet with professors and learn about their research. Beware of the rude instructor.
CEE-521-01_Brinson__Lynda_Catherine_Fall_2023.html,Fall 2023,CEE-521-01 : ELASTICITY.CEE-521-01.BME-526-01.ME-555-01.,Lynda Catherine Brinson,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Knowledge about modern elasticity
Practical problem solving related to materials mechanics
Peer support with other students"
