filename,semester,course,instructor,question_number,question_text,response_text
BIOLOGY-325-01_Haga__Susanne_Fall_2023.html,Fall 2023,BIOLOGY-325-01 : GENOME TECHNOLOGIES.BIOLOGY-325-01.MGM-325-01.,Susanne Haga,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about wet lab assays, I learned about different genome databases, and I learned about applying genome technologies to medical specialties."
BIOLOGY-325-01_Haga__Susanne_Fall_2023.html,Fall 2023,BIOLOGY-325-01 : GENOME TECHNOLOGIES.BIOLOGY-325-01.MGM-325-01.,Susanne Haga,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to use some of the most popular gene databases regarding genes, protein, SNPs, etc. I also learned a lot about sequencing techniques and how they are practically applied in a research and clinical setting."
BIOLOGY-325-01_Haga__Susanne_Fall_2023.html,Fall 2023,BIOLOGY-325-01 : GENOME TECHNOLOGIES.BIOLOGY-325-01.MGM-325-01.,Susanne Haga,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Skills of doing bioinformatics without coding, presenting a paper. Understanding modern technologies."
BIOLOGY-325-01_Haga__Susanne_Fall_2023.html,Fall 2023,BIOLOGY-325-01 : GENOME TECHNOLOGIES.BIOLOGY-325-01.MGM-325-01.,Susanne Haga,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Recent evolutionary sequencing techniques, basic bioinformatics searching skills, and widely-used database."
BIOLOGY-325-01_Haga__Susanne_Fall_2023.html,Fall 2023,BIOLOGY-325-01 : GENOME TECHNOLOGIES.BIOLOGY-325-01.MGM-325-01.,Susanne Haga,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1) Using gene databases
2) Details of human genetic expression
3) Genetic diseases"
BIOLOGY-325-01_Haga__Susanne_Fall_2023.html,Fall 2023,BIOLOGY-325-01 : GENOME TECHNOLOGIES.BIOLOGY-325-01.MGM-325-01.,Susanne Haga,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I thought that the class was interesting. Sometimes, 75 minute lectures can get mundane, but the content was interesting."
BIOLOGY-325-01_Haga__Susanne_Fall_2023.html,Fall 2023,BIOLOGY-325-01 : GENOME TECHNOLOGIES.BIOLOGY-325-01.MGM-325-01.,Susanne Haga,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","The content was just great, and instead of just focusing on theory, it was very practical, which made the course feel more significant."
BIOLOGY-325-01_Haga__Susanne_Fall_2023.html,Fall 2023,BIOLOGY-325-01 : GENOME TECHNOLOGIES.BIOLOGY-325-01.MGM-325-01.,Susanne Haga,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",The assignments combining with teaching deepens students' understanding.
BIOLOGY-325-01_Haga__Susanne_Fall_2023.html,Fall 2023,BIOLOGY-325-01 : GENOME TECHNOLOGIES.BIOLOGY-325-01.MGM-325-01.,Susanne Haga,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",The analysis assignment is useful and interesting. It really helps us understand some practical methods of genetic analysis.
BIOLOGY-325-01_Haga__Susanne_Fall_2023.html,Fall 2023,BIOLOGY-325-01 : GENOME TECHNOLOGIES.BIOLOGY-325-01.MGM-325-01.,Susanne Haga,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",1) Gene database assignments
