uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
152527_9107_12076189_27675595,MMS-197-01,ORG LEADERSHIP & MANAGEMENT.MMS-197-01.,"Grody, George",Summer II 2023,MMS,"19 of 20  responded (95.00%)



 View Report
                            



 Download PDF",MMS,99013,4TxgzUHg4Suz2MS8X7frbw%3d%3d,wa%2b0pTSoVYdGpnuNcv2PVQ%3d%3d,aRrucFWK63JfxAQLen0yrA%3d%3d,2025-11-24T16:32:29.029337
152527_9107_12076190_27446025,MMS-325A-01,INTERNATIONAL BUSINESS.MMS-325A-01.SOCIOL-325A-01.,"Reeves, Martha",Summer II 2023,MMS,"10 of 23  responded (43.48%)



 View Report
                            



 Download PDF","MMS, SOCIOL",99013,4TxgzUHg4Suz2MS8X7frbw%3d%3d,G9EC3es0E4yTqLkX8pjwBQ%3d%3d,9JRNBH6WvmG6AWUS%2f9kFVA%3d%3d,2025-11-24T16:32:29.029472
153858_9169_12282220_28111872,MMS-197-02,ORG LEADERSHIP & MANAGEMENT.MMS-197-02.,"Singer, Richard",Fall 2023,MMS,"30 of 40  responded (75.00%)



 View Report
                            



 Download PDF",MMS,99013,CtmkEaIRhsSP75R5T115eg%3d%3d,yytkIDs%2bC5zyrrYrecvYyQ%3d%3d,7N1BQP41%2bwhmMCKltw6HFw%3d%3d,2025-11-24T16:32:29.029555
153858_9169_12282223_28111880,MMS-370-01,MANAGERIAL FINANCE.MMS-370-01.,"Tiryakian, Ed",Fall 2023,MMS,"39 of 62  responded (62.90%)



 View Report
                            



 Download PDF",MMS,99013,CtmkEaIRhsSP75R5T115eg%3d%3d,IeekRIv%2b93W7NgtemRh42A%3d%3d,PbIdbcRpSie7cZsTkjK6ew%3d%3d,2025-11-24T16:32:29.029707
153858_9169_12282263_27675595,MMS-197-01,ORG LEADERSHIP & MANAGEMENT.MMS-197-01.,"Grody, George",Fall 2023,MMS,"34 of 37  responded (91.89%)



 View Report
                            



 Download PDF",MMS,99013,CtmkEaIRhsSP75R5T115eg%3d%3d,p6%2bLrW6BqjvralDqoLsM4w%3d%3d,aRrucFWK63JfxAQLen0yrA%3d%3d,2025-11-24T16:32:29.029789
153858_9169_12282305_28111875,MMS-380-01,ENTREPRENEURIAL MARKETING.MMS-380-01.,"Green, Douglas",Fall 2023,MMS,"7 of 22  responded (31.82%)



 View Report
                            



 Download PDF",MMS,99013,CtmkEaIRhsSP75R5T115eg%3d%3d,9BWkbvp541FQ60689p%2bTpA%3d%3d,XCo2jYZPfEttMsvPo49rmw%3d%3d,2025-11-24T16:32:29.029868
153858_9169_12282331_28111875,MMS-450-02,MARKETS/MGMNT CAPSTONE.MMS-450-02.,"Green, Douglas",Fall 2023,MMS,"5 of 22  responded (22.73%)



 View Report
                            



 Download PDF",MMS,99013,CtmkEaIRhsSP75R5T115eg%3d%3d,RcNS7sNfjuhPO161Ibuemg%3d%3d,XCo2jYZPfEttMsvPo49rmw%3d%3d,2025-11-24T16:32:29.029961
153858_9169_12282339_27675595,MMS-272-01,MKTG - BORDERS/CULTURES/DEMO.MMS-272-01.,"Grody, George",Fall 2023,MMS,"28 of 37  responded (75.68%)



 View Report
                            



 Download PDF",MMS,99013,CtmkEaIRhsSP75R5T115eg%3d%3d,LAr9UnTBzvAcwBXM7CNtlQ%3d%3d,aRrucFWK63JfxAQLen0yrA%3d%3d,2025-11-24T16:32:29.030051
153858_9169_12282383_27675595,MMS-450-01,MARKETS/MGMNT CAPSTONE.MMS-450-01.,"Grody, George",Fall 2023,MMS,"23 of 23  responded (100.00%)



 View Report
                            



 Download PDF",MMS,99013,CtmkEaIRhsSP75R5T115eg%3d%3d,X6%2bi6phTPPLIjd57Chs4FQ%3d%3d,aRrucFWK63JfxAQLen0yrA%3d%3d,2025-11-24T16:32:29.030129
161337_9470_12750380_28111880,MMS-275-01,BUSINESS OF SPORT.MMS-275-01.,"Tiryakian, Ed",Spring 2024,MMS,"49 of 90  responded (54.44%)



 View Report
                            



 Download PDF",MMS,99013,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,4X2RdkM9s93d602miLXZyg%3d%3d,PbIdbcRpSie7cZsTkjK6ew%3d%3d,2025-11-24T16:32:29.030206
161337_9470_12750435_28807740,MMS-197-02,ORG LEADERSHIP & MANAGEMENT.MMS-197-02.,"Hicks, Steven",Spring 2024,MMS,"9 of 33  responded (27.27%)



 View Report
                            



 Download PDF",MMS,99013,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,esi6MDIhov4vt8cjfg15lw%3d%3d,LMnPkwK4BkCLtkmZCIYd2Q%3d%3d,2025-11-24T16:32:29.030284
161337_9470_12750489_27675595,MMS-450-01,MARKETS/MGMNT CAPSTONE.MMS-450-01.,"Grody, George",Spring 2024,MMS,"11 of 24  responded (45.83%)



 View Report
                            



 Download PDF",MMS,99013,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,CDwLuc8sNfXi9%2bzzRpWEUA%3d%3d,aRrucFWK63JfxAQLen0yrA%3d%3d,2025-11-24T16:32:29.030360
161337_9470_12750491_27675595,MMS-197-01,ORG LEADERSHIP & MANAGEMENT.MMS-197-01.,"Grody, George",Spring 2024,MMS,"35 of 40  responded (87.50%)



 View Report
                            



 Download PDF",MMS,99013,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,AjTue5OJGs9ikitXjYL%2b9w%3d%3d,aRrucFWK63JfxAQLen0yrA%3d%3d,2025-11-24T16:32:29.030437
170434_9917_13400582_28807740,MMS-197-01,ORG LEADERSHIP & MANAGEMENT.MMS-197-01.,"Hicks, Steven",Summer II 2024,MMS,"5 of 14  responded (35.71%)



 View Report
                            



 Download PDF",MMS,99013,p%2f7%2f%2fKmTgr77QbMscbbBXw%3d%3d,F%2bbKcKhGMJtQgXU76oAFag%3d%3d,LMnPkwK4BkCLtkmZCIYd2Q%3d%3d,2025-11-24T16:32:29.030511
170434_9917_13400600_27446025,MMS-325A-01,INTERNATIONAL BUSINESS.MMS-325A-01.SOCIOL-325A-01.,"Reeves, Martha",Summer II 2024,MMS,"16 of 23  responded (69.57%)



 View Report
                            



 Download PDF","MMS, SOCIOL",99013,p%2f7%2f%2fKmTgr77QbMscbbBXw%3d%3d,kTX0Xd37p%2bBe0x5aIdokBg%3d%3d,9JRNBH6WvmG6AWUS%2f9kFVA%3d%3d,2025-11-24T16:32:29.030585
171550_9973_13685939_28111880,MMS-370-01,MANAGERIAL FINANCE.MMS-370-01.,"Tiryakian, Ed",Fall 2024,MMS,"59 of 68  responded (86.76%)



 View Report
                            



 Download PDF",MMS,99013,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,I7rzMC0zARq6p%2bxAW%2blllQ%3d%3d,PbIdbcRpSie7cZsTkjK6ew%3d%3d,2025-11-24T16:32:29.030659
171550_9973_13685940_28807702,MMS-450-02,MARKETS/MGMNT CAPSTONE.MMS-450-02.,"Shamblin, Leigh",Fall 2024,MMS,"10 of 24  responded (41.67%)



 View Report
                            



 Download PDF",MMS,99013,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,7XQeBoBpEeP%2bxxVzciGn%2bA%3d%3d,VrQm2HO1dEfYqmj0VeiILg%3d%3d,2025-11-24T16:32:29.030733
171550_9973_13685979_28111881,MMS-450-01,MARKETS/MGMNT CAPSTONE.MMS-450-01.,"Veraldi, Samuel",Fall 2024,MMS,"14 of 22  responded (63.64%)



 View Report
                            



 Download PDF",MMS,99013,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,5nMEicBIJWbJPNgeQop1mw%3d%3d,QRtAW6OXgxlhY1w3DkdjJQ%3d%3d,2025-11-24T16:32:29.030807
