filename,semester,course,instructor,question_number,question_text,response_text
MMS-197-01_Bonaparte__Yvette_Spring_2025.html,Spring 2025,MMS-197-01 : ORG LEADERSHIP & MANAGEMENT.MMS-197-01.,Yvette Bonaparte,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Leadership 
Organizational structure 
Company values"
MMS-197-01_Bonaparte__Yvette_Spring_2025.html,Spring 2025,MMS-197-01 : ORG LEADERSHIP & MANAGEMENT.MMS-197-01.,Yvette Bonaparte,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned how to collaborate with group members
MMS-197-01_Bonaparte__Yvette_Spring_2025.html,Spring 2025,MMS-197-01 : ORG LEADERSHIP & MANAGEMENT.MMS-197-01.,Yvette Bonaparte,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Great problem solving skills and how to address problems in the workplace and ways to lead the best
MMS-197-01_Bonaparte__Yvette_Spring_2025.html,Spring 2025,MMS-197-01 : ORG LEADERSHIP & MANAGEMENT.MMS-197-01.,Yvette Bonaparte,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how some companies have faced severe personnel challenges, and that it is a normal issue that needs to be addressed either from within the company or by bringing in outside help.
I learned how there will always be different leaders, and that each style has its own path to success.
I learned the importance of communication and transparency in business and management."
MMS-197-01_Bonaparte__Yvette_Spring_2025.html,Spring 2025,MMS-197-01 : ORG LEADERSHIP & MANAGEMENT.MMS-197-01.,Yvette Bonaparte,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned how important leadership is within a company. I also learned the importance of communication and delivering presentations.
MMS-197-01_Bonaparte__Yvette_Spring_2025.html,Spring 2025,MMS-197-01 : ORG LEADERSHIP & MANAGEMENT.MMS-197-01.,Yvette Bonaparte,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned how to improve issues within organizations. I developed skills to work with others. I have insight into how to be a good leader.
MMS-197-01_Bonaparte__Yvette_Spring_2025.html,Spring 2025,MMS-197-01 : ORG LEADERSHIP & MANAGEMENT.MMS-197-01.,Yvette Bonaparte,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to analyze case studies, team management skills, and how to be a better leader."
MMS-197-01_Bonaparte__Yvette_Spring_2025.html,Spring 2025,MMS-197-01 : ORG LEADERSHIP & MANAGEMENT.MMS-197-01.,Yvette Bonaparte,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned to think like a consultant and create action plans for case studies. I also learned to apply theories when developing recommendations. I learned about organizational structure, motivation, and leadership."
MMS-197-01_Bonaparte__Yvette_Spring_2025.html,Spring 2025,MMS-197-01 : ORG LEADERSHIP & MANAGEMENT.MMS-197-01.,Yvette Bonaparte,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Great discussion and lectures
MMS-197-01_Bonaparte__Yvette_Spring_2025.html,Spring 2025,MMS-197-01 : ORG LEADERSHIP & MANAGEMENT.MMS-197-01.,Yvette Bonaparte,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",The group projects and the collaboration.
MMS-197-01_Bonaparte__Yvette_Spring_2025.html,Spring 2025,MMS-197-01 : ORG LEADERSHIP & MANAGEMENT.MMS-197-01.,Yvette Bonaparte,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Great powerpoints
MMS-197-01_Bonaparte__Yvette_Spring_2025.html,Spring 2025,MMS-197-01 : ORG LEADERSHIP & MANAGEMENT.MMS-197-01.,Yvette Bonaparte,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","The course included several different assignments that made it more interactive. When the guest speaker came, it was a very informative class, and it would be a good idea to have more sessions like that. Additionally, adding some simulations to the course could help students tackle modern-day problems."
MMS-197-01_Bonaparte__Yvette_Spring_2025.html,Spring 2025,MMS-197-01 : ORG LEADERSHIP & MANAGEMENT.MMS-197-01.,Yvette Bonaparte,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I liked the in class presentations. I also liked how Professor Bonaparte was very interested in hearing students' thoughts, opinions and experiences."
MMS-197-01_Bonaparte__Yvette_Spring_2025.html,Spring 2025,MMS-197-01 : ORG LEADERSHIP & MANAGEMENT.MMS-197-01.,Yvette Bonaparte,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Dr. Bonaparte is extremely passionate about the course. The group work was very engaging and interactive. Assignments were useful.
MMS-197-01_Bonaparte__Yvette_Spring_2025.html,Spring 2025,MMS-197-01 : ORG LEADERSHIP & MANAGEMENT.MMS-197-01.,Yvette Bonaparte,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","Professor Bonaparte did a good job of facilitating learning through guest speakers, videos, and in-class work. I would keep the interview a leader assignment."
MMS-197-01_Bonaparte__Yvette_Spring_2025.html,Spring 2025,MMS-197-01 : ORG LEADERSHIP & MANAGEMENT.MMS-197-01.,Yvette Bonaparte,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I enjoyed reading and analyzing the case studies and recommend keeping them for future years.
MMS-197-01_Bonaparte__Yvette_Spring_2025.html,Spring 2025,MMS-197-01 : ORG LEADERSHIP & MANAGEMENT.MMS-197-01.,Yvette Bonaparte,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,Required participation
MMS-197-01_Bonaparte__Yvette_Spring_2025.html,Spring 2025,MMS-197-01 : ORG LEADERSHIP & MANAGEMENT.MMS-197-01.,Yvette Bonaparte,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,The videos and in class discussions.
MMS-197-01_Bonaparte__Yvette_Spring_2025.html,Spring 2025,MMS-197-01 : ORG LEADERSHIP & MANAGEMENT.MMS-197-01.,Yvette Bonaparte,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,Not make it so late on a Monday night
MMS-197-01_Bonaparte__Yvette_Spring_2025.html,Spring 2025,MMS-197-01 : ORG LEADERSHIP & MANAGEMENT.MMS-197-01.,Yvette Bonaparte,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,The class was stimulating but could be more with more in class activity.
