filename,semester,course,instructor,question_number,question_text,response_text
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","This class really showed me how life on land and in water is so interconnected and how many physiological characteristics came to be as an evolutionary response. I also learned how to better read scientific papers and understand them. Further, I learned how many ways to apply problem solving in real world applications."
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","How to write a lab report, take good notes, read academic journals."
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned various aspects of animal physiology, focusing on marine animals as well as humans. Examples of these subjects are animal metabolism, the nervous system, and diving physiology (among others). We also worked on a lab experiment and report, so we also worked on lab and writing skills."
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","In this course I developed my note-taking skills, strengthened my critical thinking skills, writing skills, and gained hands-on learning in the lab. Through various writing exercises including three abstracts and a lab report, I gained valuable feedback to better my ability to write scientifically. In the lab, I got a refresher on how to pipette, vortex, and centrifuge samples."
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about the similarities and differences between human physiology and marine animal physiology, as well as how to write a scientific lab report"
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about the importance of countercurrent exchange in blood vessels, specifically that having blood flow in the opposite direction as water will help conserve heat in the body. This adaptation is present across many marine organisms as well as all endotherms. I also learned about how different systems in the body such as the nervous and endocrine systems interact in order to send and receive signals and have sensory capabilities. In addition, I learned a lot about scientific writing, specifically how to write the abstract section of a lab report, and I got practice with writing the rest of a lab report."
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to properly write a lab report, especially how an abstract should be structured. I learned of the proper procedures in a lab environment and what is expected of me as a member of a lab group. I also enjoyed learning how the bodies of several animals function and where it evolved from, which is what was taught during the lecture."
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I liked the abstract paper assignments. They were very helpful and helped me learn how to read and dissect scientific papers. The draft deadline was also good to make sure I did not leave writing the whole lab report to the last minute.
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I think the abstract and student presentation assignments were very helpful.
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","The professor was very easy to talk to and in addition to teaching us complicated material, would joke around with us to make it a fun and relaxed learning environment. The professor also sent out review guides before each test, which were helpful to remind us exactly what topics we had studied."
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I liked the structure of this course. The atmosphere was very inviting and open to questions and comments. Josh kept the atmosphere light and engaging. I do feel, however, that the course was extremely fast paced. It was difficult to fully understand concepts enough to answer questions on the exam and get full credit."
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","the classes were engaging, and I enjoyed the balance between lectures and more hands on activities such as lab and dissections"
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","Having some of our afternoons free was very helpful for me; after being in lecture for 2 1/2 hours it is nice to have the afternoon to work on lab or class-related material. Also, at the beginning it was helpful to split the day into classes in the morning and lab in the afternoon; that gave us some more freedom in our schedule. In addition, the professor put a lot of helpful resources in Canvas such as scientific writing resources and all of the lecture slides in Canvas so that we could access them easily."
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","Josh facilitated my learning through the multiple labs that he held during our class time; these labs were very engaging and helped me to grasp the information substantially better because I was able to see the structures we discussed during the lecture. If I were Josh, I would certainly keep having these labs and experimental activities as it is very helpful in understanding the material and it helped bring the classmates together and work with one another."
