filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",7/7 (100%),4.71,0.49,5.00,7,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 2 (28.57%); Excellent: 5 (71.43%)
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",7/7 (100%),4.43,0.79,5.00,7,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (14.29%); Very Good: 2 (28.57%); Excellent: 4 (57.14%)
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",7/7 (100%),4.86,0.38,5.00,7,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 1 (14.29%); Excellent: 6 (85.71%)
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,8,The course was difficult.,7/7 (100%),3.14,1.46,4.00,7,Strongly disagree: 1 (14.29%); Disagree: 2 (28.57%); Neither agree nor disagree: 0 (0.00%); Agree: 3 (42.86%); Strongly agree: 1 (14.29%)
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,7/7 (100%),7.00,2.65,8.00,7,1: 0 (0.00%); 2: 0 (0.00%); 3: 1 (14.29%); 4: 0 (0.00%); 5: 2 (28.57%); 6: 0 (0.00%); 7: 0 (0.00%); 8: 1 (14.29%); 9: 2 (28.57%); 10+: 1 (14.29%)
MARSCI-373LA-01_Rittschof__Daniel_Fall_2024.html,Fall 2024,MARSCI-373LA-01 : SEN PHYS/BHV MAR ANIMALS.MARSCI-373LA-01.BIOLOGY-373LA-01.ENVIRON-373LA-01.NEUROSCI-381LA-01.,Daniel Rittschof,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
