filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,7/7 (100%),4.71,0.49,5.00
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,7/7 (100%),4.71,0.49,5.00
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),0,0.00%,7/7 (100%),4.71,0.49,5.00
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),2,28.57%,7/7 (100%),4.71,0.49,5.00
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),5,71.43%,7/7 (100%),4.71,0.49,5.00
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,7/7 (100%),4.43,0.79,5.00
MARSCI-278LA-01_Osterberg__Joshua_Spring_2025.html,Spring 2025,MARSCI-278LA-01 : COMP PHYSIOL MARINE ANIMALS.MARSCI-278LA-01.BIOLOGY-278LA-01.ENVIRON-278LA-01.,Joshua Osterberg,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,7/7 (100%),4.43,0.79,5.00
