uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
154503_9169_12241219_27991481,MUSIC-790S-1-01,SEM HST OF MUS (TOPICS).MUSIC-790S-1-01.,"Stoia, Nicholas",Fall 2023,MUSIC,"5 of 9  responded (55.56%)



 View Report
                            



 Download PDF",MUSIC,98870,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,3cbvTLOBUg%2f6POlw43ScXQ%3d%3d,WLa39i%2bfJ7OiUrQfM76Paw%3d%3d,2025-11-24T16:32:45.144775
154503_9169_12241529_27446177,DANCE-771S-01,THEORIES OF CORPOREALITY.DANCE-771S-01.GSF-771S-01.MUSIC-771S-01.,"Wilbur, Sarah",Fall 2023,DANCE,"6 of 13  responded (46.15%)



 View Report
                            



 Download PDF","DANCE, GSF, MUSIC",98830,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,5n3ZKX0oiTQeXTtnYBNiLw%3d%3d,IebDOBGbJC1wD17SY8MpNg%3d%3d,2025-11-24T16:32:45.144875
153858_9169_12282157_28111864,MUSIC-261-01,THEOR/PRAC TONAL MUS I.MUSIC-261-01.,"Rupprecht, Philip",Fall 2023,MUSIC,"7 of 7  responded (100.00%)



 View Report
                            



 Download PDF",MUSIC,99015,CtmkEaIRhsSP75R5T115eg%3d%3d,H92HZaS5sv0gp82LBDtalQ%3d%3d,NNTwcQGqX79YABLL27VnDw%3d%3d,2025-11-24T16:32:45.144982
153858_9169_12282186_27991492,MUSIC-257-01,MUSIC HISTORY III.MUSIC-257-01.,"Todd, R Larry",Fall 2023,MUSIC,"6 of 11  responded (54.55%)



 View Report
                            



 Download PDF",MUSIC,99015,CtmkEaIRhsSP75R5T115eg%3d%3d,GdF7AfVI5RqOkucc6%2fw0RQ%3d%3d,Q1CV0aY1C0yk3mtIcLNjSw%3d%3d,2025-11-24T16:32:45.145071
153858_9169_12282228_27446127,MUSIC-273S-01,INTRO TO ELECTRONIC MUSIC.MUSIC-273S-01.,"Supko, John",Fall 2023,MUSIC,"8 of 14  responded (57.14%)



 View Report
                            



 Download PDF",MUSIC,99015,CtmkEaIRhsSP75R5T115eg%3d%3d,Me1x33AYo6gKA2QTpsCpUA%3d%3d,pk%2bXL7kU6nw3Z4chJauDCQ%3d%3d,2025-11-24T16:32:45.145155
153858_9169_12282265_28111837,MUSIC-145-01,HIP-HOP/RAP MUSIC APPRECIATION.MUSIC-145-01.,"Roberts, Francis",Fall 2023,MUSIC,"30 of 41  responded (73.17%)



 View Report
                            



 Download PDF",MUSIC,99015,CtmkEaIRhsSP75R5T115eg%3d%3d,AnOLYOuM4V%2fJKvpt0GxBRg%3d%3d,fHp5176fLVQiXPoCJ3udkg%3d%3d,2025-11-24T16:32:45.145239
153858_9169_12282302_28111840,MUSIC-161-01,INTRO TO MUSIC THEORY.MUSIC-161-01.,"Moenning, Andrew",Fall 2023,MUSIC,"12 of 19  responded (63.16%)



 View Report
                            



 Download PDF",MUSIC,99015,CtmkEaIRhsSP75R5T115eg%3d%3d,b2eyJ4Eakm8Z1xDn8uj5Xw%3d%3d,fvXzGSklYgFbKAtJv2rC%2fg%3d%3d,2025-11-24T16:32:45.145483
153858_9169_12282718_28112129,MUSIC-137-01,MUSIC/SOCIAL LIFE/SCENES.MUSIC-137-01.CULANTH-137-01.,"Fantinato Geo De Siqueira, Maria",Fall 2023,MUSIC,"7 of 19  responded (36.84%)



 View Report
                            



 Download PDF","MUSIC, CULANTH",99015,CtmkEaIRhsSP75R5T115eg%3d%3d,far%2bsrhzzMI%2fU9N%2fREWUIQ%3d%3d,jglvhs1rB2itt005Wyu3Mw%3d%3d,2025-11-24T16:32:45.145639
153858_9169_12282809_27991756,LSGS-201S-01,INTRO TO LATINO/A STUDIES.LSGS-201S-01.AAAS-104S-01.ICS-106S-01.LIT-243S-01.MUSIC-231S-01.SPANISH-160S-01.,"Enriquez, Sophia",Fall 2023,LSGS,"7 of 18  responded (38.89%)



 View Report
                            



 Download PDF","LSGS, AAAS, ICS, LIT, MUSIC, SPANISH",99008,CtmkEaIRhsSP75R5T115eg%3d%3d,cabGT5ltXpPHxeu2D7mzTg%3d%3d,8sVIw5K6G4UjSVDNNyi3IA%3d%3d,2025-11-24T16:32:45.145838
153858_9169_12282833_28111855,FRENCH-366S-01,VERSAILLES AND THE ARTS.FRENCH-366S-01.MUSIC-366S-01.,"Richard, Gabriel",Fall 2023,ROMANCE,"9 of 9  responded (100.00%)



 View Report
                            



 Download PDF","FRENCH, MUSIC",99029,CtmkEaIRhsSP75R5T115eg%3d%3d,0EeHAxOhcIeqRD5Xp8q5PQ%3d%3d,I7UPUIcu7K4yK19lBu8Lyw%3d%3d,2025-11-24T16:32:45.145936
