filename,semester,course,instructor,question_number,question_text,response_text
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1) How to use Maschine and a beat machine
2) Some of the history of hiphop music and sampling
3) How to find and track samples"
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1) We learned about the inner workings of the music industry, from clearing samples to financial compensation in the streaming age.
2) We reflected on the origins and development of hip hop as a cultural form, and art form, and a musical commodity.
3) We were taught the basics of hip-hop production and sampling."
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Learned about various facets of the industry, stories/history etc...
Learned the basics of beatmaking
Learned about what makes good sampling, and some classic examples of good samples"
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned so much from this class--the art of sampling, how to use Maschine 2 to make a beat, and the class changed the way I listen to music and what I hear."
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","How to sample records to create beats
Some history of hip hop and the music industry
How to listen to hip hop music more critically"
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",He took us to a record store and showed us things he looks for when making records of his own which was a very fun day!
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","Professor 9th is an authority that I think deserves the right to share his love of music and hip-hop in whatever way he chooses. It’s an honor to learn from a hip-hop legend, and his connection to his craft is evident in every class session. His hands on approach to teaching us the production process was paired with kind, conversational discussions about the music industry today. It was free flowing and fun, and I wouldn’t change his teaching style at all."
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Learning environment was great. Very engaging and professor 9th always had good stories and anecdotes to share about the industry. I'd keep this.
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Professor 9th was amazing and brought his knowledge and experience to every class.
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Engaging discussions and hands-on learning
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,Prof. 9th's firsthand experience in the hiphop industry and working with legends and titans of the rap world
