filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",6/18 (33.33%),4.67,0.52,5.00,6,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 2 (33.33%); Excellent: 4 (66.67%)
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",5/18 (27.78%),4.60,0.55,5.00,5,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 2 (40.00%); Excellent: 3 (60.00%)
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",5/18 (27.78%),4.60,0.55,5.00,5,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 2 (40.00%); Excellent: 3 (60.00%)
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,8,The course was difficult.,5/18 (27.78%),1.80,0.84,2.00,5,Strongly disagree: 2 (40.00%); Disagree: 2 (40.00%); Neither agree nor disagree: 1 (20.00%); Agree: 0 (0.00%); Strongly agree: 0 (0.00%)
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,5/18 (27.78%),1.20,0.45,1.00,5,1: 4 (80.00%); 2: 1 (20.00%); 3: 0 (0.00%); 4: 0 (0.00%); 5: 0 (0.00%); 6: 0 (0.00%); 7: 0 (0.00%); 8: 0 (0.00%); 9: 0 (0.00%); 10+: 0 (0.00%)
AAAS-335-01_Douthit__Patrick_Spring_2024.html,Spring 2024,AAAS-335-01 : HISTORY OF HIP-HOP.AAAS-335-01.CULANTH-335-01.ENGLISH-381-01.HISTORY-335-01.MUSIC-335-01.VMS-337-01.,Patrick Douthit,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
AAAS-335-01_Douthit__Patrick_Spring_2024.html,Spring 2024,AAAS-335-01 : HISTORY OF HIP-HOP.AAAS-335-01.CULANTH-335-01.ENGLISH-381-01.HISTORY-335-01.MUSIC-335-01.VMS-337-01.,Patrick Douthit,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
