filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,6/18 (33.33%),4.67,0.52,5.00
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,6/18 (33.33%),4.67,0.52,5.00
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),0,0.00%,6/18 (33.33%),4.67,0.52,5.00
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),2,33.33%,6/18 (33.33%),4.67,0.52,5.00
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),4,66.67%,6/18 (33.33%),4.67,0.52,5.00
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,5/18 (27.78%),4.60,0.55,5.00
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,5/18 (27.78%),4.60,0.55,5.00
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),0,0.00%,5/18 (27.78%),4.60,0.55,5.00
AAAS-325S-01_Douthit__Patrick_Fall_2024.html,Fall 2024,AAAS-325S-01 : HIP-HOP PRODUCTION.AAAS-325S-01.MUSIC-337S-01.,Patrick Douthit,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),2,40.00%,5/18 (27.78%),4.60,0.55,5.00
