filename,semester,course,instructor,question_number,question_text,response_text
NEUROBIO-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learnt what research in Cognitive Neuroscience looks like.
NEUROBIO-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned where the brain is. I learned various aspects of cognitive neuroscience, specifically chapters 1-14 of the textbook. I also learned how to ask questions about stuff I dont know about."
NEUROBIO-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I gained more insight into cog neuro methods, and developed skills in critical thinking, and presentation."
NEUROBIO-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned how different aspects of cognition relate to different areas of the brain.I learned about methods used in cognitive neuroscience.I learned what different faculty members in CCN do!
NEUROBIO-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Class discussions with the authors were very informative and nice. I learnt a lot from asking questions in class
NEUROBIO-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I liked how easy going things were.
NEUROBIO-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","While I learned a lot throughout this semester and performed well, this was not to the credit of the instruction method or the overall structure of the course. It has been stated that the intent of this course is to level the playing field, considering that individuals will be entering the program with varying backgrounds in cognitive neuroscience. However, the course was structured like a seminar with discussion of topical journal articles for each class and no direct instruction of material in the text was provided. I believe this format was somewhat intellectually stimulating and would have been reasonable if students were not tested on material from the text. However, since exams were based solely on the textbook, this required students to teach themselves the material. This, therefore, makes me question whether the purpose of the course of ""leveling the playing field and creating a strong foundation in cog neuro"" was indeed realized. Still, I would like to add that Dr. Cabeza was very accessible, graded fairly, and created a positive classroom environment."
NEUROBIO-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I liked the group presentations at the end!
NEUROBIO-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,All the interesting research papers.
NEUROBIO-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,My brain was stimulated by learning about the brain. I mean. This is my job after all.
NEUROBIO-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"Since there was no structured instruction of concepts, some students were unable to engage fully with the articles because their understanding of the concepts was inadequate."
NEUROBIO-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,7,What would you like to say about this course to a student who is considering taking it in the future?,I would recommend this course to anyone who is interested in Cognitive Neuroscience. It is very fun and stimulating. I had a wonderful time.
NEUROBIO-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,7,What would you like to say about this course to a student who is considering taking it in the future?,It's a lot of self-studying
PSY-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learnt what research in Cognitive Neuroscience looks like.
PSY-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned where the brain is. I learned various aspects of cognitive neuroscience, specifically chapters 1-14 of the textbook. I also learned how to ask questions about stuff I dont know about."
PSY-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I gained more insight into cog neuro methods, and developed skills in critical thinking, and presentation."
PSY-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned how different aspects of cognition relate to different areas of the brain.I learned about methods used in cognitive neuroscience.I learned what different faculty members in CCN do!
