filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
NEUROBIO-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
NEUROBIO-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
NEUROBIO-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",6/14 (42.86%),3.67,0.82,3.50,6,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 3 (50.00%); Very Good: 2 (33.33%); Excellent: 1 (16.67%)
NEUROBIO-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
NEUROBIO-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",6/14 (42.86%),3.17,0.75,3.00,6,Poor: 0 (0.00%); Marginal: 1 (16.67%); Average: 3 (50.00%); Very Good: 2 (33.33%); Excellent: 0 (0.00%)
NEUROBIO-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",5/14 (35.71%),3.40,0.55,3.00,5,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 3 (60.00%); Very Good: 2 (40.00%); Excellent: 0 (0.00%)
NEUROBIO-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
NEUROBIO-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,8,The course was difficult.,6/14 (42.86%),3.83,0.41,4.00,6,Strongly disagree: 0 (0.00%); Disagree: 0 (0.00%); Neither agree nor disagree: 1 (16.67%); Agree: 5 (83.33%); Strongly agree: 0 (0.00%)
NEUROBIO-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,5/14 (35.71%),5.40,1.14,5.00,5,1: 0 (0.00%); 2: 0 (0.00%); 3: 0 (0.00%); 4: 1 (20.00%); 5: 2 (40.00%); 6: 1 (20.00%); 7: 1 (20.00%); 8: 0 (0.00%); 9: 0 (0.00%); 10+: 0 (0.00%)
PSY-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
PSY-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
PSY-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",6/14 (42.86%),3.67,0.82,3.50,6,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 3 (50.00%); Very Good: 2 (33.33%); Excellent: 1 (16.67%)
PSY-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
PSY-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",6/14 (42.86%),3.17,0.75,3.00,6,Poor: 0 (0.00%); Marginal: 1 (16.67%); Average: 3 (50.00%); Very Good: 2 (33.33%); Excellent: 0 (0.00%)
PSY-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",5/14 (35.71%),3.40,0.55,3.00,5,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 3 (60.00%); Very Good: 2 (40.00%); Excellent: 0 (0.00%)
PSY-759S-01_Cabeza__Roberto_Spring_2025.html,Spring 2025,PSY-759S-01 : PRINCIPLES IN COG NEURO I.PSY-759S-01.NEUROBIO-759S-01.,Roberto Cabeza,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
