uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
149911_8928_11987253_27466691,NEUROSCI-223-001,CELL AND MOLEC NEUROBIO.NEUROSCI-223-001.BIOLOGY-223-001.,"Newpher, Thomas",Summer I 2023,NEUROSCIEN,"12 of 28  responded (42.86%)



 View Report
                            



 Download PDF","NEUROSCI, BIOLOGY",99017,R3taZNKnw14IRH7UBESaUg%3d%3d,USsZfAxmA0FN1YhCj9%2ffEw%3d%3d,vYnarYvVA2IooKmgLOlVfw%3d%3d,2025-11-24T16:33:28.307380
154503_9169_12241568_27991733,LIT-650S-01,HISTORY OF MENTAL ILLNESS.LIT-650S-01.HISTORY-650S-01.NEUROSCI-650S-01.PSY-650S-01.,"Bassiri, Nima",Fall 2023,LITERATURE,"14 of 18  responded (77.78%)



 View Report
                            



 Download PDF","LIT, HISTORY, NEUROSCI, PSY",98858,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,iMOl4hBxa1wx2zta%2bAqBCg%3d%3d,gRFBCJ8VWFP172BM4DDsiw%3d%3d,2025-11-24T16:33:28.307477
153858_9169_12282755_28112042,GSF-278-01,SEX/GENDER - NATURE/NURTURE.GSF-278-01.CULANTH-278-01.NEUROSCI-278-01.PSY-226-01.SXL-278-01.,"Wilson, Ara",Fall 2023,GSF,"7 of 24  responded (29.17%)



 View Report
                            



 Download PDF","GSF, CULANTH, NEUROSCI, PSY, SXL",98996,CtmkEaIRhsSP75R5T115eg%3d%3d,xFZAS8%2fzw6EeCwOl9zPsQw%3d%3d,2hexrFtqR6Ms4QJbnuA6iA%3d%3d,2025-11-24T16:33:28.307560
153858_9169_12282755_28112089,GSF-278-01,SEX/GENDER - NATURE/NURTURE.GSF-278-01.CULANTH-278-01.NEUROSCI-278-01.PSY-226-01.SXL-278-01.,"Williams, Christina",Fall 2023,GSF,"7 of 24  responded (29.17%)



 View Report
                            



 Download PDF","GSF, CULANTH, NEUROSCI, PSY, SXL",98996,CtmkEaIRhsSP75R5T115eg%3d%3d,xFZAS8%2fzw6EeCwOl9zPsQw%3d%3d,x6mn9AuA3MauUF19vyN%2fyA%3d%3d,2025-11-24T16:33:28.307639
153858_9169_12282830_28112149,BIOLOGY-427S-01,SENSORY BIOLOGY.BIOLOGY-427S-01.NEUROSCI-427S-01.PSY-427S-01.,"Johnsen, Sonke",Fall 2023,BIOLOGY,"16 of 17  responded (94.12%)



 View Report
                            



 Download PDF","BIOLOGY, NEUROSCI, PSY",98971,CtmkEaIRhsSP75R5T115eg%3d%3d,PqzedOC2Rx1Vl4LaAOreqw%3d%3d,lJgY%2fR83ZDE2o%2b7jTxGIQw%3d%3d,2025-11-24T16:33:28.307718
153858_9169_12282843_28112134,ETHICS-213-01,EXPLORING SCIENCE AND RELIGION.ETHICS-213-01.NEUROSCI-233-01.PHIL-213-01.,"Watkins, Alfredo",Fall 2023,ETHICS,"25 of 30  responded (83.33%)



 View Report
                            



 Download PDF","ETHICS, NEUROSCI, PHIL",98991,CtmkEaIRhsSP75R5T115eg%3d%3d,fMfMmnfUP2ZVI0w5pO%2f1Sw%3d%3d,2gjZ9ggij0UTfRMtr0jZOg%3d%3d,2025-11-24T16:33:28.307826
153858_9169_12282882_27445805,LINGUIST-216FS-01,NEUROSCIENCE / HUMAN LANGUAGE.LINGUIST-216FS-01.NEUROSCI-116FS-01.,"Andrews, Edna",Fall 2023,LINGUISTCS,"9 of 18  responded (50.00%)



 View Report
                            



 Download PDF",,99006,CtmkEaIRhsSP75R5T115eg%3d%3d,TQBDjWTZwNPMXLEnycQN3w%3d%3d,5%2bZvp%2bvHl65e2z%2fYB%2feIKQ%3d%3d,2025-11-24T16:33:28.307911
153858_9169_12282887_28112171,NEUROSCI-102-01,BIO BASES OF BEHAVIOR (TEAM).NEUROSCI-102-01.PSY-107-01.,"Ng, Minna",Fall 2023,NEUROSCIEN,"62 of 99  responded (62.63%)



 View Report
                            



 Download PDF","NEUROSCI, PSY",99017,CtmkEaIRhsSP75R5T115eg%3d%3d,%2bDcjwc8wYgygO3Xl8Uv9GA%3d%3d,Iq3r7wZZHp0LhCSd%2fbWsuw%3d%3d,2025-11-24T16:33:28.307989
153858_9169_12282895_28112176,NEUROSCI-373-01,BEHAVIORAL NEUROIMMUNOLOGY.NEUROSCI-373-01.PSY-373-01.,"Bilbo, Staci",Fall 2023,NEUROSCIEN,"18 of 29  responded (62.07%)



 View Report
                            



 Download PDF","NEUROSCI, PSY",99017,CtmkEaIRhsSP75R5T115eg%3d%3d,lPrN%2fpvyFOawJU1GnMhD4A%3d%3d,UiT14%2b9jVPISpRKGeMWc0w%3d%3d,2025-11-24T16:33:28.308067
153858_9169_12282896_27991790,BIOLOGY-422LS-001,NEURODEGENERATIVE DISEASE LAB.BIOLOGY-422LS-001.NEUROSCI-388LS-001.,"Sherwood, Nina",Fall 2023,BIOLOGY,"7 of 14  responded (50.00%)



 View Report
                            



 Download PDF",,98971,CtmkEaIRhsSP75R5T115eg%3d%3d,i2wcM69ZrWXlrA7Lo3%2bquA%3d%3d,SfjM2GfGu1eC85g1fzkgIw%3d%3d,2025-11-24T16:33:28.308145
