filename,semester,course,instructor,question_number,question_text,response_text
BIOLOGY-268-01_Nowicki__Steve_Fall_2023.html,Fall 2023,BIOLOGY-268-01 : MECHANISMS OF ANIMAL BEHAVIOR.BIOLOGY-268-01.NEUROSCI-268-01.,Steve Nowicki,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to design experiments, migration in birds, piloting in insects etc."
BIOLOGY-268-01_Nowicki__Steve_Fall_2023.html,Fall 2023,BIOLOGY-268-01 : MECHANISMS OF ANIMAL BEHAVIOR.BIOLOGY-268-01.NEUROSCI-268-01.,Steve Nowicki,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I now have a bunch of knowledge about random animals and why they act in certain ways/what makes them unique. A framework to analyze animals behavior and come up with theories and experiments to test my ideas.
BIOLOGY-268-01_Nowicki__Steve_Fall_2023.html,Fall 2023,BIOLOGY-268-01 : MECHANISMS OF ANIMAL BEHAVIOR.BIOLOGY-268-01.NEUROSCI-268-01.,Steve Nowicki,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I developed a way of thinking that not only figured out what questions to ask in a scientific setting but also how to develop experiments to try to explain them. I also continued to develop my teamwork skills.
BIOLOGY-268-01_Nowicki__Steve_Fall_2023.html,Fall 2023,BIOLOGY-268-01 : MECHANISMS OF ANIMAL BEHAVIOR.BIOLOGY-268-01.NEUROSCI-268-01.,Steve Nowicki,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Experimental design
Developing hypotheses
Behavior mechanisms"
BIOLOGY-268-01_Nowicki__Steve_Fall_2023.html,Fall 2023,BIOLOGY-268-01 : MECHANISMS OF ANIMAL BEHAVIOR.BIOLOGY-268-01.NEUROSCI-268-01.,Steve Nowicki,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1. Synthesizing information to make predictions and design experiments about animal behavior
2. comparing and contrasting animal behaviors
3. distilling papers down to their most important points and creating an easily digestible presentation"
BIOLOGY-268-01_Nowicki__Steve_Fall_2023.html,Fall 2023,BIOLOGY-268-01 : MECHANISMS OF ANIMAL BEHAVIOR.BIOLOGY-268-01.NEUROSCI-268-01.,Steve Nowicki,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",-why animals think the way they do
BIOLOGY-268-01_Nowicki__Steve_Fall_2023.html,Fall 2023,BIOLOGY-268-01 : MECHANISMS OF ANIMAL BEHAVIOR.BIOLOGY-268-01.NEUROSCI-268-01.,Steve Nowicki,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","How to craft an experiment, how to communicate science effectively, how to evaluate animal behavior without biases"
BIOLOGY-268-01_Nowicki__Steve_Fall_2023.html,Fall 2023,BIOLOGY-268-01 : MECHANISMS OF ANIMAL BEHAVIOR.BIOLOGY-268-01.NEUROSCI-268-01.,Steve Nowicki,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Reading and analyzing research papers
BIOLOGY-268-01_Nowicki__Steve_Fall_2023.html,Fall 2023,BIOLOGY-268-01 : MECHANISMS OF ANIMAL BEHAVIOR.BIOLOGY-268-01.NEUROSCI-268-01.,Steve Nowicki,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","how to design experiments, understand the rationale for studies, and summarize papers"
BIOLOGY-268-01_Nowicki__Steve_Fall_2023.html,Fall 2023,BIOLOGY-268-01 : MECHANISMS OF ANIMAL BEHAVIOR.BIOLOGY-268-01.NEUROSCI-268-01.,Steve Nowicki,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned a lot about the foundations of animal behavior, which I really did not know much about before this class. Also, I learned so much about the experimental processes that underlie these types of experiments, which gave me really important context for how researchers structure and conduct studies."
BIOLOGY-268-01_Nowicki__Steve_Fall_2023.html,Fall 2023,BIOLOGY-268-01 : MECHANISMS OF ANIMAL BEHAVIOR.BIOLOGY-268-01.NEUROSCI-268-01.,Steve Nowicki,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Learned how to come up with and evaluate scientific experiments, think about how animals become evolutionarily successful, and how animals communicate, avoid becoming food, get their food, and hormonal effects on behavior."
BIOLOGY-268-01_Nowicki__Steve_Fall_2023.html,Fall 2023,BIOLOGY-268-01 : MECHANISMS OF ANIMAL BEHAVIOR.BIOLOGY-268-01.NEUROSCI-268-01.,Steve Nowicki,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned behavioral mechanisms for a variety of different issues that animals must solve in order to survive. I learned how to analyze and read scientific papers. I also learned how to communicate scientific topics within a group and present topics in a audiovisual manner.
