filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
BIOLOGY-268-01_Nowicki__Steve_Fall_2023.html,Fall 2023,BIOLOGY-268-01 : MECHANISMS OF ANIMAL BEHAVIOR.BIOLOGY-268-01.NEUROSCI-268-01.,Steve Nowicki,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
BIOLOGY-268-01_Nowicki__Steve_Fall_2023.html,Fall 2023,BIOLOGY-268-01 : MECHANISMS OF ANIMAL BEHAVIOR.BIOLOGY-268-01.NEUROSCI-268-01.,Steve Nowicki,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
BIOLOGY-268-01_Nowicki__Steve_Fall_2023.html,Fall 2023,BIOLOGY-268-01 : MECHANISMS OF ANIMAL BEHAVIOR.BIOLOGY-268-01.NEUROSCI-268-01.,Steve Nowicki,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",31/35 (88.57%),4.61,0.56,5.00,31,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (3.23%); Very Good: 10 (32.26%); Excellent: 20 (64.52%)
BIOLOGY-268-01_Nowicki__Steve_Fall_2023.html,Fall 2023,BIOLOGY-268-01 : MECHANISMS OF ANIMAL BEHAVIOR.BIOLOGY-268-01.NEUROSCI-268-01.,Steve Nowicki,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
BIOLOGY-268-01_Nowicki__Steve_Fall_2023.html,Fall 2023,BIOLOGY-268-01 : MECHANISMS OF ANIMAL BEHAVIOR.BIOLOGY-268-01.NEUROSCI-268-01.,Steve Nowicki,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",30/35 (85.71%),4.80,0.41,5.00,30,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 6 (20.00%); Excellent: 24 (80.00%)
BIOLOGY-268-01_Nowicki__Steve_Fall_2023.html,Fall 2023,BIOLOGY-268-01 : MECHANISMS OF ANIMAL BEHAVIOR.BIOLOGY-268-01.NEUROSCI-268-01.,Steve Nowicki,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",31/35 (88.57%),5.00,0.00,5.00,31,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 0 (0.00%); Excellent: 31 (100.00%)
BIOLOGY-268-01_Nowicki__Steve_Fall_2023.html,Fall 2023,BIOLOGY-268-01 : MECHANISMS OF ANIMAL BEHAVIOR.BIOLOGY-268-01.NEUROSCI-268-01.,Steve Nowicki,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
BIOLOGY-268-01_Nowicki__Steve_Fall_2023.html,Fall 2023,BIOLOGY-268-01 : MECHANISMS OF ANIMAL BEHAVIOR.BIOLOGY-268-01.NEUROSCI-268-01.,Steve Nowicki,8,The course was difficult.,30/35 (85.71%),2.13,0.90,2.00,30,Strongly disagree: 6 (20.00%); Disagree: 17 (56.67%); Neither agree nor disagree: 5 (16.67%); Agree: 1 (3.33%); Strongly agree: 1 (3.33%)
BIOLOGY-268-01_Nowicki__Steve_Fall_2023.html,Fall 2023,BIOLOGY-268-01 : MECHANISMS OF ANIMAL BEHAVIOR.BIOLOGY-268-01.NEUROSCI-268-01.,Steve Nowicki,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,30/35 (85.71%),2.80,1.30,3.00,30,1: 3 (10.00%); 2: 11 (36.67%); 3: 10 (33.33%); 4: 3 (10.00%); 5: 2 (6.67%); 6: 0 (0.00%); 7: 1 (3.33%); 8: 0 (0.00%); 9: 0 (0.00%); 10+: 0 (0.00%)
BIOLOGY-268-01_Nowicki__Steve_Fall_2024.html,Fall 2024,BIOLOGY-268-01 : MECHANISMS OF ANIMAL BEHAVIOR.BIOLOGY-268-01.NEUROSCI-268-01.,Steve Nowicki,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
BIOLOGY-268-01_Nowicki__Steve_Fall_2024.html,Fall 2024,BIOLOGY-268-01 : MECHANISMS OF ANIMAL BEHAVIOR.BIOLOGY-268-01.NEUROSCI-268-01.,Steve Nowicki,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
BIOLOGY-268-01_Nowicki__Steve_Fall_2024.html,Fall 2024,BIOLOGY-268-01 : MECHANISMS OF ANIMAL BEHAVIOR.BIOLOGY-268-01.NEUROSCI-268-01.,Steve Nowicki,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",32/36 (88.89%),4.84,0.37,5.00,32,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 5 (15.63%); Excellent: 27 (84.38%)
BIOLOGY-268-01_Nowicki__Steve_Fall_2024.html,Fall 2024,BIOLOGY-268-01 : MECHANISMS OF ANIMAL BEHAVIOR.BIOLOGY-268-01.NEUROSCI-268-01.,Steve Nowicki,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
