filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
ENVIRON-148FS-01_Wernegreen__Jennifer_Fall_2023.html,Fall 2023,ENVIRON-148FS-01 : GENOMICS OF SYMBIOSIS.ENVIRON-148FS-01.SCISOC-138FS-01.,Jennifer Wernegreen,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
ENVIRON-148FS-01_Wernegreen__Jennifer_Fall_2023.html,Fall 2023,ENVIRON-148FS-01 : GENOMICS OF SYMBIOSIS.ENVIRON-148FS-01.SCISOC-138FS-01.,Jennifer Wernegreen,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
ENVIRON-148FS-01_Wernegreen__Jennifer_Fall_2023.html,Fall 2023,ENVIRON-148FS-01 : GENOMICS OF SYMBIOSIS.ENVIRON-148FS-01.SCISOC-138FS-01.,Jennifer Wernegreen,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",16/17 (94.12%),4.44,0.51,4.00,16,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 9 (56.25%); Excellent: 7 (43.75%)
ENVIRON-148FS-01_Wernegreen__Jennifer_Fall_2023.html,Fall 2023,ENVIRON-148FS-01 : GENOMICS OF SYMBIOSIS.ENVIRON-148FS-01.SCISOC-138FS-01.,Jennifer Wernegreen,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
ENVIRON-148FS-01_Wernegreen__Jennifer_Fall_2023.html,Fall 2023,ENVIRON-148FS-01 : GENOMICS OF SYMBIOSIS.ENVIRON-148FS-01.SCISOC-138FS-01.,Jennifer Wernegreen,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",16/17 (94.12%),4.25,0.58,4.00,16,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (6.25%); Very Good: 10 (62.50%); Excellent: 5 (31.25%)
ENVIRON-148FS-01_Wernegreen__Jennifer_Fall_2023.html,Fall 2023,ENVIRON-148FS-01 : GENOMICS OF SYMBIOSIS.ENVIRON-148FS-01.SCISOC-138FS-01.,Jennifer Wernegreen,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",16/17 (94.12%),4.50,0.52,4.50,16,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 8 (50.00%); Excellent: 8 (50.00%)
ENVIRON-148FS-01_Wernegreen__Jennifer_Fall_2023.html,Fall 2023,ENVIRON-148FS-01 : GENOMICS OF SYMBIOSIS.ENVIRON-148FS-01.SCISOC-138FS-01.,Jennifer Wernegreen,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
ENVIRON-148FS-01_Wernegreen__Jennifer_Fall_2023.html,Fall 2023,ENVIRON-148FS-01 : GENOMICS OF SYMBIOSIS.ENVIRON-148FS-01.SCISOC-138FS-01.,Jennifer Wernegreen,8,The course was difficult.,16/17 (94.12%),2.88,1.20,3.00,16,Strongly disagree: 2 (12.50%); Disagree: 4 (25.00%); Neither agree nor disagree: 6 (37.50%); Agree: 2 (12.50%); Strongly agree: 2 (12.50%)
ENVIRON-148FS-01_Wernegreen__Jennifer_Fall_2023.html,Fall 2023,ENVIRON-148FS-01 : GENOMICS OF SYMBIOSIS.ENVIRON-148FS-01.SCISOC-138FS-01.,Jennifer Wernegreen,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,16/17 (94.12%),3.38,0.96,3.00,16,1: 0 (0.00%); 2: 3 (18.75%); 3: 6 (37.50%); 4: 5 (31.25%); 5: 2 (12.50%); 6: 0 (0.00%); 7: 0 (0.00%); 8: 0 (0.00%); 9: 0 (0.00%); 10+: 0 (0.00%)
ENVIRON-531L-01L_Vincent__Jeffrey_Spring_2025.html,Spring 2025,ENVIRON-531L-01L : ECON VALUATION OF THE ENVIRON.ENVIRON-531L-01L.,Jeffrey Vincent,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
