filename,semester,course,instructor,question_number,question_text,response_text
PHARM-350-01_Sawyer__Jessica_Fall_2023.html,Fall 2023,PHARM-350-01 : DRUG ACTIONS & REACTIONS.PHARM-350-01.NEUROSCI-350-01.,Jessica Sawyer,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","- generally how drugs work in the body 
- how to develop a drug 
- how drugs act on different body systems"
PHARM-350-01_Sawyer__Jessica_Fall_2023.html,Fall 2023,PHARM-350-01 : DRUG ACTIONS & REACTIONS.PHARM-350-01.NEUROSCI-350-01.,Jessica Sawyer,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1) Know how to identify a target of a drug, describe the mechanism of action, and discuss possible side effects
2) Learn how drugs affect different anatomical systems
3) Understand the implications of drug design and subsequent trial experiments
4) Consider the ethical, legal, and moral impacts of drugs"
PHARM-350-01_Sawyer__Jessica_Fall_2023.html,Fall 2023,PHARM-350-01 : DRUG ACTIONS & REACTIONS.PHARM-350-01.NEUROSCI-350-01.,Jessica Sawyer,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","How to design a novel drug
Understand how to study the mechanism of action of drugs
How to design and critique drug development studies and proposals"
PHARM-350-01_Sawyer__Jessica_Fall_2023.html,Fall 2023,PHARM-350-01 : DRUG ACTIONS & REACTIONS.PHARM-350-01.NEUROSCI-350-01.,Jessica Sawyer,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","How to analyze the mechanism of action and target of a drug
Learned the difference between specificity and selectivity
Learned about the gaps in the pharmaceutical industry and how to address them"
PHARM-350-01_Sawyer__Jessica_Fall_2023.html,Fall 2023,PHARM-350-01 : DRUG ACTIONS & REACTIONS.PHARM-350-01.NEUROSCI-350-01.,Jessica Sawyer,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",This course helped me learn a bit more about what I wanted to do in the future. I was very interested in the method of study and the grand focus on group work. I also enjoyed learning about how certain drugs work (target and mechanism of action).
PHARM-350-01_Sawyer__Jessica_Fall_2023.html,Fall 2023,PHARM-350-01 : DRUG ACTIONS & REACTIONS.PHARM-350-01.NEUROSCI-350-01.,Jessica Sawyer,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I definitely developed skills thinking about mechanisms of pharmacology, how to design a clinical trial, and how to consider treatment in healthcare."
PHARM-350-01_Sawyer__Jessica_Fall_2023.html,Fall 2023,PHARM-350-01 : DRUG ACTIONS & REACTIONS.PHARM-350-01.NEUROSCI-350-01.,Jessica Sawyer,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Mechanisms of different classes of drugs. 
How to craft a drug proposal with a group. 
Societal and ethical considerations of medications and other drugs."
PHARM-350-01_Sawyer__Jessica_Fall_2023.html,Fall 2023,PHARM-350-01 : DRUG ACTIONS & REACTIONS.PHARM-350-01.NEUROSCI-350-01.,Jessica Sawyer,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Learned to analyze essential drug mechanisms, how to scientifically research novel drug fields, and how to peer review other proposals"
PHARM-350-01_Sawyer__Jessica_Fall_2023.html,Fall 2023,PHARM-350-01 : DRUG ACTIONS & REACTIONS.PHARM-350-01.NEUROSCI-350-01.,Jessica Sawyer,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned a lot about the general mechanisms of drug metabolism (pharmacokinetics vs. pharmacodynamics), how to think about designing a new drug up to the point of marketing, and about the controversial and ethical issues surrounding drug prescriptions and treatments."
PHARM-350-01_Sawyer__Jessica_Fall_2023.html,Fall 2023,PHARM-350-01 : DRUG ACTIONS & REACTIONS.PHARM-350-01.NEUROSCI-350-01.,Jessica Sawyer,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1. how to design a novel drug 
2. pharmacokinetics - how drugs are absorbped, distributed, metabolized, excretion
3. different types of drug classes and how they work, such as SSRIs, pain meds, GI drugs, respiratory and heart drugs"
