uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
149911_8928_11987174_27466660,PHIL-218-01,MEDICAL ETHICS.PHIL-218-01.,"Sarbey, Ben",Summer I 2023,PHILOSOPHY,"6 of 6  responded (100.00%)



 View Report
                            



 Download PDF",PHIL,99022,R3taZNKnw14IRH7UBESaUg%3d%3d,DqYahoZI865XHO%2fYE%2bnicw%3d%3d,r58EXOe6jVHzJXOfb6v0eA%3d%3d,2025-11-24T16:34:10.879960
149911_8928_11987208_27466663,PHIL-207-01,POLTCL & SOC PHIL.PHIL-207-01.,"Weese, Tara",Summer I 2023,PHILOSOPHY,"11 of 12  responded (91.67%)



 View Report
                            



 Download PDF",PHIL,99022,R3taZNKnw14IRH7UBESaUg%3d%3d,FrmtoZwBrBxqyxrTp%2bNBsg%3d%3d,CbQ4aEpJ5dptcZddhjFDdw%3d%3d,2025-11-24T16:34:10.880069
152527_9107_12076195_27675599,PHIL-104S-01,INTRO TO PHILOSOPHY.PHIL-104S-01.,"Duke, Adrienne",Summer II 2023,PHILOSOPHY,"7 of 7  responded (100.00%)



 View Report
                            



 Download PDF",PHIL,99022,4TxgzUHg4Suz2MS8X7frbw%3d%3d,OTYGOJ%2b7umeX%2fAytSw3iKg%3d%3d,bRu2yjAE6KkgvugtHM322Q%3d%3d,2025-11-24T16:34:10.880162
152527_9107_12076199_27675600,PHIL-237A-01,POL PHIL OF GLOBALIZATION.PHIL-237A-01.POLSCI-297A-01.PUBPOL-204A-01.ECON-303A-01.,"Rosenberg, Alexander",Summer II 2023,PHILOSOPHY,"7 of 23  responded (30.43%)



 View Report
                            



 Download PDF","PHIL, POLSCI, PUBPOL, ECON",99022,4TxgzUHg4Suz2MS8X7frbw%3d%3d,VR74XlQyfCw7jcSYhNOYRw%3d%3d,2fSVEyuQfgHiMPlxQIEbMA%3d%3d,2025-11-24T16:34:10.880252
154503_9169_12241524_27445954,GERMAN-570-01,FRANKFURT SCHOOL.GERMAN-570-01.LIT-575-01.PHIL-572-01.POLSCI-570-01.,"Pickford, Henry",Fall 2023,GERMAN,"7 of 22  responded (31.82%)



 View Report
                            



 Download PDF","GERMAN, LIT, PHIL, POLSCI",98845,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,VvjtpeH7s8e9nacIVEgERA%3d%3d,Q%2bONUOHkUuyVpJJMo%2bl4wg%3d%3d,2025-11-24T16:34:10.880338
154503_9169_12241616_27991632,BIOLOGY-516S-01,LIFE'S PURPOSE.BIOLOGY-516S-01.PHIL-516S-01.,"Babcock, Gunnar",Fall 2023,BIOLOGY,"13 of 13  responded (100.00%)



 View Report
                            



 Download PDF","BIOLOGY, PHIL",98819,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,Bgd583IqAdNVTTS%2flkvTJA%3d%3d,w0nRZOYsuEwA18PwNee8gg%3d%3d,2025-11-24T16:34:10.880424
154503_9169_12241616_27991636,BIOLOGY-516S-01,LIFE'S PURPOSE.BIOLOGY-516S-01.PHIL-516S-01.,"McShea, Daniel",Fall 2023,BIOLOGY,"13 of 13  responded (100.00%)



 View Report
                            



 Download PDF","BIOLOGY, PHIL",98819,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,Bgd583IqAdNVTTS%2flkvTJA%3d%3d,Dw5unN9pS9vb8wBlRfcV3Q%3d%3d,2025-11-24T16:34:10.880505
153858_9169_12282145_27445822,PHIL-201-01,HST MODERN PHILOSOPHY.PHIL-201-01.,"Janiak, Andrew",Fall 2023,PHILOSOPHY,"13 of 25  responded (52.00%)



 View Report
                            



 Download PDF",PHIL,99022,CtmkEaIRhsSP75R5T115eg%3d%3d,%2bH3Eff24EouEGgnLcvdRSw%3d%3d,%2bR4EBYs%2bijiGWV5QF7YWuw%3d%3d,2025-11-24T16:34:10.880585
153858_9169_12282152_27675600,PHIL-101-01,INTRODUCTION TO PHILOSOPHY.PHIL-101-01.,"Rosenberg, Alexander",Fall 2023,PHILOSOPHY,"32 of 33  responded (96.97%)



 View Report
                            



 Download PDF",PHIL,99022,CtmkEaIRhsSP75R5T115eg%3d%3d,CcB7hdCyp2XTYLmx8G4IOQ%3d%3d,2fSVEyuQfgHiMPlxQIEbMA%3d%3d,2025-11-24T16:34:10.880661
153858_9169_12282169_27991457,PHIL-242S-01,PROBLEMS IN PHIL OF SCIENCE.PHIL-242S-01.,"Stern, Reuben",Fall 2023,PHILOSOPHY,"6 of 8  responded (75.00%)



 View Report
                            



 Download PDF",PHIL,99022,CtmkEaIRhsSP75R5T115eg%3d%3d,YYhr4GoobJaS7s83D5SO7g%3d%3d,nhk1E2G2c5eH8MjwhHjnVw%3d%3d,2025-11-24T16:34:10.880740
153858_9169_12282169_28111793,PHIL-242S-01,PROBLEMS IN PHIL OF SCIENCE.PHIL-242S-01.,"Veldman, Michael",Fall 2023,PHILOSOPHY,"6 of 8  responded (75.00%)



 View Report
                            



 Download PDF",PHIL,99022,CtmkEaIRhsSP75R5T115eg%3d%3d,YYhr4GoobJaS7s83D5SO7g%3d%3d,8Gi0ukbZeM35kBblpbhNgw%3d%3d,2025-11-24T16:34:10.880819
153858_9169_12282210_27991457,PHIL-211-01,APPEARANCE AND REALITY.PHIL-211-01.,"Stern, Reuben",Fall 2023,PHILOSOPHY,"16 of 23  responded (69.57%)



 View Report
                            



 Download PDF",PHIL,99022,CtmkEaIRhsSP75R5T115eg%3d%3d,2h7yxpqbclW0DstqsQMczA%3d%3d,nhk1E2G2c5eH8MjwhHjnVw%3d%3d,2025-11-24T16:34:10.880896
153858_9169_12282246_28111801,PHIL-150-01,LOGIC.PHIL-150-01.,"Gur, Tayfun",Fall 2023,PHILOSOPHY,"8 of 17  responded (47.06%)



 View Report
                            



 Download PDF",PHIL,99022,CtmkEaIRhsSP75R5T115eg%3d%3d,ilACCr%2bNyhluDXUqXu1H4g%3d%3d,g%2fnnPHZFHJ%2fNV10c8GaDAQ%3d%3d,2025-11-24T16:34:10.880975
153858_9169_12282307_27675599,PHIL-103S-01,INTRO TO PHILOSOPHY.PHIL-103S-01.,"Duke, Adrienne",Fall 2023,PHILOSOPHY,"11 of 12  responded (91.67%)



 View Report
                            



 Download PDF",PHIL,99022,CtmkEaIRhsSP75R5T115eg%3d%3d,GxCOA2de2E5KiAwvjpn%2bGw%3d%3d,bRu2yjAE6KkgvugtHM322Q%3d%3d,2025-11-24T16:34:10.881079
153858_9169_12282337_28111791,PHIL-103S-02,INTRO TO PHILOSOPHY.PHIL-103S-02.,"Liu, Botian",Fall 2023,PHILOSOPHY,"6 of 11  responded (54.55%)



 View Report
                            



 Download PDF",PHIL,99022,CtmkEaIRhsSP75R5T115eg%3d%3d,15mQwZE3VDvLmKbHsh6B3g%3d%3d,GWqUOUrO9e2OLgjHbyDwRQ%3d%3d,2025-11-24T16:34:10.881165
153858_9169_12282795_28112137,PHIL-124FS-01,FREEDOM AND MORAL OBLIGATION.PHIL-124FS-01.POLSCI-195FS-01.,"Summers, Jesse",Fall 2023,PHILOSOPHY,"15 of 17  responded (88.24%)



 View Report
                            



 Download PDF",,99022,CtmkEaIRhsSP75R5T115eg%3d%3d,xKrdi6ZKvDD2A1aWYvlHXw%3d%3d,DCaDHdNw%2f4c4P9%2fEIenEBw%3d%3d,2025-11-24T16:34:10.881244
