filename,semester,course,instructor,question_number,question_text,response_text
BIOLOGY-216-01_Babcock__Gunnar_Fall_2024.html,Fall 2024,BIOLOGY-216-01 : LIFE'S PURPOSE.BIOLOGY-216-01.PHIL-223-01.,Gunnar Babcock,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Continued to build upon annotating skills and learning to write with more abandon on discussion assignments.
BIOLOGY-216-01_Babcock__Gunnar_Fall_2024.html,Fall 2024,BIOLOGY-216-01 : LIFE'S PURPOSE.BIOLOGY-216-01.PHIL-223-01.,Gunnar Babcock,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned so much from this course. To name three specific topics, I really enjoyed studying external teleology, backwards causation, and Aristotle’s 4 causes."
BIOLOGY-216-01_Babcock__Gunnar_Fall_2024.html,Fall 2024,BIOLOGY-216-01 : LIFE'S PURPOSE.BIOLOGY-216-01.PHIL-223-01.,Gunnar Babcock,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to scientifically evaluate function in biology, the philosophical origins of studying nature, and how philosophers establish goal-directedness."
BIOLOGY-216-01_Babcock__Gunnar_Fall_2024.html,Fall 2024,BIOLOGY-216-01 : LIFE'S PURPOSE.BIOLOGY-216-01.PHIL-223-01.,Gunnar Babcock,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Learned about teleology, purpose, and philosophy in general."
BIOLOGY-216-01_Babcock__Gunnar_Fall_2024.html,Fall 2024,BIOLOGY-216-01 : LIFE'S PURPOSE.BIOLOGY-216-01.PHIL-223-01.,Gunnar Babcock,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","We learned about the history of the study of teleology from pre-Socratic times through the present. (Spoiler: McShea and Babcock are the present). I learned goal directedness is a sticky subject when applied to biology, and even scarier when applied to natural selection. We learned how defining function is important, and about free will and reductionism."
BIOLOGY-216-01_Babcock__Gunnar_Fall_2024.html,Fall 2024,BIOLOGY-216-01 : LIFE'S PURPOSE.BIOLOGY-216-01.PHIL-223-01.,Gunnar Babcock,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","The lectures were very informed and frequently challenges my traditional viewpoints. A good course should often lead a student to reflect, so cuddos on this."
BIOLOGY-216-01_Babcock__Gunnar_Fall_2024.html,Fall 2024,BIOLOGY-216-01 : LIFE'S PURPOSE.BIOLOGY-216-01.PHIL-223-01.,Gunnar Babcock,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I thought the instructors did an excellent job covering a wide range of material. The manner in which we moved through topics was logical and helped facilitate better learning and stronger engagement with the course.
BIOLOGY-216-01_Babcock__Gunnar_Fall_2024.html,Fall 2024,BIOLOGY-216-01 : LIFE'S PURPOSE.BIOLOGY-216-01.PHIL-223-01.,Gunnar Babcock,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I thought the lectures were fascinating. They provided a great opportunity for students to ask specific questions on the material we were reading for homework. McShea and Babcock are extremely knowledgable, so these lectures becoming Q&A was fascinating."
BIOLOGY-216-01_Babcock__Gunnar_Fall_2024.html,Fall 2024,BIOLOGY-216-01 : LIFE'S PURPOSE.BIOLOGY-216-01.PHIL-223-01.,Gunnar Babcock,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Dan and Gunnar were great. Very knowledgeable about the topics.
BIOLOGY-216-01_Babcock__Gunnar_Fall_2024.html,Fall 2024,BIOLOGY-216-01 : LIFE'S PURPOSE.BIOLOGY-216-01.PHIL-223-01.,Gunnar Babcock,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","The instructors did a great job of combining teaching with class discussions and this made the class environment very stimulating. Assigning readings before every class was helpful because it gave everyone time to read the primary sources and make their own assessments of them, then learn about what Babcock and McShea took away from them. Usually they don't align and you feel a little silly about your journal response. Journal responses are a good way to keep people honest about their readings. I'd keep the exam structure too for the most part."
